"key";"en"
"TPHT_0001_PROMPT";"Can you clap in time with a musical beat?"
"TPHT_0001_CHOICES1";"Never"
"TPHT_0001_CHOICES2";"Rarely"
"TPHT_0001_CHOICES3";"Once in a while"
"TPHT_0001_CHOICES4";"Sometimes"
"TPHT_0001_CHOICES5";"Very often"
"TPHT_0001_CHOICES6";"Always"
"TPHT_0002_PROMPT";"I can tap my foot in time with the beat of the music I hear."
"TPHT_0002_CHOICES1";"Never"
"TPHT_0002_CHOICES2";"Rarely"
"TPHT_0002_CHOICES3";"Once in a while"
"TPHT_0002_CHOICES4";"Sometimes"
"TPHT_0002_CHOICES5";"Very often"
"TPHT_0002_CHOICES6";"Always"
"TPHT_0003_PROMPT";"When listening to music, can you move in time with the beat?"
"TPHT_0003_CHOICES1";"Never"
"TPHT_0003_CHOICES2";"Rarely"
"TPHT_0003_CHOICES3";"Once in a while"
"TPHT_0003_CHOICES4";"Sometimes"
"TPHT_0003_CHOICES5";"Very often"
"TPHT_0003_CHOICES6";"Always"
"TPHT_0004_PROMPT";"I can recognise a piece of music after hearing just a few notes"
"TPHT_0004_CHOICES1";"Never"
"TPHT_0004_CHOICES2";"Rarely"
"TPHT_0004_CHOICES3";"Once in a while"
"TPHT_0004_CHOICES4";"Sometimes"
"TPHT_0004_CHOICES5";"Very often"
"TPHT_0004_CHOICES6";"Always"
"TPHT_0005_PROMPT";"I can easily recognise a familiar song"
"TPHT_0005_CHOICES1";"Never"
"TPHT_0005_CHOICES2";"Rarely"
"TPHT_0005_CHOICES3";"Once in a while"
"TPHT_0005_CHOICES4";"Sometimes"
"TPHT_0005_CHOICES5";"Very often"
"TPHT_0005_CHOICES6";"Always"
"TPHT_0006_PROMPT";"When I hear the beginning of a song I know immediately whether I've heard it before or not"
"TPHT_0006_CHOICES1";"Never"
"TPHT_0006_CHOICES2";"Rarely"
"TPHT_0006_CHOICES3";"Once in a while"
"TPHT_0006_CHOICES4";"Sometimes"
"TPHT_0006_CHOICES5";"Very often"
"TPHT_0006_CHOICES6";"Always"
"TPHT_0007_PROMPT";"I can tell when people sing out of tune"
"TPHT_0007_CHOICES1";"Never"
"TPHT_0007_CHOICES2";"Rarely"
"TPHT_0007_CHOICES3";"Once in a while"
"TPHT_0007_CHOICES4";"Sometimes"
"TPHT_0007_CHOICES5";"Very often"
"TPHT_0007_CHOICES6";"Always"
"TPHT_0008_PROMPT";"I am able to judge whether someone is a good singer or not"
"TPHT_0008_CHOICES1";"Never"
"TPHT_0008_CHOICES2";"Rarely"
"TPHT_0008_CHOICES3";"Once in a while"
"TPHT_0008_CHOICES4";"Sometimes"
"TPHT_0008_CHOICES5";"Very often"
"TPHT_0008_CHOICES6";"Always"
"TPHT_0009_PROMPT";"I find it difficult to spot mistakes in a performance of a song even if I know the tune"
"TPHT_0009_CHOICES1";"Never"
"TPHT_0009_CHOICES2";"Rarely"
"TPHT_0009_CHOICES3";"Once in a while"
"TPHT_0009_CHOICES4";"Sometimes"
"TPHT_0009_CHOICES5";"Very often"
"TPHT_0009_CHOICES6";"Always"
"TPHT_0010_PROMPT";"I feel chills when I hear music that I like."
"TPHT_0010_CHOICES1";"Never"
"TPHT_0010_CHOICES2";"Rarely"
"TPHT_0010_CHOICES3";"Once in a while"
"TPHT_0010_CHOICES4";"Sometimes"
"TPHT_0010_CHOICES5";"Very often"
"TPHT_0010_CHOICES6";"Always"
"TPHT_0011_PROMPT";"I get emotional listening to certain pieces of music."
"TPHT_0011_CHOICES1";"Never"
"TPHT_0011_CHOICES2";"Rarely"
"TPHT_0011_CHOICES3";"Once in a while"
"TPHT_0011_CHOICES4";"Sometimes"
"TPHT_0011_CHOICES5";"Very often"
"TPHT_0011_CHOICES6";"Always"
"TPHT_0012_PROMPT";"I become tearful or cry when I listen to a melody that I like very much."
"TPHT_0012_CHOICES1";"Never"
"TPHT_0012_CHOICES2";"Rarely"
"TPHT_0012_CHOICES3";"Once in a while"
"TPHT_0012_CHOICES4";"Sometimes"
"TPHT_0012_CHOICES5";"Very often"
"TPHT_0012_CHOICES6";"Always"
"TPHT_0013_PROMPT";"Music gives me shivers or goosebumps"
"TPHT_0013_CHOICES1";"Never"
"TPHT_0013_CHOICES2";"Rarely"
"TPHT_0013_CHOICES3";"Once in a while"
"TPHT_0013_CHOICES4";"Sometimes"
"TPHT_0013_CHOICES5";"Very often"
"TPHT_0013_CHOICES6";"Always"
"TPHT_0014_PROMPT";"When I listen to music I'm absorbed by it"
"TPHT_0014_CHOICES1";"Never"
"TPHT_0014_CHOICES2";"Rarely"
"TPHT_0014_CHOICES3";"Once in a while"
"TPHT_0014_CHOICES4";"Sometimes"
"TPHT_0014_CHOICES5";"Very often"
"TPHT_0014_CHOICES6";"Always"
"TPHT_0015_PROMPT";"While listening to music, I become so involved that I forget about myself and my surroundings"
"TPHT_0015_CHOICES1";"Never"
"TPHT_0015_CHOICES2";"Rarely"
"TPHT_0015_CHOICES3";"Once in a while"
"TPHT_0015_CHOICES4";"Sometimes"
"TPHT_0015_CHOICES5";"Very often"
"TPHT_0015_CHOICES6";"Always"
"TPHT_0016_PROMPT";"When I listen to music I get so caught up in it that I don't notice anything"
