"key";"EN";"DE"
"UK";"UK";"Großbritannien"
"USA";"USA";"USA"
"BULGARIA";"Bulgaria";"Bulgarien"
"CHINA";"China";"China"
"CUBA";"Cuba";"Kuba"
"DOMINICAN_REPUBLIC";"Dominican Republic";"Dominikanische Republik"
"EL_SALVADOR";"El Salvador";"El Salvador"
"FRANCE";"France";"Frankreich"
"GERMANY";"Germany";"Deutschland"
"GUATEMALA";"Guatemala";"Guatemala"
"INDIA";"India";"Indien"
"IRELAND";"Ireland";"Irland"
"ITALY";"Italy";"Italien"
"LITHUANIA";"Lithuania";"Litauen"
"MEXICO";"Mexico";"Mexiko"
"NETHERLANDS";"Netherlands";"Niederlande"
"NIGERIA";"Nigeria";"Nigeria"
"PAKISTAN";"Pakistan";"Pakistan"
"PHILIPPINES";"Philippines";"Philippinen"
"POLAND";"Poland";"Polen"
"PORTUGAL";"Portugal";"Portugal"
"ROMANIA";"Romania";"Rumänien"
"SOUTH_AFRICA";"South Africa";"Südafrika"
"SOUTH_KOREA";"South Korea";"Südkorea"
"SPAIN";"Spain";"Spanien"
"VIETNAM";"Vietnam";"Rumänien"
"OTHER_COUNTRY";"Other country";"Anderes Land"
"OTHER_NATIONALITY";"Other nationality";"Andere Nationalität"

"ENGLISH";"English";"Englisch"
"ARABIC";"Arabic";"Arabisch"
"BULGARIAN";"Bulgarian";"Bulgarisch"
"CHINESE";"Chinese";"Chinesisch"
"DUTCH";"Dutch";"Niederländisch"
"FRENCH";"French";"Französisch"
"GERMAN";"German";"Deutsch"
"HAITIAN";"Haitian";"Haitianisch"
"HINDI";"Hindi";"Hindi"
"ITALIAN";"Italian";"Italienisch"
"KOREAN";"Korean";"Koreanisch"
"LITHUANIAN";"Lithuanian";"Litauisch"
"POLISH";"Polish";"Polnisch"
"PORTUGUESE";"Portuguese";"Portugiesisch"
"PUNJABI";"Punjabi";"Panjabi"
"ROMANIAN";"Romanian";"Rumänisch"
"RUSSIAN";"Russian";"Russisch"
"SPANISH";"Spanish";"Spanisch"
"TAGALOG";"Tagalog";"Tagalog"
"VIETNAMESE";"Vietnamese";"Vietnamesisch"
"OTHER_LANGUAGE";"Other language";"Andere Sprache"
