key;en;it;de;de_f
TBMR_0000_PROMPT;Barcelona Music Reward Questionnaire;Barcelona Music Reward Questionnaire;Barcelona Music Reward Fragebogen;Barcelona Music Reward Fragebogen
TBMR_0001_PROMPT;"Please, indicate for each item how much you agree or disagree with what the item says. Choose only one response to each statement. Please be as accurate and honest as you can be. Don't worry about being consistent in your responses. Choose from completely disagree (1) to completely agree (5) one of the five options.";"Per favore, indica quanto sei in accordo o disaccordo con ciascun item del questionario. Scegli solo una risposta per ogni affermazione. Per favore sii quanto più accurato ed onesto possibile. Non ti preoccupare di essere costante con le tue risposte. Rispondi con un numero da 1 a 5 dove 1 indica “Completamente in disaccordo” e 5 indica “Completamente d’accordo”.";"Bitte gib für jede Aussage an, wie sehr Du dieser zustimmst oder nicht. Bitte wähle nur eine Antwortmöglichkeit pro Aussage. Bitte sei so genau und ehrlich wie möglich. Achte nicht auf die Konsistenz der Antworten. Wählen eine der fünf Optionen von vollständiger Ablehnung (1) bis vollständiger Zustimmung (5).";"Bitte geben Sie für jede Aussage an, wie sehr Sie dieser zustimmen oder nicht zustimmen. Bitte wählen Sie nur eine Antwortmöglichkeit pro Aussage. Bitte seien Sie so genau und ehrlich wie möglich. Achten Sie nicht auf die Konsistenz ihrer Antworten. Wählen Sie eine der fünf Optionen von vollständiger Ablehnung (1) bis vollständiger Zustimmung (5)."
TBMR_0002_CHOICE1;Completely disagree;Completamente in disaccordo;Stimme nicht zu;Stimme nicht zu
TBMR_0002_CHOICE2;Disagree;In disaccordo;Stimme eher nicht zu;Stimme eher nicht zu
TBMR_0002_CHOICE3;Either agree nor disagree;"Né d'accordo né in disaccordo";weder noch;weder noch
TBMR_0002_CHOICE4;Agree;"D'accordo";Stimme eher zu;Stimme eher zu
TBMR_0002_CHOICE5;Completely agree;"Completamente d’accordo";Stimme zu;Stimme zu
TBMR_0002_PROMPT;When I share music with someone I feel a special connection with that person.;Quando condivido della musica con qualcuno, sento una complicità speciale con quella persona.;Wenn ich mit jemandem Musik teile, dann fühle ich eine besondere Verbindung zu dieser Person.;Wenn ich mit jemandem Musik teile, dann fühle ich eine besondere Verbindung zu dieser Person.
TBMR_0003_CHOICE1;Completely disagree;Completamente in disaccordo;Stimme nicht zu;Stimme nicht zu
TBMR_0003_CHOICE2;Disagree;In disaccordo;Stimme eher nicht zu;Stimme eher nicht zu
TBMR_0003_CHOICE3;Either agree nor disagree;"Né d'accordo né in disaccordo";weder noch;weder noch
TBMR_0003_CHOICE4;Agree;"D'accordo";Stimme eher zu;Stimme eher zu
TBMR_0003_CHOICE5;Completely agree;"Completamente d'accordo";Stimme zu;Stimme zu
TBMR_0003_PROMPT;In my free time I hardly listen to music.;Nel mio tempo libero ascolto poco la musica.;In meiner Freizeit höre ich kaum Musik.;In meiner Freizeit höre ich kaum Musik.
TBMR_0004_CHOICE1;Completely disagree;Completamente in disaccordo;Stimme nicht zu;Stimme nicht zu
TBMR_0004_CHOICE2;Disagree;In disaccordo;Stimme eher nicht zu;Stimme eher nicht zu
