key;de;en;de_f;it;es;lv
TCCM_0000_PROMPT;Fragebogen zu gegenwärtigen musikalischen Aktivitäten;Concurrent Musical Activities Questionnaire;Fragebogen zu gegenwärtigen musikalischen Aktivitäten;Questionario sulle Attività Musicali Concorrenti;Cuestionario de Actividades Musicales Complementarias;Aptauja par pašreizējāmmūzikas aktivitātēm
TCCM_0001_CHOICE1;in einem Orchester gespielt;play in an orchestra;in einem Orchester gespielt;Suonare in orchestra;Tocar en orquesta;spēlēju orķestrī
TCCM_0001_CHOICE2;mit Freunden Musik gemacht;sometimes play music with friends;mit Freunden Musik gemacht;Suonare qualche volta con gli amici;Tocar alguna vez con los amigos;dažkārt muzicēju kopā ar draugiem
TCCM_0001_CHOICE3;bei Events, Konzerten oder speziellen Gelegenheiten Musik gemacht;sometimes make music at events or special occasions;bei Events, Konzerten oder speziellen Gelegenheiten Musik gemacht;Suonare qualche volta durante eventi o occasioni speciali;Tocar alguna vez en eventos u ocasiones especiales;dažkārt muzicēju pasākumos vai citos īpašos notikumos
TCCM_0001_CHOICE4;Einzelunterricht an einem Instrument (oder Gesang) erhalten;receive individual lessons on an instrument (or voice);Einzelunterricht an einem Instrument (oder Gesang) erhalten;Ricevere lezioni individuali di uno strumento (o di canto);Recibir clases individuales de un instrumento (o canto);apmeklēju individuālās stundas instrumenta spēlē vai dziedāšanā
TCCM_0001_CHOICE5;Gruppenunterricht an einem Instrument (oder Gesang) erhalten;receive group lessons on an instrument (or voice);Gruppenunterricht an einem Instrument (oder Gesang) erhalten;Ricevere lezioni di gruppo di uno strumento (o di canto);Recibir clases grupales de un instrumento (o canto);apmeklēju grupu stundas instrumenta spēlē vai dziedāšanā
TCCM_0001_CHOICE6;Musikunterricht in der Schule gehabt;have music classes in school;Musikunterricht in der Schule gehabt;Frequentare lezioni di musica a scuola;Asistir a clases de música en la escuela;apgūstu mūziku skolā
TCCM_0001_CHOICE7;an (einer) Musik-AG(s) nach der Schule teilgenommen;attend music-related after school clubs;an (einer) Musik-AG(s) nach der Schule teilgenommen;Frequentare attività dopo scuola correlate alla musica;Asistir a actividades extracurriculares relacionadas con la música.;apmeklēju ārpusskolas mūzikas pulciņus
TCCM_0001_CHOICE8;Playlists für mich oder andere zusammengestellt;sometimes compile playlists for myself or others;Playlists für mich oder andere zusammengestellt;Creare ogni tanto playlist per me stesso/a o per gli altri;Crear alguna vez una lista de reproducción (escuchar) para mí o para los demás;dažkārt sastādu mūzikas atskaņošanas sarakstu (pleilisti) sev vai citiem
TCCM_0001_CHOICE9;nichts der oben genannten Aktivitäten;none of the above;nichts der oben genannten Aktivitäten;Nessuna delle precedenti;Ninguna de las anteriores;neviens no augstāk minētā
