"key";"de";"en";"de_f";"it";"es"
"TCMT_0000_PROMPT";"Kompetenzorientierung im Musikunterricht";"Competence focus in Music Teaching";"Kompetenzorientierung im Musikunterricht";"Competence focus in Music Teaching";"Competence focus in Music Teaching"
"TCMT_0001_PROMPT";"In diesem Fragebogen geht es um Deinen Musikunterricht in der Schule.\\
Du wirst nach verschiedenen Tätigkeiten im Musikunterricht gefragt.\\
Versuche Dich für jede Tätigkeit so gut es geht zu erinnern: Wie oft hast Du diese Tätigkeit gemacht?\\
Vielleicht hast Du sie in keiner, vielleicht in mehr als zehn Unterrichtsstunden (45min) gemacht. Es gibt kein richtig und falsch.\\
Wenn du dich nicht mehr erinnern kannst, entscheide einfach aus dem Bauch.";"This questionnaire is about your music lessons in school.\\
You will be asked about different activities in music lessons.\\
For each activity, try to remember as best as possible: How often did you do this activity?\\
Maybe you never did it, maybe you did it in more than ten school lessons (45min). There is no wrong or right answer. \\
If you can't remember, just give your best guess.";"In diesem Fragebogen geht es um Deinen Musikunterricht in der Schule.\\
Du wirst nach verschiedenen Tätigkeiten im Musikunterricht gefragt.\\
Versuche Dich für jede Tätigkeit so gut es geht zu erinnern: Wie oft hast Du diese Tätigkeit gemacht?\\
Vielleicht hast Du sie in keiner, vielleicht in mehr als zehn Unterrichtsstunden (45min) gemacht. Es gibt kein richtig und falsch.\\
Wenn du dich nicht mehr erinnern kannst, entscheide einfach aus dem Bauch.";"This questionnaire is about your music lessons in school.\\
You will be asked about different activities in music lessons.\\
For each activity, try to remember as best as possible: How often did you do this activity?\\
Maybe you never did it, maybe you did it in more than ten school lessons (45min). There is no wrong or right answer. \\
If you can't remember, just give your best guess.";"This questionnaire is about your music lessons in school.\\
You will be asked about different activities in music lessons.\\
For each activity, try to remember as best as possible: How often did you do this activity?\\
Maybe you never did it, maybe you did it in more than ten school lessons (45min). There is no wrong or right answer. \\
If you can't remember, just give your best guess."
"PROMPT_HEAD";"Wie oft hast Du in den letzten 6 Monaten (vor Corona) **im Musikunterricht**…";"How often did you participate in the following acitivities **in your music lessons in school** in the last six months (before Corona)?";"Wie oft hast Du in den letzten 6 Monaten (vor Corona) **im Musikunterricht**…";"How often did you participate in the following acitivities **in your music lessons in school** in the last six months (before Corona)?";"How often did you participate in the following acitivities **in your music lessons in school** in the last six months (before Corona)?"
"TCMT_0002_PROMPT";"…Lieder mit Instrumenten begleitet?";"play along songs with instruments";"…Lieder mit Instrumenten begleitet?";"play along songs with instruments";"play along songs with instruments"
"TCMT_0002_CHOICE1";"nie";"never";"nie";"never";"never"
"TCMT_0002_CHOICE2";"in 1 Unterrichtsstunde";"in 1 lesson";"in 1 Unterrichtsstunde";"in 1 lesson";"in 1 lesson"
"TCMT_0002_CHOICE3";"in 2 bis 5 Unterrichtsstunden";"in 2 to 5 lessons";"in 2 bis 5 Unterrichtsstunden";"in 2 to 5 lessons";"in 2 to 5 lessons"
"TCMT_0002_CHOICE4";"in 6 bis 10 Unterrichtsstunden";"in 6 to 10 lessons";"in 6 bis 10 Unterrichtsstunden";"in 6 to 10 lessons";"in 6 to 10 lessons"
"TCMT_0002_CHOICE5";"in mehr als 10 Unterrichtsstunden";"in more than 10 lessons";"in mehr als 10 Unterrichtsstunden";"in more than 10 lessons";"in more than 10 lessons"
"TCMT_0003_PROMPT";"…verschiedene Tänze ausgeführt?";"do different dances";"…verschiedene Tänze ausgeführt?";"do different dances";"do different dances"
"TCMT_0003_CHOICE1";"nie";"never";"nie";"never";"never"
"TCMT_0003_CHOICE2";"in 1 Unterrichtsstunde";"in 1 lesson";"in 1 Unterrichtsstunde";"in 1 lesson";"in 1 lesson"
"TCMT_0003_CHOICE3";"in 2 bis 5 Unterrichtsstunden";"in 2 to 5 lessons";"in 2 bis 5 Unterrichtsstunden";"in 2 to 5 lessons";"in 2 to 5 lessons"
"TCMT_0003_CHOICE4";"in 6 bis 10 Unterrichtsstunden";"in 6 to 10 lessons";"in 6 bis 10 Unterrichtsstunden";"in 6 to 10 lessons";"in 6 to 10 lessons"
