"key";"de";"en";"de_f";"it";"es"
"TDAC_0000_PROMPT";"Fragebogen zur Schauspielaktivität";"Drama Activity Questionnaire";"Fragebogen zur Schauspielaktivität";"Drama Activity Questionnaire";"Drama Activity Questionnaire"
"TDAC_0001_PROMPT";"Wir versuchen herauszufinden, inwieweit du <b>schauspielerischen Aktivitäten</b> nachgegangen bist. Das beinhaltet Theater, Improvisation, Rollenspiele etc. Denk daran: Es gibt keine richtigen oder falschen Antworten &ndash; dies ist kein Test. Bitte beantworte alle Fragen so ehrlich und genau, wie du kannst &ndash; das ist sehr wichtig.";"We are trying to find out about your engagement with <b>drama</b> over the last three months. This includes theatre, improvisation, role-play, etc. Remember: There are no right and wrong answers &ndash; this is not a test. Please answer all the questions as honestly and accurately as you can &ndash; this is very important.";"Wir versuchen herauszufinden, inwieweit du <b>schauspielerischen Aktivitäten</b> nachgegangen bist. Das beinhaltet Theater, Improvisation, Rollenspiele etc. Denk daran: Es gibt keine richtigen oder falschen Antworten &ndash; dies ist kein Test. Bitte beantworte alle Fragen so ehrlich und genau, wie du kannst &ndash; das ist sehr wichtig.";"We are trying to find out about your engagement with <b>drama</b> over the last three months. This includes theatre, improvisation, role-play, etc. Remember: There are no right and wrong answers &ndash; this is not a test. Please answer all the questions as honestly and accurately as you can &ndash; this is very important.";"We are trying to find out about your engagement with <b>drama</b> over the last three months. This includes theatre, improvisation, role-play, etc. Remember: There are no right and wrong answers &ndash; this is not a test. Please answer all the questions as honestly and accurately as you can &ndash; this is very important."
"TDAC_0002_CHOICE1";"Keinmal";"None";"Keinmal";"None";"None"
"TDAC_0002_CHOICE2";"Einmal pro Woche";"1 time per week";"Einmal pro Woche";"1 time per week";"1 time per week"
"TDAC_0002_CHOICE3";"2- oder 3-mal pro Woche";"2 or 3 times per week";"2- oder 3-mal pro Woche";"2 or 3 times per week";"2 or 3 times per week"
"TDAC_0002_CHOICE4";"4-mal pro Woche";"4 times per week";"4-mal pro Woche";"4 times per week";"4 times per week"
"TDAC_0002_CHOICE5";"5-mal pro Woche";"5 times per week";"5-mal pro Woche";"5 times per week";"5 times per week"
"TDAC_0002_PROMPT";"Wie oft hast du in den letzten drei Monaten nach der Schule Theater gespielt, z. B. in einer Schul-AG?";"In the last three months, how many times per week did you do drama right after school, e.g. as part of an after school club?";"Wie oft hast du in den letzten drei Monaten nach der Schule Theater gespielt, z. B. in einer Schul-AG?";"In the last three months, how many times per week did you do drama right after school, e.g. as part of an after school club?";"In the last three months, how many times per week did you do drama right after school, e.g. as part of an after school club?"
"TDAC_0003_CHOICE1";"Keinmal";"None";"Keinmal";"None";"None"
"TDAC_0003_CHOICE2";"Einmal pro Woche";"1 time per week";"Einmal pro Woche";"1 time per week";"1 time per week"
"TDAC_0003_CHOICE3";"2- oder 3-mal pro Woche";"2 or 3 times per week";"2- oder 3-mal pro Woche";"2 or 3 times per week";"2 or 3 times per week"
"TDAC_0003_CHOICE4";"4- oder 5-mal pro Woche";"4 or 5 times per week";"4- oder 5-mal pro Woche";"4 or 5 times per week";"4 or 5 times per week"
"TDAC_0003_CHOICE5";"6- oder 7-mal pro Woche";"6 or 7 times per week";"6- oder 7-mal pro Woche";"6 or 7 times per week";"6 or 7 times per week"
"TDAC_0003_PROMPT";"An wie vielen Abenden hast du in den letzten drei Monaten Theater gespielt?";"In the last three months, how many evenings per week did you spend doing drama?";"An wie vielen Abenden hast du in den letzten drei Monaten Theater gespielt?";"In the last three months, how many evenings per week did you spend doing drama?";"In the last three months, how many evenings per week did you spend doing drama?"
"TDAC_0004_CHOICE1";"Nie";"Never";"Nie";"Never";"Never"
"TDAC_0004_CHOICE2";"An sehr wenigen Wochenenden";"Very few weekends";"An sehr wenigen Wochenenden";"Very few weekends";"Very few weekends"
"TDAC_0004_CHOICE3";"An einigen Wochenenden";"Some weekends";"An einigen Wochenenden";"Some weekends";"Some weekends"
"TDAC_0004_CHOICE4";"An den meisten Wochenenden";"Most weekends";"An den meisten Wochenenden";"Most weekends";"Most weekends"
"TDAC_0004_CHOICE5";"Jedes Wochenende";"Every weekend";"Jedes Wochenende";"Every weekend";"Every weekend"
