"key";"de";"en";"de_f";"it";"es"
"TEWE_0000_PROMPT";"Fragebogen zum Ohrwurm-Erleben";"Earworm Experience Questionnaire";"Fragebogen zum Ohrwurm-Erleben";"Earworm Experience Questionnaire";"Earworm Experience Questionnaire"
"TEWE_0001_CHOICE";"offene Frage";"open question";"offene Frage";"open question";"open question"
"TEWE_0001_PROMPT";"Können Sie sich an ein bestimmtes Musikstück erinnern, das Sie in den vergangenen Wochen als Ohrwurm gehabt haben? Bitte notieren Sie hier Titel bzw. Komponist:innen oder Interpret:innen, falls Sie diese kennen (Wenn Sie diese Musik selber erfunden haben, notieren Sie bitte einfach „ich“): ";"Can you remember a particular piece of music that you have had as an earworm in the past weeks? Please write down the title or composer or artist here, if you know them (If you invented this music yourself, please just note 'Me'):";"Können Sie sich an ein bestimmtes Musikstück erinnern, das Sie in den vergangenen Wochen als Ohrwurm gehabt haben? Bitte notieren Sie hier Titel bzw. Komponist:innen oder Interpret:innen, falls Sie diese kennen (Wenn Sie diese Musik selber erfunden haben, notieren Sie bitte einfach „ich“): ";"Can you remember a particular piece of music that you have had as an earworm in the past weeks? Please write down the title or composer or artist here, if you know them (If you invented this music yourself, please just note 'Me'):";"Can you remember a particular piece of music that you have had as an earworm in the past weeks? Please write down the title or composer or artist here, if you know them (If you invented this music yourself, please just note 'Me'):"
"TEWE_0002_CHOICE1";"sehr oft";"very often";"sehr oft";"very often";"very often"
"TEWE_0002_CHOICE2";"oft";"often";"oft";"often";"often"
"TEWE_0002_CHOICE3";"selten";"rarely";"selten";"rarely";"rarely"
"TEWE_0002_CHOICE4";"nur einmal";"only once";"nur einmal";"only once";"only once"
"TEWE_0002_CHOICE5";"noch nie";"never";"noch nie";"never";"never"
"TEWE_0002_PROMPT";"Wie oft haben Sie dieses Musikstück gehört?";"How often have heard this piece of music?";"Wie oft haben Sie dieses Musikstück gehört?";"How often have heard this piece of music?";"How often have heard this piece of music?"
"TEWE_0003_CHOICE1";"einen Liedtext";"lyrics";"einen Liedtext";"lyrics";"lyrics"
"TEWE_0003_CHOICE2";"keinen Liedtext";"no lyrics";"keinen Liedtext";"no lyrics";"no lyrics"
"TEWE_0003_PROMPT";"Dieses Musikstück hat";"This piece of music has";"Dieses Musikstück hat";"This piece of music has";"This piece of music has"
"TEWE_0004_CHOICE1";"sehr gerne";"very much";"sehr gerne";"very much";"very much"
"TEWE_0004_CHOICE2";"gerne";"much";"gerne";"much";"much"
"TEWE_0004_CHOICE3";"weder noch";"neither liked nor disliked it";"weder noch";"neither liked nor disliked it";"neither liked nor disliked it"
"TEWE_0004_CHOICE4";"nicht so gerne";"not that much";"nicht so gerne";"not that much";"not that much"
"TEWE_0004_CHOICE5";"gar nicht";"not at all";"gar nicht";"not at all";"not at all"
"TEWE_0004_PROMPT";"Bevor ich es als Ohrwurm hatte, mochte ich dieses Musikstück";"Before I had it as an earworm, I liked this piece of music";"Bevor ich es als Ohrwurm hatte, mochte ich dieses Musikstück";"Before I had it as an earworm, I liked this piece of music";"Before I had it as an earworm, I liked this piece of music"
"TEWE_0005_CHOICE1";"sehr gerne";"very much";"sehr gerne";"very much";"very much"
"TEWE_0005_CHOICE2";"gerne";"much";"gerne";"much";"much"
"TEWE_0005_CHOICE3";"weder noch";"neither liked nor disliked it";"weder noch";"neither liked nor disliked it";"neither liked nor disliked it"
"TEWE_0005_CHOICE4";"nicht so gerne";"not that much";"nicht so gerne";"not that much";"not that much"
"TEWE_0005_CHOICE5";"gar nicht";"not at all";"gar nicht";"not at all";"not at all"
"TEWE_0005_PROMPT";"Nachdem ich es als Ohrwurm hatte, mag ich dieses Musikstück nun";"After having it as an earworm, I like this piece of music now";"Nachdem ich es als Ohrwurm hatte, mag ich dieses Musikstück nun";"After having it as an earworm, I like this piece of music now";"After having it as an earworm, I like this piece of music now"
"TEWE_0006_CHOICE1";"Ich habe keine Ahnung, warum mir diese Musik in den Kopf gekommen ist.";"I have no idea why this music came into my head.";"Ich habe keine Ahnung, warum mir diese Musik in den Kopf gekommen ist.";"I have no idea why this music came into my head.";"I have no idea why this music came into my head."
"TEWE_0006_CHOICE2";"Ich habe diese Musik kürzlich gehört.";"I recently heard this music.";"Ich habe diese Musik kürzlich gehört.";"I recently heard this music.";"I recently heard this music."
"TEWE_0006_CHOICE3";"Eine Person, ein Wort, ein Geräusch oder ein anderes Ereignis in meiner Umgebung hat mich an diese Musik erinnert.";"A person, word, sound, or other occurrence in my environment reminded me of this music.";"Eine Person, ein Wort, ein Geräusch oder ein anderes Ereignis in meiner Umgebung hat mich an diese Musik erinnert.";"A person, word, sound, or other occurrence in my environment reminded me of this music.";"A person, word, sound, or other occurrence in my environment reminded me of this music."
"TEWE_0006_CHOICE4";"Diese Musik erinnert mich an etwas aus meiner Vergangenheit.";"This music reminds me of something from my past.";"Diese Musik erinnert mich an etwas aus meiner Vergangenheit.";"This music reminds me of something from my past.";"This music reminds me of something from my past."
"TEWE_0006_CHOICE5";"Ich habe an ein zukünftiges Ereignis gedacht und es mit dieser Musik in Verbindung gebracht.";"I was thinking about a future event and related it to this music.";"Ich habe an ein zukünftiges Ereignis gedacht und es mit dieser Musik in Verbindung gebracht.";"I was thinking about a future event and related it to this music.";"I was thinking about a future event and related it to this music."
"TEWE_0006_CHOICE6";"Ich habe diese Musik kürzlich selber gespielt.";"I recently performed this music.";"Ich habe diese Musik kürzlich selber gespielt.";"I recently performed this music.";"I recently performed this music."
"TEWE_0006_CHOICE7";"Andere Gründe";"Other reasons";"Andere Gründe";"Other reasons";"Other reasons"
"TEWE_0006_PROMPT";"Was meinen Sie, warum diese Musik als Ohrwurm aufgetaucht sein könnte? (Mehrfachnennungen sind möglich).";"Why do you think this music might have emerged as an earworm? (Multiple answers are possible).";"Was meinen Sie, warum diese Musik als Ohrwurm aufgetaucht sein könnte? (Mehrfachnennungen sind möglich).";"Why do you think this music might have emerged as an earworm? (Multiple answers are possible).";"Why do you think this music might have emerged as an earworm? (Multiple answers are possible)."
"TEWE_0007_CHOICE1";"den ersten paar Takten oder Textzeilen";"the first few bars or lines of text";"den ersten paar Takten oder Textzeilen";"the first few bars or lines of text";"the first few bars or lines of text"
"TEWE_0007_CHOICE2";"den letzten paar Takten oder Textzeilen";"the last few bars or lines of text";"den letzten paar Takten oder Textzeilen";"the last few bars or lines of text";"the last few bars or lines of text"
"TEWE_0007_CHOICE3";"etwas aus der Mitte einer Strophe";"from a verse";"etwas aus der Mitte einer Strophe";"from a verse";"from a verse"
"TEWE_0007_CHOICE4";"dem Refrain";"the chorus";"dem Refrain";"the chorus";"the chorus"
"TEWE_0007_CHOICE5";"dem Hauptthema ";"the main theme ";"dem Hauptthema ";"the main theme ";"the main theme "
"TEWE_0007_CHOICE6";"weiß ich nicht";"I don't know";"weiß ich nicht";"I don't know";"I don't know"
"TEWE_0007_CHOICE7";"sonstiges";"other";"sonstiges";"other";"other"
"TEWE_0007_PROMPT";"Der Ausschnitt dieses Musikstücks, der als Ohrwurm hängen geblieben ist, stammt aus: ";"The excerpt of this piece of music, which has stuck as an earworm, comes from:";"Der Ausschnitt dieses Musikstücks, der als Ohrwurm hängen geblieben ist, stammt aus: ";"The excerpt of this piece of music, which has stuck as an earworm, comes from:";"The excerpt of this piece of music, which has stuck as an earworm, comes from:"
"TEWE_0008_CHOICE1";"einer gesungenen Melodie";"a vocal melody ";"einer gesungenen Melodie";"a vocal melody ";"a vocal melody "
"TEWE_0008_CHOICE2";"einer instrumentalen Melodie";"an instrumental melody ";"einer instrumentalen Melodie";"an instrumental melody ";"an instrumental melody "
"TEWE_0008_CHOICE3";"einem Riff";"a riff";"einem Riff";"a riff";"a riff"
"TEWE_0008_CHOICE4";"einem Rhythmus (z.B. Drumbeat)";"a rhythm (e.g., drum beat)";"einem Rhythmus (z.B. Drumbeat)";"a rhythm (e.g., drum beat)";"a rhythm (e.g., drum beat)"
"TEWE_0008_CHOICE5";"einem mehrstimmigen musikalischen Ausschnitt";"a polyphonic musical excerpt";"einem mehrstimmigen musikalischen Ausschnitt";"a polyphonic musical excerpt";"a polyphonic musical excerpt"
"TEWE_0008_CHOICE6";"etwas anderem";"something else";"etwas anderem";"something else";"something else"
"TEWE_0008_PROMPT";"Dieser Ohrwurm bestand aus:";"This earworm consists of";"Dieser Ohrwurm bestand aus:";"This earworm consists of";"This earworm consists of"
"TEWE_0009_CHOICE1";"klingt in meinem Kopf wie das Original";"sounds in my head like the original";"klingt in meinem Kopf wie das Original";"sounds in my head like the original";"sounds in my head like the original"
"TEWE_0009_CHOICE2";"ist von mir innerlich nachgesungen";"is sung by me inside";"ist von mir innerlich nachgesungen";"is sung by me inside";"is sung by me inside"
"TEWE_0009_CHOICE3";"ist beides zusammen";"is both together";"ist beides zusammen";"is both together";"is both together"
"TEWE_0009_PROMPT";"Dieser Ohrwurm";"This earworm";"Dieser Ohrwurm";"This earworm";"This earworm"
"TEWE_0010_CHOICE1";"angemessen";"properly ";"angemessen";"properly ";"properly "
"TEWE_0010_CHOICE2";"teilweise angemessen";"partially properly";"teilweise angemessen";"partially properly";"partially properly"
"TEWE_0010_CHOICE3";"nicht angemessen";"not properly";"nicht angemessen";"not properly";"not properly"
"TEWE_0010_CHOICE4";"gar nicht";"not at all";"gar nicht";"not at all";"not at all"
"TEWE_0010_PROMPT";"Wie können Sie den Ohrwurm reproduzieren (singen, pfeifen, ...)?";"How can you reproduce (singing, whistling, ...) this earworm?";"Wie können Sie den Ohrwurm reproduzieren (singen, pfeifen, ...)?";"How can you reproduce (singing, whistling, ...) this earworm?";"How can you reproduce (singing, whistling, ...) this earworm?"
"TEWE_0011_CHOICE1";"Klassik";"Classic";"Klassik";"Classic";"Classic"
"TEWE_0011_CHOICE2";"Pop";"Pop";"Pop";"Pop";"Pop"
"TEWE_0011_CHOICE3";"Rock";"Rock";"Rock";"Rock";"Rock"
"TEWE_0011_CHOICE4";"Jazz";"Jazz";"Jazz";"Jazz";"Jazz"
"TEWE_0011_CHOICE5";"Country";"Country";"Country";"Country";"Country"
"TEWE_0011_CHOICE6";"Musik für Kinder";"Music for kids";"Musik für Kinder";"Music for kids";"Music for kids"
"TEWE_0011_CHOICE7";"Fernseh- oder Filmmusik";"Television or film music";"Fernseh- oder Filmmusik";"Television or film music";"Television or film music"
"TEWE_0011_CHOICE8";"Religiöse Musik";"Religious music";"Religiöse Musik";"Religious music";"Religious music"
"TEWE_0011_CHOICE9";"Schlager";"Evergreens";"Schlager";"Evergreens";"Evergreens"
"TEWE_0011_CHOICE10";"Musical";"Musical";"Musical";"Musical";"Musical"
"TEWE_0011_CHOICE11";"Traditionelle Musik";"Traditional music";"Traditionelle Musik";"Traditional music";"Traditional music"
"TEWE_0011_CHOICE12";"HipHop";"HipHop";"HipHop";"HipHop";"HipHop"
"TEWE_0011_CHOICE13";"EDM";"EDM";"EDM";"EDM";"EDM"
"TEWE_0011_CHOICE14";"Heavy Metal ";"Heavy Metal";"Heavy Metal ";"Heavy Metal";"Heavy Metal"
"TEWE_0011_CHOICE15";"Andere";"Other";"Andere";"Other";"Other"
"TEWE_0011_PROMPT";"Aus welchen Genres stammen Ihre Ohrwürmer meistens? ";"What genres do your earworms mostly come from? ";"Aus welchen Genres stammen Ihre Ohrwürmer meistens? ";"What genres do your earworms mostly come from? ";"What genres do your earworms mostly come from? "
"TEWE_0012_CHOICE1";"ausschließlich wiederkehrende Ohrwürmer";"exclusively recurring";"ausschließlich wiederkehrende Ohrwürmer";"exclusively recurring";"exclusively recurring"
"TEWE_0012_CHOICE2";"wiederkehrende und neue Ohrwürmer ";"recurring as well as new";"wiederkehrende und neue Ohrwürmer ";"recurring as well as new";"recurring as well as new"
"TEWE_0012_CHOICE3";"immer neue Ohrwürmer";"always different";"immer neue Ohrwürmer";"always different";"always different"
"TEWE_0012_PROMPT";"In der Regel habe ich";"In general, my earworms are";"In der Regel habe ich";"In general, my earworms are";"In general, my earworms are"
"TEWE_0013_CHOICE1";"sehr komplex";"very complex";"sehr komplex";"very complex";"very complex"
"TEWE_0013_CHOICE2";"komplex";"complex";"komplex";"complex";"complex"
"TEWE_0013_CHOICE3";"weder komplex noch einfach";"neither complex nor simple";"weder komplex noch einfach";"neither complex nor simple";"neither complex nor simple"
"TEWE_0013_CHOICE4";"einfach";"simple";"einfach";"simple";"simple"
"TEWE_0013_CHOICE5";"sehr einfach";"very simple";"sehr einfach";"very simple";"very simple"
