"key";"de";"en";"de_f";"it";"es"
"TFSR_0000_PROMPT";"Kurzfragebogen zum Flow";"Flow Short Scale";"Kurzfragebogen zum Flow";"Flow Short Scale";"Flow Short Scale"
"TFSR_0001_CHOICE1";"Trifft gar nicht zu";"Strongly disagree";"Trifft gar nicht zu";"Strongly disagree";"Strongly disagree"
"TFSR_0001_CHOICE2";"Trifft nicht zu";"Disagree";"Trifft nicht zu";"Disagree";"Disagree"
"TFSR_0001_CHOICE3";"Trifft eher nicht zu";"Slightly Disagree";"Trifft eher nicht zu";"Slightly Disagree";"Slightly Disagree"
"TFSR_0001_CHOICE4";"Weder noch";"Neither agree nor disagree";"Weder noch";"Neither agree nor disagree";"Neither agree nor disagree"
"TFSR_0001_CHOICE5";"Trifft eher zu";"Agree";"Trifft eher zu";"Agree";"Agree"
"TFSR_0001_CHOICE6";"Trifft zu";"Slightly agree";"Trifft zu";"Slightly agree";"Slightly agree"
"TFSR_0001_CHOICE7";"Trifft voll zu";"Strongly agree";"Trifft voll zu";"Strongly agree";"Strongly agree"
"TFSR_0001_PROMPT";"Ich fühle mich optimal beansprucht.";"I feel just the right amount of challenge.";"Ich fühle mich optimal beansprucht.";"I feel just the right amount of challenge.";"I feel just the right amount of challenge."
"TFSR_0002_CHOICE1";"Trifft gar nicht zu";"Strongly disagree";"Trifft gar nicht zu";"Strongly disagree";"Strongly disagree"
"TFSR_0002_CHOICE2";"Trifft nicht zu";"Disagree";"Trifft nicht zu";"Disagree";"Disagree"
"TFSR_0002_CHOICE3";"Trifft eher nicht zu";"Slightly Disagree";"Trifft eher nicht zu";"Slightly Disagree";"Slightly Disagree"
"TFSR_0002_CHOICE4";"Weder noch";"Neither agree nor disagree";"Weder noch";"Neither agree nor disagree";"Neither agree nor disagree"
"TFSR_0002_CHOICE5";"Trifft eher zu";"Agree";"Trifft eher zu";"Agree";"Agree"
"TFSR_0002_CHOICE6";"Trifft zu";"Slightly agree";"Trifft zu";"Slightly agree";"Slightly agree"
"TFSR_0002_CHOICE7";"Trifft voll zu";"Strongly agree";"Trifft voll zu";"Strongly agree";"Strongly agree"
"TFSR_0002_PROMPT";"Meine Gedanken bzw. Aktivitäten laufen flüssig und glatt";"My thoughts/activities run fluidly and smoothly.";"Meine Gedanken bzw. Aktivitäten laufen flüssig und glatt";"My thoughts/activities run fluidly and smoothly.";"My thoughts/activities run fluidly and smoothly."
"TFSR_0003_CHOICE1";"Trifft gar nicht zu";"Strongly disagree";"Trifft gar nicht zu";"Strongly disagree";"Strongly disagree"
"TFSR_0003_CHOICE2";"Trifft nicht zu";"Disagree";"Trifft nicht zu";"Disagree";"Disagree"
"TFSR_0003_CHOICE3";"Trifft eher nicht zu";"Slightly Disagree";"Trifft eher nicht zu";"Slightly Disagree";"Slightly Disagree"
"TFSR_0003_CHOICE4";"Weder noch";"Neither agree nor disagree";"Weder noch";"Neither agree nor disagree";"Neither agree nor disagree"
"TFSR_0003_CHOICE5";"Trifft eher zu";"Agree";"Trifft eher zu";"Agree";"Agree"
"TFSR_0003_CHOICE6";"Trifft zu";"Slightly agree";"Trifft zu";"Slightly agree";"Slightly agree"
"TFSR_0003_CHOICE7";"Trifft voll zu";"Strongly agree";"Trifft voll zu";"Strongly agree";"Strongly agree"
"TFSR_0003_PROMPT";"Ich merke gar nicht, wie die Zeit vergeht.";"I do not notice time passing.";"Ich merke gar nicht, wie die Zeit vergeht.";"I do not notice time passing.";"I do not notice time passing."
"TFSR_0004_CHOICE1";"Trifft gar nicht zu";"Strongly disagree";"Trifft gar nicht zu";"Strongly disagree";"Strongly disagree"
"TFSR_0004_CHOICE2";"Trifft nicht zu";"Disagree";"Trifft nicht zu";"Disagree";"Disagree"
"TFSR_0004_CHOICE3";"Trifft eher nicht zu";"Slightly Disagree";"Trifft eher nicht zu";"Slightly Disagree";"Slightly Disagree"
"TFSR_0004_CHOICE4";"Weder noch";"Neither agree nor disagree";"Weder noch";"Neither agree nor disagree";"Neither agree nor disagree"
"TFSR_0004_CHOICE5";"Trifft eher zu";"Agree";"Trifft eher zu";"Agree";"Agree"
"TFSR_0004_CHOICE6";"Trifft zu";"Slightly agree";"Trifft zu";"Slightly agree";"Slightly agree"
"TFSR_0004_CHOICE7";"Trifft voll zu";"Strongly agree";"Trifft voll zu";"Strongly agree";"Strongly agree"
