"key";"de";"en";"de_f";"it";"es"
"TFSS_0000_PROMPT";"Fragebogen zum Flowzustand";"Flow State Scale";"Fragebogen zum Flowzustand";"Flow State Scale";"Flow State Scale"
"TFSS_0001_CHOICE1";"Stimme gar nicht zu";"Strongly disagree";"Stimme gar nicht zu";"Strongly disagree";"Strongly disagree"
"TFSS_0001_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TFSS_0001_CHOICE3";"Weder noch";"Neither agree nor disagree";"Weder noch";"Neither agree nor disagree";"Neither agree nor disagree"
"TFSS_0001_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TFSS_0001_CHOICE5";"Stimme voll zu";"Strongly agree";"Stimme voll zu";"Strongly agree";"Strongly agree"
"TFSS_0001_PROMPT";"Es war eine Herausforderung, aber ich merkte, dass meine Fähigkeiten gut genug sind, um die Herausforderung zu meistern.";"I was challenged, but I believed my skills would allow me to meet the challenge.";"Es war eine Herausforderung, aber ich merkte, dass meine Fähigkeiten gut genug sind, um die Herausforderung zu meistern.";"I was challenged, but I believed my skills would allow me to meet the challenge.";"I was challenged, but I believed my skills would allow me to meet the challenge."
"TFSS_0002_CHOICE1";"Stimme gar nicht zu";"Strongly disagree";"Stimme gar nicht zu";"Strongly disagree";"Strongly disagree"
"TFSS_0002_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TFSS_0002_CHOICE3";"Weder noch";"Neither agree nor disagree";"Weder noch";"Neither agree nor disagree";"Neither agree nor disagree"
"TFSS_0002_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TFSS_0002_CHOICE5";"Stimme voll zu";"Strongly agree";"Stimme voll zu";"Strongly agree";"Strongly agree"
"TFSS_0002_PROMPT";"Ich machte die richtigen Bewegungen, ohne darüber nachzudenken.";"I made the correct movements without thinking about trying to do so.";"Ich machte die richtigen Bewegungen, ohne darüber nachzudenken.";"I made the correct movements without thinking about trying to do so.";"I made the correct movements without thinking about trying to do so."
"TFSS_0003_CHOICE1";"Stimme gar nicht zu";"Strongly disagree";"Stimme gar nicht zu";"Strongly disagree";"Strongly disagree"
"TFSS_0003_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TFSS_0003_CHOICE3";"Weder noch";"Neither agree nor disagree";"Weder noch";"Neither agree nor disagree";"Neither agree nor disagree"
"TFSS_0003_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TFSS_0003_CHOICE5";"Stimme voll zu";"Strongly agree";"Stimme voll zu";"Strongly agree";"Strongly agree"
"TFSS_0003_PROMPT";"Ich wusste genau, was ich tun wollte.";"I knew clearly what I wanted to do.";"Ich wusste genau, was ich tun wollte.";"I knew clearly what I wanted to do.";"I knew clearly what I wanted to do."
"TFSS_0004_CHOICE1";"Stimme gar nicht zu";"Strongly disagree";"Stimme gar nicht zu";"Strongly disagree";"Strongly disagree"
"TFSS_0004_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TFSS_0004_CHOICE3";"Weder noch";"Neither agree nor disagree";"Weder noch";"Neither agree nor disagree";"Neither agree nor disagree"
"TFSS_0004_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TFSS_0004_CHOICE5";"Stimme voll zu";"Strongly agree";"Stimme voll zu";"Strongly agree";"Strongly agree"
