"key";"de";"en";"de_f";"it";"es"
"TGDS_0000_PROMPT";"Gold-DSI Fragebogen zur tänzerischen Erfahrenheit";"Goldsmiths Dance Sophistication Index";"Gold-DSI Fragebogen zur tänzerischen Erfahrenheit";"Goldsmiths Dance Sophistication Index";"Goldsmiths Dance Sophistication Index"
"TGDS_0001_CHOICE1";"Stimme ganz und gar nicht zu";"Completely disagree";"Stimme ganz und gar nicht zu";"Completely disagree";"Completely disagree"
"TGDS_0001_CHOICE2";"Stimme nicht zu";"Strongly disagree";"Stimme nicht zu";"Strongly disagree";"Strongly disagree"
"TGDS_0001_CHOICE3";"Stimme eher nicht zu";"Disagree";"Stimme eher nicht zu";"Disagree";"Disagree"
"TGDS_0001_CHOICE4";"Weder noch";"Neither agree, nor disagree";"Weder noch";"Neither agree, nor disagree";"Neither agree, nor disagree"
"TGDS_0001_CHOICE5";"Stimme eher zu";"Agree";"Stimme eher zu";"Agree";"Agree"
"TGDS_0001_CHOICE6";"Stimme zu";"Strongly agree";"Stimme zu";"Strongly agree";"Strongly agree"
"TGDS_0001_CHOICE7";"Stimme voll und ganz zu";"Completely agree";"Stimme voll und ganz zu";"Completely agree";"Completely agree"
"TGDS_0001_PROMPT";"Ich finde es leicht neue Bewegungen zu erlernen.";"I find it easy to learn new movements.";"Ich finde es leicht neue Bewegungen zu erlernen.";"I find it easy to learn new movements.";"I find it easy to learn new movements."
"TGDS_0002_CHOICE1";"Stimme ganz und gar nicht zu";"Completely disagree";"Stimme ganz und gar nicht zu";"Completely disagree";"Completely disagree"
"TGDS_0002_CHOICE2";"Stimme nicht zu";"Strongly disagree";"Stimme nicht zu";"Strongly disagree";"Strongly disagree"
"TGDS_0002_CHOICE3";"Stimme eher nicht zu";"Disagree";"Stimme eher nicht zu";"Disagree";"Disagree"
"TGDS_0002_CHOICE4";"Weder noch";"Neither agree, nor disagree";"Weder noch";"Neither agree, nor disagree";"Neither agree, nor disagree"
"TGDS_0002_CHOICE5";"Stimme eher zu";"Agree";"Stimme eher zu";"Agree";"Agree"
"TGDS_0002_CHOICE6";"Stimme zu";"Strongly agree";"Stimme zu";"Strongly agree";"Strongly agree"
"TGDS_0002_CHOICE7";"Stimme voll und ganz zu";"Completely agree";"Stimme voll und ganz zu";"Completely agree";"Completely agree"
"TGDS_0002_PROMPT";"Ich habe das Gefühl als hätte ich zwei linke Füße.";"I feel like I have two left feet.";"Ich habe das Gefühl als hätte ich zwei linke Füße.";"I feel like I have two left feet.";"I feel like I have two left feet."
"TGDS_0003_CHOICE1";"Stimme ganz und gar nicht zu";"Completely disagree";"Stimme ganz und gar nicht zu";"Completely disagree";"Completely disagree"
"TGDS_0003_CHOICE2";"Stimme nicht zu";"Strongly disagree";"Stimme nicht zu";"Strongly disagree";"Strongly disagree"
"TGDS_0003_CHOICE3";"Stimme eher nicht zu";"Disagree";"Stimme eher nicht zu";"Disagree";"Disagree"
"TGDS_0003_CHOICE4";"Weder noch";"Neither agree, nor disagree";"Weder noch";"Neither agree, nor disagree";"Neither agree, nor disagree"
"TGDS_0003_CHOICE5";"Stimme eher zu";"Agree";"Stimme eher zu";"Agree";"Agree"
"TGDS_0003_CHOICE6";"Stimme zu";"Strongly agree";"Stimme zu";"Strongly agree";"Strongly agree"
"TGDS_0003_CHOICE7";"Stimme voll und ganz zu";"Completely agree";"Stimme voll und ganz zu";"Completely agree";"Completely agree"
"TGDS_0003_PROMPT";"Ich findes es leicht meine Beweegungen zu kontrollieren.";"I find it easy to control my movements.";"Ich findes es leicht meine Beweegungen zu kontrollieren.";"I find it easy to control my movements.";"I find it easy to control my movements."
"TGDS_0004_CHOICE1";"Stimme ganz und gar nicht zu";"Completely disagree";"Stimme ganz und gar nicht zu";"Completely disagree";"Completely disagree"
"TGDS_0004_CHOICE2";"Stimme nicht zu";"Strongly disagree";"Stimme nicht zu";"Strongly disagree";"Strongly disagree"
"TGDS_0004_CHOICE3";"Stimme eher nicht zu";"Disagree";"Stimme eher nicht zu";"Disagree";"Disagree"
"TGDS_0004_CHOICE4";"Weder noch";"Neither agree, nor disagree";"Weder noch";"Neither agree, nor disagree";"Neither agree, nor disagree"
"TGDS_0004_CHOICE5";"Stimme eher zu";"Agree";"Stimme eher zu";"Agree";"Agree"
"TGDS_0004_CHOICE6";"Stimme zu";"Strongly agree";"Stimme zu";"Strongly agree";"Strongly agree"
"TGDS_0004_CHOICE7";"Stimme voll und ganz zu";"Completely agree";"Stimme voll und ganz zu";"Completely agree";"Completely agree"
"TGDS_0004_PROMPT";"Ich bin nicht sehr geschickt, wenn ich mich bewege.";"I am not very coordinated.";"Ich bin nicht sehr geschickt, wenn ich mich bewege.";"I am not very coordinated.";"I am not very coordinated."
"TGDS_0005_CHOICE1";"Stimme ganz und gar nicht zu";"Completely disagree";"Stimme ganz und gar nicht zu";"Completely disagree";"Completely disagree"
"TGDS_0005_CHOICE2";"Stimme nicht zu";"Strongly disagree";"Stimme nicht zu";"Strongly disagree";"Strongly disagree"
"TGDS_0005_CHOICE3";"Stimme eher nicht zu";"Disagree";"Stimme eher nicht zu";"Disagree";"Disagree"
"TGDS_0005_CHOICE4";"Weder noch";"Neither agree, nor disagree";"Weder noch";"Neither agree, nor disagree";"Neither agree, nor disagree"
"TGDS_0005_CHOICE5";"Stimme eher zu";"Agree";"Stimme eher zu";"Agree";"Agree"
"TGDS_0005_CHOICE6";"Stimme zu";"Strongly agree";"Stimme zu";"Strongly agree";"Strongly agree"
"TGDS_0005_CHOICE7";"Stimme voll und ganz zu";"Completely agree";"Stimme voll und ganz zu";"Completely agree";"Completely agree"
"TGDS_0005_PROMPT";"Ich bin mir meines Körpers und meiner Haltung bewusst.";"I am aware of my body and how I hold myself.";"Ich bin mir meines Körpers und meiner Haltung bewusst.";"I am aware of my body and how I hold myself.";"I am aware of my body and how I hold myself."
"TGDS_0006_CHOICE1";"Stimme ganz und gar nicht zu";"Completely disagree";"Stimme ganz und gar nicht zu";"Completely disagree";"Completely disagree"
"TGDS_0006_CHOICE2";"Stimme nicht zu";"Strongly disagree";"Stimme nicht zu";"Strongly disagree";"Strongly disagree"
"TGDS_0006_CHOICE3";"Stimme eher nicht zu";"Disagree";"Stimme eher nicht zu";"Disagree";"Disagree"
"TGDS_0006_CHOICE4";"Weder noch";"Neither agree, nor disagree";"Weder noch";"Neither agree, nor disagree";"Neither agree, nor disagree"
"TGDS_0006_CHOICE5";"Stimme eher zu";"Agree";"Stimme eher zu";"Agree";"Agree"
"TGDS_0006_CHOICE6";"Stimme zu";"Strongly agree";"Stimme zu";"Strongly agree";"Strongly agree"
"TGDS_0006_CHOICE7";"Stimme voll und ganz zu";"Completely agree";"Stimme voll und ganz zu";"Completely agree";"Completely agree"
"TGDS_0006_PROMPT";"Ich finde es leicht, die Bewegungen von anderen zu lernen oder nachzumachen.";"I find it easy to learn or imitate other people’s movements.";"Ich finde es leicht, die Bewegungen von anderen zu lernen oder nachzumachen.";"I find it easy to learn or imitate other people’s movements.";"I find it easy to learn or imitate other people’s movements."
"TGDS_0007_CHOICE1";"Stimme ganz und gar nicht zu";"Completely disagree";"Stimme ganz und gar nicht zu";"Completely disagree";"Completely disagree"
"TGDS_0007_CHOICE2";"Stimme nicht zu";"Strongly disagree";"Stimme nicht zu";"Strongly disagree";"Strongly disagree"
"TGDS_0007_CHOICE3";"Stimme eher nicht zu";"Disagree";"Stimme eher nicht zu";"Disagree";"Disagree"
"TGDS_0007_CHOICE4";"Weder noch";"Neither agree, nor disagree";"Weder noch";"Neither agree, nor disagree";"Neither agree, nor disagree"
"TGDS_0007_CHOICE5";"Stimme eher zu";"Agree";"Stimme eher zu";"Agree";"Agree"
"TGDS_0007_CHOICE6";"Stimme zu";"Strongly agree";"Stimme zu";"Strongly agree";"Strongly agree"
"TGDS_0007_CHOICE7";"Stimme voll und ganz zu";"Completely agree";"Stimme voll und ganz zu";"Completely agree";"Completely agree"
"TGDS_0007_PROMPT";"Wenn mich jemand fragt, ob ich tanzen möchte, sage ich normalerweise ja.";"If someone asks me to dance, I usually say yes.";"Wenn mich jemand fragt, ob ich tanzen möchte, sage ich normalerweise ja.";"If someone asks me to dance, I usually say yes.";"If someone asks me to dance, I usually say yes."
"TGDS_0008_CHOICE1";"Stimme ganz und gar nicht zu";"Completely disagree";"Stimme ganz und gar nicht zu";"Completely disagree";"Completely disagree"
"TGDS_0008_CHOICE2";"Stimme nicht zu";"Strongly disagree";"Stimme nicht zu";"Strongly disagree";"Strongly disagree"
"TGDS_0008_CHOICE3";"Stimme eher nicht zu";"Disagree";"Stimme eher nicht zu";"Disagree";"Disagree"
"TGDS_0008_CHOICE4";"Weder noch";"Neither agree, nor disagree";"Weder noch";"Neither agree, nor disagree";"Neither agree, nor disagree"
"TGDS_0008_CHOICE5";"Stimme eher zu";"Agree";"Stimme eher zu";"Agree";"Agree"
"TGDS_0008_CHOICE6";"Stimme zu";"Strongly agree";"Stimme zu";"Strongly agree";"Strongly agree"
"TGDS_0008_CHOICE7";"Stimme voll und ganz zu";"Completely agree";"Stimme voll und ganz zu";"Completely agree";"Completely agree"
"TGDS_0008_PROMPT";"Ich würde lieber in eine Bar als in einen Club zu gehen, um nicht tanzen zu müssen.";"I would rather go to a pub than a club so that I do not have to dance.";"Ich würde lieber in eine Bar als in einen Club zu gehen, um nicht tanzen zu müssen.";"I would rather go to a pub than a club so that I do not have to dance.";"I would rather go to a pub than a club so that I do not have to dance."
"TGDS_0009_CHOICE1";"Stimme ganz und gar nicht zu";"Completely disagree";"Stimme ganz und gar nicht zu";"Completely disagree";"Completely disagree"
"TGDS_0009_CHOICE2";"Stimme nicht zu";"Strongly disagree";"Stimme nicht zu";"Strongly disagree";"Strongly disagree"
"TGDS_0009_CHOICE3";"Stimme eher nicht zu";"Disagree";"Stimme eher nicht zu";"Disagree";"Disagree"
"TGDS_0009_CHOICE4";"Weder noch";"Neither agree, nor disagree";"Weder noch";"Neither agree, nor disagree";"Neither agree, nor disagree"
"TGDS_0009_CHOICE5";"Stimme eher zu";"Agree";"Stimme eher zu";"Agree";"Agree"
"TGDS_0009_CHOICE6";"Stimme zu";"Strongly agree";"Stimme zu";"Strongly agree";"Strongly agree"
"TGDS_0009_CHOICE7";"Stimme voll und ganz zu";"Completely agree";"Stimme voll und ganz zu";"Completely agree";"Completely agree"
