"key";"de";"en"
"TGRT_0000_PROMPT";"Fragebogen zum Durchhaltevermögen";"Short Grit Scale"
"TGRT_0001_PROMPT";"Bitte lies die folgenden Aussagen sorgfältig und entscheide, inwieweit du ihnen zustimmst. Sei bitte ehrlich - es gibt keine richtigen oder falschen Antworten oder Fangfragen.";"Please respond to the following 8 items. Be honest - there are no right or wrong answers!"
"TGRT_0002_CHOICE1";"Passt sehr gut auf mich";"Very much like me"
"TGRT_0002_CHOICE2";"Passt auf mich";"Mostly like me"
"TGRT_0002_CHOICE3";"Passt etwas auf mich";"Somewhat like me"
"TGRT_0002_CHOICE4";"Passt nicht auf mich";"Not much like me"
"TGRT_0002_CHOICE5";"Passt überhaupt nicht auf mich";"Not like me at all"
"TGRT_0002_PROMPT";"Neue Ideen und Projekte lenken mich manchmal von früheren ab.";"New ideas and projects sometimes distract me from previous ones."
"TGRT_0003_CHOICE1";"Passt sehr gut auf mich";"Very much like me"
"TGRT_0003_CHOICE2";"Passt auf mich";"Mostly like me"
"TGRT_0003_CHOICE3";"Passt etwas auf mich";"Somewhat like me"
"TGRT_0003_CHOICE4";"Passt nicht auf mich";"Not much like me"
"TGRT_0003_CHOICE5";"Passt überhaupt nicht auf mich";"Not like me at all"
"TGRT_0003_PROMPT";"Rückschläge entmutigen micht nicht.";"Setbacks don't discourage me."
"TGRT_0004_CHOICE1";"Passt sehr gut auf mich";"Very much like me"
"TGRT_0004_CHOICE2";"Passt auf mich";"Mostly like me"
"TGRT_0004_CHOICE3";"Passt etwas auf mich";"Somewhat like me"
"TGRT_0004_CHOICE4";"Passt nicht auf mich";"Not much like me"
"TGRT_0004_CHOICE5";"Passt überhaupt nicht auf mich";"Not like me at all"
"TGRT_0004_PROMPT";"Ich war eine Weile von einer bestimmten Idee oder einem bestimmten Projekt besessen, verlor aber später das Interesse.";"I have been obsessed with a certain idea or project for a short time but later lost interest."
"TGRT_0005_CHOICE1";"Passt sehr gut auf mich";"Very much like me"
"TGRT_0005_CHOICE2";"Passt auf mich";"Mostly like me"
"TGRT_0005_CHOICE3";"Passt etwas auf mich";"Somewhat like me"
"TGRT_0005_CHOICE4";"Passt nicht auf mich";"Not much like me"
"TGRT_0005_CHOICE5";"Passt überhaupt nicht auf mich";"Not like me at all"
"TGRT_0005_PROMPT";"Ich arbeite hart.";"I am a hard worker."
"TGRT_0006_CHOICE1";"Passt sehr gut auf mich";"Very much like me"
"TGRT_0006_CHOICE2";"Passt auf mich";"Mostly like me"
"TGRT_0006_CHOICE3";"Passt etwas auf mich";"Somewhat like me"
"TGRT_0006_CHOICE4";"Passt nicht auf mich";"Not much like me"
"TGRT_0006_CHOICE5";"Passt überhaupt nicht auf mich";"Not like me at all"
"TGRT_0006_PROMPT";"Ich setze mir oft ein Ziel und entscheide mich später, ein anderes zu verfolgen.";"I often set a goal but later choose to pursue a different one."
"TGRT_0007_CHOICE1";"Passt sehr gut auf mich";"Very much like me"
"TGRT_0007_CHOICE2";"Passt auf mich";"Mostly like me"
"TGRT_0007_CHOICE3";"Passt etwas auf mich";"Somewhat like me"
"TGRT_0007_CHOICE4";"Passt nicht auf mich";"Not much like me"
"TGRT_0007_CHOICE5";"Passt überhaupt nicht auf mich";"Not like me at all"
"TGRT_0007_PROMPT";"Es fällt mir schwer, mich auf Projekte zu konzentrieren, die länger als ein paar Monate dauern.";"I have difficulty maintaining my focus on projects that take more than a few months to complete."
"TGRT_0008_CHOICE1";"Passt sehr gut auf mich";"Very much like me"
"TGRT_0008_CHOICE2";"Passt auf mich";"Mostly like me"
"TGRT_0008_CHOICE3";"Passt etwas auf mich";"Somewhat like me"
"TGRT_0008_CHOICE4";"Passt nicht auf mich";"Not much like me"
"TGRT_0008_CHOICE5";"Passt überhaupt nicht auf mich";"Not like me at all"
"TGRT_0008_PROMPT";"Ich beende was ich angefangen habe.";"I finish whatever I begin."
"TGRT_0009_CHOICE1";"Passt sehr gut auf mich";"Very much like me"
"TGRT_0009_CHOICE2";"Passt auf mich";"Mostly like me"
"TGRT_0009_CHOICE3";"Passt etwas auf mich";"Somewhat like me"
"TGRT_0009_CHOICE4";"Passt nicht auf mich";"Not much like me"
"TGRT_0009_CHOICE5";"Passt überhaupt nicht auf mich";"Not like me at all"
"TGRT_0009_PROMPT";"Ich bin fleißig.";"I am diligent."
