key;en;it
THUM_0000_PROMPT;Healthy-Unhealthy Music Scale;Healthy-Unhealthy Music Scale
THUM_0001_PROMPT;"Most people believe that music is a helpful part of their lives, but sometimes it's not. When you answer the questions below, please try to recall actual moments when music has been helpful and when it has not. Please read each statement and mark how much it applies to you. Mark only one answer for each question.";"La maggior parte delle persone crede che la musica sia d'aiuto nella loro vita, ma qualche volta non lo è. Quando rispondi alle domande qui sotto, per favore prova a ricordare i momenti reali in cui la musica è stata davvero d'aiuto e quando non lo è stata. Per favore, leggi ciascuna frase e segna quanto si addice a te. Segna solo una risposta per ciascuna domanda."
THUM_0002_CHOICE1;Never;Mai
THUM_0002_CHOICE2;Rarely;Raramente
THUM_0002_CHOICE3;Sometimes;Qualche volta
THUM_0002_CHOICE4;Often;Spesso
THUM_0002_CHOICE5;Always;Sempre
THUM_0002_PROMPT;When I listen to music I get stuck in bad memories;Quando ascolto la musica rimango incastrato in brutti ricordi
THUM_0003_CHOICE1;Never;Mai
THUM_0003_CHOICE2;Rarely;Raramente
THUM_0003_CHOICE3;Sometimes;Qualche volta
THUM_0003_CHOICE4;Often;Spesso
THUM_0003_CHOICE5;Always;Sempre
THUM_0003_PROMPT;I hide in my music because nobody understands me, and it blocks people out;Mi nascondo nella mia musica perché nessuno mi capisce, e tiene fuori le persone
THUM_0004_CHOICE1;Never;Mai
THUM_0004_CHOICE2;Rarely;Raramente
THUM_0004_CHOICE3;Sometimes;Qualche volta
THUM_0004_CHOICE4;Often;Spesso
THUM_0004_CHOICE5;Always;Sempre
THUM_0004_PROMPT;Music helps me to relax;La musica mi aiuta a rilassarmi
THUM_0005_CHOICE1;Never;Mai
THUM_0005_CHOICE2;Rarely;Raramente
THUM_0005_CHOICE3;Sometimes;Qualche volta
THUM_0005_CHOICE4;Often;Spesso
THUM_0005_CHOICE5;Always;Sempre
THUM_0005_PROMPT;When I try to use music to feel better I actually end up feeling worse;Quando cerco di usare la musica per sentirmi meglio in realtà finisco per sentirmi peggio
THUM_0006_CHOICE1;Never;Mai
THUM_0006_CHOICE2;Rarely;Raramente
THUM_0006_CHOICE3;Sometimes;Qualche volta
THUM_0006_CHOICE4;Often;Spesso
THUM_0006_CHOICE5;Always;Sempre
THUM_0006_PROMPT;I feel happier after playing or listening to music;Mi sento più felice dopo aver suonato o aver ascoltato della musica
THUM_0007_CHOICE1;Never;Mai
THUM_0007_CHOICE2;Rarely;Raramente
THUM_0007_CHOICE3;Sometimes;Qualche volta
THUM_0007_CHOICE4;Often;Spesso
THUM_0007_CHOICE5;Always;Sempre
THUM_0007_PROMPT;Music gives me the energy to get going;"La musica mi dà l'energia per mettermi in moto"
THUM_0008_CHOICE1;Never;Mai
THUM_0008_CHOICE2;Rarely;Raramente
THUM_0008_CHOICE3;Sometimes;Qualche volta
THUM_0008_CHOICE4;Often;Spesso
THUM_0008_CHOICE5;Always;Sempre
THUM_0008_PROMPT;I like to listen to songs over and over even though it makes me feel worse;Mi piace ascoltare canzoni più e più volte anche quando questo mi fa sentire peggio
THUM_0009_CHOICE1;Never;Mai
THUM_0009_CHOICE2;Rarely;Raramente
THUM_0009_CHOICE3;Sometimes;Qualche volta
THUM_0009_CHOICE4;Often;Spesso
THUM_0009_CHOICE5;Always;Sempre
THUM_0009_PROMPT;Music makes me feel bad about who I am;La musica mi fa star male riguardo a ciò che sono
THUM_0010_CHOICE1;Never;Mai
THUM_0010_CHOICE2;Rarely;Raramente
THUM_0010_CHOICE3;Sometimes;Qualche volta
THUM_0010_CHOICE4;Often;Spesso
THUM_0010_CHOICE5;Always;Sempre
THUM_0010_PROMPT;Music helps me to connect with other people who are like me;La musica mi aiuta a connettermi con altre persone che sono come me
THUM_0011_CHOICE1;Never;Mai
THUM_0011_CHOICE2;Rarely;Raramente
THUM_0011_CHOICE3;Sometimes;Qualche volta
THUM_0011_CHOICE4;Often;Spesso
THUM_0011_CHOICE5;Always;Sempre
THUM_0011_PROMPT;Music gives me an excuse not to face up to the real world;La musica mi dà una scusa per non affrontare il mondo reale
THUM_0012_CHOICE1;Never;Mai
THUM_0012_CHOICE2;Rarely;Raramente
THUM_0012_CHOICE3;Sometimes;Qualche volta
THUM_0012_CHOICE4;Often;Spesso
THUM_0012_CHOICE5;Always;Sempre
THUM_0012_PROMPT;It can be hard to stop listening to music that connects me to bad memories;Può essere difficile smettere di ascoltare musica che mi collega a brutti ricordi
THUM_0013_CHOICE1;Never;Mai
THUM_0013_CHOICE2;Rarely;Raramente
THUM_0013_CHOICE3;Sometimes;Qualche volta
THUM_0013_CHOICE4;Often;Spesso
THUM_0013_CHOICE5;Always;Sempre
THUM_0013_PROMPT;Music leads me to do things I shouldn’t do;La musica mi porta a fare cose che non dovrei fare
THUM_0014_CHOICE1;Never;Mai
THUM_0014_CHOICE2;Rarely;Raramente
THUM_0014_CHOICE3;Sometimes;Qualche volta
THUM_0014_CHOICE4;Often;Spesso
THUM_0014_CHOICE5;Always;Sempre
THUM_0014_PROMPT;"When I'm feeling tense or tired in my body music helps me to relax";Quando mi sento teso o stanco fisicamente la musica mi aiuta a rilassarmi
