key;de;en
TIBQ_0000_PROMPT;Temperamentsfragebogen für Babys - revidierte sehr kurze Form;Infant Behavior Questionnaire - Revised Very Short Form
TIBQ_0001_CHOICE1;Nie;Never
TIBQ_0001_CHOICE2;Sehr selten;Very rarely
TIBQ_0001_CHOICE3;Weniger als die Hälfte der Zeit;Less Than Half the Time
TIBQ_0001_CHOICE4;Ungefähr die Hälfte der Zeit;About Half the Time
TIBQ_0001_CHOICE5;Mehr als die Hälfte der Zeit;More Than Half the Time
TIBQ_0001_CHOICE6;Fast immer;Almost Always
TIBQ_0001_CHOICE7;Immer;Always
TIBQ_0001_CHOICE8;Trifft nicht zu;Does Not Apply
TIBQ_0001_PROMPT;Wenn Ihr Baby an- oder ausgezogen wurde, wie oft hat es sich gewunden und/oder versucht wegzurollen?;When being dressed or undressed during the last week, how often did the baby squirm and/or try to roll away?
TIBQ_0002_CHOICE1;Nie;Never
TIBQ_0002_CHOICE2;Sehr selten;Very rarely
TIBQ_0002_CHOICE3;Weniger als die Hälfte der Zeit;Less Than Half the Time
TIBQ_0002_CHOICE4;Ungefähr die Hälfte der Zeit;About Half the Time
TIBQ_0002_CHOICE5;Mehr als die Hälfte der Zeit;More Than Half the Time
TIBQ_0002_CHOICE6;Fast immer;Almost Always
TIBQ_0002_CHOICE7;Immer;Always
TIBQ_0002_CHOICE8;Trifft nicht zu;Does Not Apply
TIBQ_0002_PROMPT;Wenn Ihr Baby spielerisch herumgewirbelt wurde, wie oft hat es gelacht?;When tossed around playfully, how often did the baby laugh?
TIBQ_0003_CHOICE1;Nie;Never
TIBQ_0003_CHOICE2;Sehr selten;Very rarely
TIBQ_0003_CHOICE3;Weniger als die Hälfte der Zeit;Less Than Half the Time
TIBQ_0003_CHOICE4;Ungefähr die Hälfte der Zeit;About Half the Time
TIBQ_0003_CHOICE5;Mehr als die Hälfte der Zeit;More Than Half the Time
TIBQ_0003_CHOICE6;Fast immer;Almost Always
TIBQ_0003_CHOICE7;Immer;Always
TIBQ_0003_CHOICE8;Trifft nicht zu;Does Not Apply
TIBQ_0003_PROMPT;Wenn Ihr Baby müde war, wie oft hat es Anzeichen von Stress und Unbehagen gezeigt?;When tired, how often did your baby show distress?
TIBQ_0004_CHOICE1;Nie;Never
TIBQ_0004_CHOICE2;Sehr selten;Very rarely
TIBQ_0004_CHOICE3;Weniger als die Hälfte der Zeit;Less Than Half the Time
TIBQ_0004_CHOICE4;Ungefähr die Hälfte der Zeit;About Half the Time
TIBQ_0004_CHOICE5;Mehr als die Hälfte der Zeit;More Than Half the Time
TIBQ_0004_CHOICE6;Fast immer;Almost Always
TIBQ_0004_CHOICE7;Immer;Always
TIBQ_0004_CHOICE8;Trifft nicht zu;Does Not Apply
TIBQ_0004_PROMPT;Wenn es einem fremden Erwachsenen vorgestellt wurde, wie oft hat sich Ihr Baby an einen Erwachsenen geklammert?;When introduced to an unfamiliar adult, how often did the baby cling to a parent?
TIBQ_0005_CHOICE1;Nie;Never
TIBQ_0005_CHOICE2;Sehr selten;Very rarely
TIBQ_0005_CHOICE3;Weniger als die Hälfte der Zeit;Less Than Half the Time
TIBQ_0005_CHOICE4;Ungefähr die Hälfte der Zeit;About Half the Time
TIBQ_0005_CHOICE5;Mehr als die Hälfte der Zeit;More Than Half the Time
TIBQ_0005_CHOICE6;Fast immer;Almost Always
TIBQ_0005_CHOICE7;Immer;Always
TIBQ_0005_CHOICE8;Trifft nicht zu;Does Not Apply
TIBQ_0005_PROMPT;Wie oft hat Ihr Baby es genossen wenn ihm vorgelesen wurde?;How often during the last week did the baby enjoy being read to?
TIBQ_0006_CHOICE1;Nie;Never
TIBQ_0006_CHOICE2;Sehr selten;Very rarely
TIBQ_0006_CHOICE3;Weniger als die Hälfte der Zeit;Less Than Half the Time
TIBQ_0006_CHOICE4;Ungefähr die Hälfte der Zeit;About Half the Time
TIBQ_0006_CHOICE5;Mehr als die Hälfte der Zeit;More Than Half the Time
TIBQ_0006_CHOICE6;Fast immer;Almost Always
TIBQ_0006_CHOICE7;Immer;Always
TIBQ_0006_CHOICE8;Trifft nicht zu;Does Not Apply
TIBQ_0006_PROMPT;Wie oft hat Ihr Baby für 5 bis 10 Minuten mit demselben Spielzeug oder Objekt gespielt?;How often during the last week did the baby play with one toy or object for 5-10 minutes?
TIBQ_0007_CHOICE1;Nie;Never
TIBQ_0007_CHOICE2;Sehr selten;Very rarely
TIBQ_0007_CHOICE3;Weniger als die Hälfte der Zeit;Less Than Half the Time
TIBQ_0007_CHOICE4;Ungefähr die Hälfte der Zeit;About Half the Time
TIBQ_0007_CHOICE5;Mehr als die Hälfte der Zeit;More Than Half the Time
TIBQ_0007_CHOICE6;Fast immer;Almost Always
TIBQ_0007_CHOICE7;Immer;Always
TIBQ_0007_CHOICE8;Trifft nicht zu;Does Not Apply
TIBQ_0007_PROMPT;Wie oft hat Ihr Baby sich neuen Objekten schnell angenähert?;How often during the week did your baby move quickly toward new objects?
TIBQ_0008_CHOICE1;Nie;Never
TIBQ_0008_CHOICE2;Sehr selten;Very rarely
TIBQ_0008_CHOICE3;Weniger als die Hälfte der Zeit;Less Than Half the Time
TIBQ_0008_CHOICE4;Ungefähr die Hälfte der Zeit;About Half the Time
TIBQ_0008_CHOICE5;Mehr als die Hälfte der Zeit;More Than Half the Time
TIBQ_0008_CHOICE6;Fast immer;Almost Always
TIBQ_0008_CHOICE7;Immer;Always
TIBQ_0008_CHOICE8;Trifft nicht zu;Does Not Apply
TIBQ_0008_PROMPT;Wenn Ihr Baby ins Badewasser gesetzt wurde, wie oft hat es gelacht?;When put into water, how often did the baby laugh?
TIBQ_0009_CHOICE1;Nie;Never
TIBQ_0009_CHOICE2;Sehr selten;Very rarely
TIBQ_0009_CHOICE3;Weniger als die Hälfte der Zeit;Less Than Half the Time
TIBQ_0009_CHOICE4;Ungefähr die Hälfte der Zeit;About Half the Time
TIBQ_0009_CHOICE5;Mehr als die Hälfte der Zeit;More Than Half the Time
TIBQ_0009_CHOICE6;Fast immer;Almost Always
TIBQ_0009_CHOICE7;Immer;Always
TIBQ_0009_CHOICE8;Trifft nicht zu;Does Not Apply
TIBQ_0009_PROMPT;Wenn es Zeit fürs Bett war, und Ihr Baby nicht schlafen wollte, wie oft hat es gejammert?;When it was time for bed or a nap and your baby did not want to go, how often did s/he whimper or sob?
TIBQ_0010_CHOICE1;Nie;Never
TIBQ_0010_CHOICE2;Sehr selten;Very rarely
TIBQ_0010_CHOICE3;Weniger als die Hälfte der Zeit;Less Than Half the Time
TIBQ_0010_CHOICE4;Ungefähr die Hälfte der Zeit;About Half the Time
TIBQ_0010_CHOICE5;Mehr als die Hälfte der Zeit;More Than Half the Time
TIBQ_0010_CHOICE6;Fast immer;Almost Always
TIBQ_0010_CHOICE7;Immer;Always
TIBQ_0010_CHOICE8;Trifft nicht zu;Does Not Apply
TIBQ_0010_PROMPT;Wie oft hat Ihr Baby beim Aufwachen geweint, wenn nicht binnen weniger Minuten jemand gekommen ist?;After sleeping, how often did the baby cry if someone doesn't come within a few minutes?
TIBQ_0011_CHOICE1;Nie;Never
TIBQ_0011_CHOICE2;Sehr selten;Very rarely
TIBQ_0011_CHOICE3;Weniger als die Hälfte der Zeit;Less Than Half the Time
TIBQ_0011_CHOICE4;Ungefähr die Hälfte der Zeit;About Half the Time
TIBQ_0011_CHOICE5;Mehr als die Hälfte der Zeit;More Than Half the Time
TIBQ_0011_CHOICE6;Fast immer;Almost Always
TIBQ_0011_CHOICE7;Immer;Always
TIBQ_0011_CHOICE8;Trifft nicht zu;Does Not Apply
TIBQ_0011_PROMPT;Während Ihr Baby beim Füttern auf dem Schoß saß, wie oft hat es sich nach Beendigung des Fütterns bemüht vom Schoß wegzukommen?;In the last week, while being fed in your lap, how often did the baby seem eager to get away as soon as the feeding was over?
TIBQ_0012_CHOICE1;Nie;Never
TIBQ_0012_CHOICE2;Sehr selten;Very rarely
TIBQ_0012_CHOICE3;Weniger als die Hälfte der Zeit;Less Than Half the Time
TIBQ_0012_CHOICE4;Ungefähr die Hälfte der Zeit;About Half the Time
TIBQ_0012_CHOICE5;Mehr als die Hälfte der Zeit;More Than Half the Time
TIBQ_0012_CHOICE6;Fast immer;Almost Always
TIBQ_0012_CHOICE7;Immer;Always
TIBQ_0012_CHOICE8;Trifft nicht zu;Does Not Apply
TIBQ_0012_PROMPT;Wenn Sie Ihrem Baby vorgesungen oder mit ihm gesprochen haben, wie oft hat es sich sofort beruhigt?;When singing or talking to your baby, how often did s/he soothe immediately?
TIBQ_0013_CHOICE1;Nie;Never
TIBQ_0013_CHOICE2;Sehr selten;Very rarely
TIBQ_0013_CHOICE3;Weniger als die Hälfte der Zeit;Less Than Half the Time
TIBQ_0013_CHOICE4;Ungefähr die Hälfte der Zeit;About Half the Time
TIBQ_0013_CHOICE5;Mehr als die Hälfte der Zeit;More Than Half the Time
TIBQ_0013_CHOICE6;Fast immer;Almost Always
TIBQ_0013_CHOICE7;Immer;Always
TIBQ_0013_CHOICE8;Trifft nicht zu;Does Not Apply
TIBQ_0013_PROMPT;Wenn Ihr Baby auf den Rücken gelegt wurde, wie oft hat es sich gewunden und/oder den Körper gedreht?;When placed on his/her back, how often did the baby squirm and/or turn body?
TIBQ_0014_CHOICE1;Nie;Never
TIBQ_0014_CHOICE2;Sehr selten;Very rarely
TIBQ_0014_CHOICE3;Weniger als die Hälfte der Zeit;Less Than Half the Time
TIBQ_0014_CHOICE4;Ungefähr die Hälfte der Zeit;About Half the Time
TIBQ_0014_CHOICE5;Mehr als die Hälfte der Zeit;More Than Half the Time
TIBQ_0014_CHOICE6;Fast immer;Almost Always
TIBQ_0014_CHOICE7;Immer;Always
