"key";"de";"en";"de_f";"it";"es"
"TJIC_0000_PROMPT";"Fragebogen zur Jazz Improviation ";"Jazz Improvisation Self-Efficacy";"Fragebogen zur Jazz Improviation ";"Jazz Improvisation Self-Efficacy";"Jazz Improvisation Self-Efficacy"
"TJIC_0001_PROMPT";"<p style ='text-align:center'>Dieser  Fragebogen dreht sich um ihre eigene Einschätzung ihrer Fähigkeiten in der Jazzimprovisation.</p>";"<p style ='text-align:center'>This questionnaires is all about your assessment of  your jazz improvisation skills.</p>";"<p style ='text-align:center'>Dieser  Fragebogen dreht sich um ihre eigene Einschätzung ihrer Fähigkeiten in der Jazzimprovisation.</p>";"<p style ='text-align:center'>This questionnaires is all about your assessment of  your jazz improvisation skills.</p>";"<p style ='text-align:center'>This questionnaires is all about your assessment of  your jazz improvisation skills.</p>"
"TJIC_0002_CHOICE1";"ausgezeichnete";"excellent";"ausgezeichnete";"excellent";"excellent"
"TJIC_0002_CHOICE2";"gute";"good";"gute";"good";"good"
"TJIC_0002_CHOICE3";"durchschnittliche";"average";"durchschnittliche";"average";"average"
"TJIC_0002_CHOICE4";"weniger gute";"below average";"weniger gute";"below average";"below average"
"TJIC_0002_CHOICE5";"geringe";"poor";"geringe";"poor";"poor"
"TJIC_0002_PROMPT";"Meine Improvisationsfähigkeit zeigt eine ... Spieltechnik";"Overall, my improvisational ability reflects ... technical facility.";"Meine Improvisationsfähigkeit zeigt eine ... Spieltechnik";"Overall, my improvisational ability reflects ... technical facility.";"Overall, my improvisational ability reflects ... technical facility."
"TJIC_0003_CHOICE1";"ausgezeichnetes";"excellent";"ausgezeichnetes";"excellent";"excellent"
"TJIC_0003_CHOICE2";"gutes";"good";"gutes";"good";"good"
"TJIC_0003_CHOICE3";"durchschnittliches";"average";"durchschnittliches";"average";"average"
"TJIC_0003_CHOICE4";"weniger gutes";"below average";"weniger gutes";"below average";"below average"
"TJIC_0003_CHOICE5";"geringes";"poor";"geringes";"poor";"poor"
"TJIC_0003_PROMPT";"Meine Improvisationsfähigkeit zeigt ein ... Rhythmusgefühl und Timing.";"Overall, my improvisational ability reflects ... rhythm/time feel.";"Meine Improvisationsfähigkeit zeigt ein ... Rhythmusgefühl und Timing.";"Overall, my improvisational ability reflects ... rhythm/time feel.";"Overall, my improvisational ability reflects ... rhythm/time feel."
"TJIC_0004_CHOICE1";"ausgezeichnete";"excellent";"ausgezeichnete";"excellent";"excellent"
"TJIC_0004_CHOICE2";"gute";"good";"gute";"good";"good"
"TJIC_0004_CHOICE3";"durchschnittliche";"average";"durchschnittliche";"average";"average"
"TJIC_0004_CHOICE4";"weniger gute";"below average";"weniger gute";"below average";"below average"
"TJIC_0004_CHOICE5";"geringe";"poor";"geringe";"poor";"poor"
"TJIC_0004_PROMPT";"Meine Improvisationsfähigkeit zeigt eine ... melodische Gestaltung.";"Overall, my improvisational ability reflects ...  melodic development.";"Meine Improvisationsfähigkeit zeigt eine ... melodische Gestaltung.";"Overall, my improvisational ability reflects ...  melodic development.";"Overall, my improvisational ability reflects ...  melodic development."
