"key";"de";"en";"de_f";"it";"es"
"TJIW_0000_PROMPT";"Selbsteinschätzung der Jazz-Improviationsfähigkeiten";"Jazz Improvisation Self-Assessment";"Selbsteinschätzung der Jazz-Improviationsfähigkeiten";"Jazz Improvisation Self-Assessment";"Jazz Improvisation Self-Assessment"
"TJIW_0001_PROMPT";"<p style ='text-align:center'>Dieser  Fragebogen dreht sich um ihre eigene Einschätzung ihrer Fähigkeiten in der Jazzimprovisation.</p>";"<p style ='text-align:center'>This questionnaire is about your own assessment of your jazz improvisation skills.</p>";"<p style ='text-align:center'>Dieser  Fragebogen dreht sich um ihre eigene Einschätzung ihrer Fähigkeiten in der Jazzimprovisation.</p>";"<p style ='text-align:center'>This questionnaire is about your own assessment of your jazz improvisation skills.</p>";"<p style ='text-align:center'>This questionnaire is about your own assessment of your jazz improvisation skills.</p>"
"TJIW_0002_CHOICE1";"Simme überhaupt nicht zu";"Completely Disagree";"Simme überhaupt nicht zu";"Completely Disagree";"Completely Disagree"
"TJIW_0002_CHOICE2";"Simme nicht zu";"Disagree";"Simme nicht zu";"Disagree";"Disagree"
"TJIW_0002_CHOICE3";"Weder/noch";"Neither/nore";"Weder/noch";"Neither/nore";"Neither/nore"
"TJIW_0002_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TJIW_0002_CHOICE5";"Stimme voll zu";"Completely Agree";"Stimme voll zu";"Completely Agree";"Completely Agree"
"TJIW_0002_PROMPT";"Ich bin begabt für Jazzimprovisation. ";"I have a talent for jazz improvisation.";"Ich bin begabt für Jazzimprovisation. ";"I have a talent for jazz improvisation.";"I have a talent for jazz improvisation."
"TJIW_0003_CHOICE1";"Simme überhaupt nicht zu";"Completely Disagree";"Simme überhaupt nicht zu";"Completely Disagree";"Completely Disagree"
"TJIW_0003_CHOICE2";"Simme nicht zu";"Disagree";"Simme nicht zu";"Disagree";"Disagree"
"TJIW_0003_CHOICE3";"Weder/noch";"Neither/nore";"Weder/noch";"Neither/nore";"Neither/nore"
"TJIW_0003_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TJIW_0003_CHOICE5";"Stimme voll zu";"Completely Agree";"Stimme voll zu";"Completely Agree";"Completely Agree"
"TJIW_0003_PROMPT";"Andere Leute finden, ich habe ein Talent für Jazz-Improvisation. ";" Other people think I have talent for jazz improvisation.";"Andere Leute finden, ich habe ein Talent für Jazz-Improvisation. ";" Other people think I have talent for jazz improvisation.";" Other people think I have talent for jazz improvisation."
"TJIW_0004_CHOICE1";"Simme überhaupt nicht zu";"Completely Disagree";"Simme überhaupt nicht zu";"Completely Disagree";"Completely Disagree"
"TJIW_0004_CHOICE2";"Simme nicht zu";"Disagree";"Simme nicht zu";"Disagree";"Disagree"
"TJIW_0004_CHOICE3";"Weder/noch";"Neither/nore";"Weder/noch";"Neither/nore";"Neither/nore"
"TJIW_0004_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TJIW_0004_CHOICE5";"Stimme voll zu";"Completely Agree";"Stimme voll zu";"Completely Agree";"Completely Agree"
"TJIW_0004_PROMPT";"Ich könnte sehr gut darin werden, Jazz zu improvisieren.";" I could become proficient at improvising in a jazz style.";"Ich könnte sehr gut darin werden, Jazz zu improvisieren.";" I could become proficient at improvising in a jazz style.";" I could become proficient at improvising in a jazz style."
"TJIW_0005_CHOICE1";"Simme überhaupt nicht zu";"Completely Disagree";"Simme überhaupt nicht zu";"Completely Disagree";"Completely Disagree"
"TJIW_0005_CHOICE2";"Simme nicht zu";"Disagree";"Simme nicht zu";"Disagree";"Disagree"
"TJIW_0005_CHOICE3";"Weder/noch";"Neither/nore";"Weder/noch";"Neither/nore";"Neither/nore"
"TJIW_0005_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TJIW_0005_CHOICE5";"Stimme voll zu";"Completely Agree";"Stimme voll zu";"Completely Agree";"Completely Agree"
"TJIW_0005_PROMPT";"Mir gefällt die Herausforderung, im Jazz zu improvisieren. ";" I enjoy the challenge of improvising in a jazz context.";"Mir gefällt die Herausforderung, im Jazz zu improvisieren. ";" I enjoy the challenge of improvising in a jazz context.";" I enjoy the challenge of improvising in a jazz context."
"TJIW_0006_CHOICE1";"Simme überhaupt nicht zu";"Completely Disagree";"Simme überhaupt nicht zu";"Completely Disagree";"Completely Disagree"
"TJIW_0006_CHOICE2";"Simme nicht zu";"Disagree";"Simme nicht zu";"Disagree";"Disagree"
"TJIW_0006_CHOICE3";"Weder/noch";"Neither/nore";"Weder/noch";"Neither/nore";"Neither/nore"
"TJIW_0006_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TJIW_0006_CHOICE5";"Stimme voll zu";"Completely Agree";"Stimme voll zu";"Completely Agree";"Completely Agree"
"TJIW_0006_PROMPT";"Andere Musiker (auf meinem Instrument) improvisieren besser als ich. ";" Other performers on my instrument improvise better than I do.";"Andere Musiker (auf meinem Instrument) improvisieren besser als ich. ";" Other performers on my instrument improvise better than I do.";" Other performers on my instrument improvise better than I do."
"TJIW_0007_CHOICE1";"Simme überhaupt nicht zu";"Completely Disagree";"Simme überhaupt nicht zu";"Completely Disagree";"Completely Disagree"
"TJIW_0007_CHOICE2";"Simme nicht zu";"Disagree";"Simme nicht zu";"Disagree";"Disagree"
"TJIW_0007_CHOICE3";"Weder/noch";"Neither/nore";"Weder/noch";"Neither/nore";"Neither/nore"
"TJIW_0007_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TJIW_0007_CHOICE5";"Stimme voll zu";"Completely Agree";"Stimme voll zu";"Completely Agree";"Completely Agree"
"TJIW_0007_PROMPT";"Ich improvisiere gerne auf meinem Instrument, wenn ich auftrete. ";" I enjoy improvising on my instrument while performing.";"Ich improvisiere gerne auf meinem Instrument, wenn ich auftrete. ";" I enjoy improvising on my instrument while performing.";" I enjoy improvising on my instrument while performing."
"TJIW_0008_CHOICE1";"Simme überhaupt nicht zu";"Completely Disagree";"Simme überhaupt nicht zu";"Completely Disagree";"Completely Disagree"
"TJIW_0008_CHOICE2";"Simme nicht zu";"Disagree";"Simme nicht zu";"Disagree";"Disagree"
"TJIW_0008_CHOICE3";"Weder/noch";"Neither/nore";"Weder/noch";"Neither/nore";"Neither/nore"
"TJIW_0008_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TJIW_0008_CHOICE5";"Stimme voll zu";"Completely Agree";"Stimme voll zu";"Completely Agree";"Completely Agree"
"TJIW_0008_PROMPT";"Ich ?be gerne improvisieren. ";" I enjoy practicing improvisation.";"Ich ?be gerne improvisieren. ";" I enjoy practicing improvisation.";" I enjoy practicing improvisation."
"TJIW_0009_CHOICE1";"Simme überhaupt nicht zu";"Completely Disagree";"Simme überhaupt nicht zu";"Completely Disagree";"Completely Disagree"
"TJIW_0009_CHOICE2";"Simme nicht zu";"Disagree";"Simme nicht zu";"Disagree";"Disagree"
"TJIW_0009_CHOICE3";"Weder/noch";"Neither/nore";"Weder/noch";"Neither/nore";"Neither/nore"
"TJIW_0009_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TJIW_0009_CHOICE5";"Stimme voll zu";"Completely Agree";"Stimme voll zu";"Completely Agree";"Completely Agree"
"TJIW_0009_PROMPT";"Andere Musiker haben mehr Talent zum improvisieren als ich.";" Other people have more talent for improvisation than I do.";"Andere Musiker haben mehr Talent zum improvisieren als ich.";" Other people have more talent for improvisation than I do.";" Other people have more talent for improvisation than I do."
"TJIW_0010_CHOICE1";"Simme überhaupt nicht zu";"Completely Disagree";"Simme überhaupt nicht zu";"Completely Disagree";"Completely Disagree"
"TJIW_0010_CHOICE2";"Simme nicht zu";"Disagree";"Simme nicht zu";"Disagree";"Disagree"
"TJIW_0010_CHOICE3";"Weder/noch";"Neither/nore";"Weder/noch";"Neither/nore";"Neither/nore"
"TJIW_0010_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TJIW_0010_CHOICE5";"Stimme voll zu";"Completely Agree";"Stimme voll zu";"Completely Agree";"Completely Agree"
"TJIW_0010_PROMPT";"Ich glaube ich könnte lernen, Jazz auf einem professionellen Level zu spielen.";" I believe I could learn to play jazz at a professional level.";"Ich glaube ich könnte lernen, Jazz auf einem professionellen Level zu spielen.";" I believe I could learn to play jazz at a professional level.";" I believe I could learn to play jazz at a professional level."
"TJIW_0011_CHOICE1";"Simme überhaupt nicht zu";"Completely Disagree";"Simme überhaupt nicht zu";"Completely Disagree";"Completely Disagree"
"TJIW_0011_CHOICE2";"Simme nicht zu";"Disagree";"Simme nicht zu";"Disagree";"Disagree"
"TJIW_0011_CHOICE3";"Weder/noch";"Neither/nore";"Weder/noch";"Neither/nore";"Neither/nore"
"TJIW_0011_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
