key;en;de;de_f
TMDS_0000_PROMPT;Music Dislike Scale (MDS);Fragebogen zu abgelehnter Musik (MDS);Fragebogen zu abgelehnter Musik(MDS)
TMDS_0001_PROMPT;Following is a set of statements that may or may not describe your attitude towards **{{target}}**. Please read each item very carefully, and indicate how much you agree with the statement. ;Nachfolgend eine Menge von Aussagen, die Ihre Ablehnung **{{target}}** beschreiben sollen. Bitte lesen Sie jeden Punkt sehr sorgfältig durch und geben Sie an, wie zutreffend die jeweilige Aussage für Sie ist.;Nachfolgend eine Menge von Aussagen, die Ihre Ablehnung **{{target}}** beschreiben sollen. Bitte lesen Sie jeden Punkt sehr sorgfältig durch und geben Sie an, wie zutreffend die jeweilige Aussage für Sie ist.
TMDS_0001_SUB;a music; von einer Musik;von einer Musik
TMDS_0002_PROMPT;It’s not authentic enough;Ist mir nicht authentisch genug;Ist mir nicht authentisch genug
TMDS_0003_PROMPT;It contains too many off-key sounds;Enthält mir zu viele schräge Töne;Enthält mir zu viele schräge Töne
TMDS_0004_PROMPT;It doesn’t have enough emotional expression;Hat mir zu wenig emotionalen Ausdruck;Hat mir zu wenig emotionalen Ausdruck
TMDS_0005_PROMPT;It always sounds the same;Klingt für mich immer gleich;Klingt für mich immer gleich
TMDS_0006_PROMPT;It has no effect on my mood;Hat keine Auswirkungen auf meine Stimmung;Hat keine Auswirkungen auf meine Stimmung
TMDS_0007_PROMPT;It’s not melodic enough;Ist mir zu unmelodisch;Ist mir zu unmelodisch
TMDS_0008_PROMPT;I can’t move to it;Ich kann mich dazu nicht bewegen;Ich kann mich dazu nicht bewegen
TMDS_0009_PROMPT;I can’t identify wIth it;Ich kann mich damit nicht identifizieren;Ich kann mich damit nicht identifizieren
TMDS_0010_PROMPT;The lyrics are too close to reality;Der Text ist mir zu nah an der Realität;Der Text ist mir zu nah an der Realität
TMDS_0011_PROMPT;It’s not rhythmic enough;Ist mir zu wenig rhythmisch;Ist mir zu wenig rhythmisch
TMDS_0012_PROMPT;It’s too fast;Ist mir zu schnell;Ist mir zu schnell
