"key";"de";"en";"de_f";"it";"es"
"TMES_0000_PROMPT";"Music-Empathizing-Music-Systemizing-Inventar";"Music-Empathizing-Music-Systemizing-Inventory";"Music-Empathizing-Music-Systemizing-Inventar";"Music-Empathizing-Music-Systemizing-Inventory";"Music-Empathizing-Music-Systemizing-Inventory"
"TMES_0001_PROMPT";"Im Folgenden möchten wir Ihnen Fragen zu Ihrem Musikhörverhalten stellen. Kreuzen Sie dafür bitte an, was am ehesten auf Sie zutrifft. Bitte beachten Sie: Um die Lesbarkeit des folgenden Fragebogens zu vereinfachen, wird auf die zusätzliche Formulierung der weiblichen Form verzichtet. Wir möchten deshalb darauf hinweisen, dass die ausschließliche Verwendung der männlichen Form explizit als geschlechtsunabhängig verstanden werden soll. ";"We would like to ask you questions about your music listening behavior. Please indicate what applies to you most. ";"Im Folgenden möchten wir Ihnen Fragen zu Ihrem Musikhörverhalten stellen. Kreuzen Sie dafür bitte an, was am ehesten auf Sie zutrifft. Bitte beachten Sie: Um die Lesbarkeit des folgenden Fragebogens zu vereinfachen, wird auf die zusätzliche Formulierung der weiblichen Form verzichtet. Wir möchten deshalb darauf hinweisen, dass die ausschließliche Verwendung der männlichen Form explizit als geschlechtsunabhängig verstanden werden soll. ";"We would like to ask you questions about your music listening behavior. Please indicate what applies to you most. ";"We would like to ask you questions about your music listening behavior. Please indicate what applies to you most. "
"TMES_0002_PROMPT";"Ich glaube, ich kann problemlos erkennen, wie sich ein Interpret beim Musizieren fühlt.";"I think that I can easily sense how performers feel while playing music.";"Ich glaube, ich kann problemlos erkennen, wie sich ein Interpret beim Musizieren fühlt.";"I think that I can easily sense how performers feel while playing music.";"I think that I can easily sense how performers feel while playing music."
"TMES_0002_CHOICE1";"trifft gar nicht zu";"strongly disagree";"trifft gar nicht zu";"strongly disagree";"strongly disagree"
"TMES_0002_CHOICE2";"trifft eher nicht zu";"disagree";"trifft eher nicht zu";"disagree";"disagree"
"TMES_0002_CHOICE3";"trifft eher zu";"agree";"trifft eher zu";"agree";"agree"
"TMES_0002_CHOICE4";"trifft völlig zu";"strongly agree";"trifft völlig zu";"strongly agree";"strongly agree"
"TMES_0003_PROMPT";"Ich kann die Gefühle des Interpreten nie erraten.";"I never guess the emotions of the performer(s).";"Ich kann die Gefühle des Interpreten nie erraten.";"I never guess the emotions of the performer(s).";"I never guess the emotions of the performer(s)."
"TMES_0003_CHOICE1";"trifft gar nicht zu";"strongly disagree";"trifft gar nicht zu";"strongly disagree";"strongly disagree"
"TMES_0003_CHOICE2";"trifft eher nicht zu";"disagree";"trifft eher nicht zu";"disagree";"disagree"
"TMES_0003_CHOICE3";"trifft eher zu";"agree";"trifft eher zu";"agree";"agree"
"TMES_0003_CHOICE4";"trifft völlig zu";"strongly agree";"trifft völlig zu";"strongly agree";"strongly agree"
"TMES_0004_PROMPT";"Musik ist für mich hauptsächlich wichtig, weil sie etwas Persönliches und Berührendes ausdrückt.";"Music is important to me mainly because it expresses something personal and touching.";"Musik ist für mich hauptsächlich wichtig, weil sie etwas Persönliches und Berührendes ausdrückt.";"Music is important to me mainly because it expresses something personal and touching.";"Music is important to me mainly because it expresses something personal and touching."
"TMES_0004_CHOICE1";"trifft gar nicht zu";"strongly disagree";"trifft gar nicht zu";"strongly disagree";"strongly disagree"
"TMES_0004_CHOICE2";"trifft eher nicht zu";"disagree";"trifft eher nicht zu";"disagree";"disagree"
"TMES_0004_CHOICE3";"trifft eher zu";"agree";"trifft eher zu";"agree";"agree"
"TMES_0004_CHOICE4";"trifft völlig zu";"strongly agree";"trifft völlig zu";"strongly agree";"strongly agree"
"TMES_0005_PROMPT";"Songtexte haben nie eine persönliche Bedeutung für mich.";"I never find the lyrics of a song to be meaningful to me.";"Songtexte haben nie eine persönliche Bedeutung für mich.";"I never find the lyrics of a song to be meaningful to me.";"I never find the lyrics of a song to be meaningful to me."
"TMES_0005_CHOICE1";"trifft gar nicht zu";"strongly disagree";"trifft gar nicht zu";"strongly disagree";"strongly disagree"
"TMES_0005_CHOICE2";"trifft eher nicht zu";"disagree";"trifft eher nicht zu";"disagree";"disagree"
"TMES_0005_CHOICE3";"trifft eher zu";"agree";"trifft eher zu";"agree";"agree"
"TMES_0005_CHOICE4";"trifft völlig zu";"strongly agree";"trifft völlig zu";"strongly agree";"strongly agree"
