key;en;de
TMET_0000_PROMPT;Music Engagement Test (MET);Music Engagement Test (MET)
TMET_0001_PROMPT;Following is a list of statements that may or may not describe your music listening experience. Please read each item very carefully, and indicate how characteristic each statement is of your musical engagement. ;Nachfolgend finden Sie eine Liste von Aussagen, die Ihr Musikhören beschreiben können oder auch nicht. Bitte lesen Sie jeden Punkt sehr sorgfältig durch und geben Sie an, wie zutreffend die jeweilige Aussage für Ihr musikalisches Verhalten ist. 
TMET_0002_CHOICE1;Not at all characteristic;Trifft gar nicht zu
TMET_0002_CHOICE2;Not characteristic;Trifft nicht zu
TMET_0002_CHOICE3;Hardly characteristic;Trifft eher nicht zu
TMET_0002_CHOICE4;Neither / nor;Weder /  noch 
TMET_0002_CHOICE5;Somewhat characteristic;Trifft eher zu
TMET_0002_CHOICE6;Characteristic;Trifft zu
TMET_0002_CHOICE7;Extremely characteristic;Trifft voll zu
TMET_0002_PROMPT;Music makes me want to dance.;Musik regt mich zum Tanzen an.
TMET_0003_CHOICE1;Not at all characteristic;Trifft gar nicht zu
TMET_0003_CHOICE2;Not characteristic;Trifft nicht zu
TMET_0003_CHOICE3;Hardly characteristic;Trifft eher nicht zu
TMET_0003_CHOICE4;Neither / nor;Weder /  noch 
TMET_0003_CHOICE5;Somewhat characteristic;Trifft eher zu
TMET_0003_CHOICE6;Characteristic;Trifft zu
TMET_0003_CHOICE7;Extremely characteristic;Trifft voll zu
TMET_0003_PROMPT;Music magnifies my emotions.;Musik verstärkt meine Emotionen
TMET_0004_CHOICE1;Not at all characteristic;Trifft gar nicht zu
TMET_0004_CHOICE2;Not characteristic;Trifft nicht zu
TMET_0004_CHOICE3;Hardly characteristic;Trifft eher nicht zu
TMET_0004_CHOICE4;Neither / nor;Weder /  noch 
TMET_0004_CHOICE5;Somewhat characteristic;Trifft eher zu
TMET_0004_CHOICE6;Characteristic;Trifft zu
TMET_0004_CHOICE7;Extremely characteristic;Trifft voll zu
TMET_0004_PROMPT;I feel a deep connection with my favorite musicians.;Ich fühle eine tiefe Verbundenheit mit meinen Lieblingsmusikern.
TMET_0005_CHOICE1;Not at all characteristic;Trifft gar nicht zu
TMET_0005_CHOICE2;Not characteristic;Trifft nicht zu
TMET_0005_CHOICE3;Hardly characteristic;Trifft eher nicht zu
TMET_0005_CHOICE4;Neither / nor;Weder /  noch 
