"key";"de";"en";"de_f";"it";"es"
"TMUS_0000_PROMPT";"Hörtest für musikalische Präferenzen (MUSIC)";"Listening Test of Musical Preferences (MUSIC)";"Hörtest für musikalische Präferenzen (MUSIC)";"Listening Test of Musical Preferences (MUSIC)";"Listening Test of Musical Preferences (MUSIC)"
"TMUS_0001_PROMPT";"Bitte gib deine Präferenzen für jedes, der folgenden Musikbeispiele anhand der gegebenen Skalen an.";"Please indicate your basic preference for each of the following clips using the scale provided.";"Bitte gib deine Präferenzen für jedes, der folgenden Musikbeispiele anhand der gegebenen Skalen an.";"Please indicate your basic preference for each of the following clips using the scale provided.";"Please indicate your basic preference for each of the following clips using the scale provided."
"TMUS_0002_CHOICE1";"Gefällt mir überhaupt nicht";"Dislike extremely";"Gefällt mir überhaupt nicht";"Dislike extremely";"Dislike extremely"
"TMUS_0002_CHOICE2";"Gefällt mir nicht";"Dislike strongly";"Gefällt mir nicht";"Dislike strongly";"Dislike strongly"
"TMUS_0002_CHOICE3";"Gefällt mir größtenteils nicht";"Dislike moderately";"Gefällt mir größtenteils nicht";"Dislike moderately";"Dislike moderately"
"TMUS_0002_CHOICE4";"Gefällt mir eher nicht";"Dislike a little";"Gefällt mir eher nicht";"Dislike a little";"Dislike a little"
"TMUS_0002_CHOICE5";"Weder noch";"Neither like nor dislike";"Weder noch";"Neither like nor dislike";"Neither like nor dislike"
"TMUS_0002_CHOICE6";"Gefällt mir eher";"Like a little";"Gefällt mir eher";"Like a little";"Like a little"
"TMUS_0002_CHOICE7";"Gefällt mir größtenteils";"Like moderately";"Gefällt mir größtenteils";"Like moderately";"Like moderately"
"TMUS_0002_CHOICE8";"Gefällt mir";"Like strongly";"Gefällt mir";"Like strongly";"Like strongly"
"TMUS_0002_CHOICE9";"Gefällt mir voll und ganz";"Dislike extremely";"Gefällt mir voll und ganz";"Dislike extremely";"Dislike extremely"
"TMUS_0002_PROMPT";"Bitte höre dir den Musikausschnitt an und entscheide, wie gut er dir gefällt.";"Please listen to the following clip and indicate your basic preference for the clip.";"Bitte höre dir den Musikausschnitt an und entscheide, wie gut er dir gefällt.";"Please listen to the following clip and indicate your basic preference for the clip.";"Please listen to the following clip and indicate your basic preference for the clip."
"TMUS_0003_CHOICE1";"Gefällt mir überhaupt nicht";"Dislike extremely";"Gefällt mir überhaupt nicht";"Dislike extremely";"Dislike extremely"
"TMUS_0003_CHOICE2";"Gefällt mir nicht";"Dislike strongly";"Gefällt mir nicht";"Dislike strongly";"Dislike strongly"
"TMUS_0003_CHOICE3";"Gefällt mir größtenteils nicht";"Dislike moderately";"Gefällt mir größtenteils nicht";"Dislike moderately";"Dislike moderately"
"TMUS_0003_CHOICE4";"Gefällt mir eher nicht";"Dislike a little";"Gefällt mir eher nicht";"Dislike a little";"Dislike a little"
