"key";"en"
"TPHT_0000_PROMPT";"Musical Phenotypes"
"TPHT_0001_PROMPT";"Can you clap in time with a musical beat?"
"TPHT_0001_CHOICE1";"Never"
"TPHT_0001_CHOICE2";"Rarely"
"TPHT_0001_CHOICE3";"Once in a while"
"TPHT_0001_CHOICE4";"Sometimes"
"TPHT_0001_CHOICE5";"Very often"
"TPHT_0001_CHOICE6";"Always"
"TPHT_0002_PROMPT";"I can tap my foot in time with the beat of the music I hear."
"TPHT_0002_CHOICE1";"Never"
"TPHT_0002_CHOICE2";"Rarely"
"TPHT_0002_CHOICE3";"Once in a while"
"TPHT_0002_CHOICE4";"Sometimes"
"TPHT_0002_CHOICE5";"Very often"
"TPHT_0002_CHOICE6";"Always"
"TPHT_0003_PROMPT";"When listening to music, can you move in time with the beat?"
"TPHT_0003_CHOICE1";"Never"
"TPHT_0003_CHOICE2";"Rarely"
"TPHT_0003_CHOICE3";"Once in a while"
"TPHT_0003_CHOICE4";"Sometimes"
"TPHT_0003_CHOICE5";"Very often"
"TPHT_0003_CHOICE6";"Always"
"TPHT_0004_PROMPT";"I can recognise a piece of music after hearing just a few notes"
"TPHT_0004_CHOICE1";"Never"
"TPHT_0004_CHOICE2";"Rarely"
"TPHT_0004_CHOICE3";"Once in a while"
"TPHT_0004_CHOICE4";"Sometimes"
"TPHT_0004_CHOICE5";"Very often"
"TPHT_0004_CHOICE6";"Always"
"TPHT_0005_PROMPT";"I can easily recognise a familiar song"
"TPHT_0005_CHOICE1";"Never"
"TPHT_0005_CHOICE2";"Rarely"
"TPHT_0005_CHOICE3";"Once in a while"
"TPHT_0005_CHOICE4";"Sometimes"
"TPHT_0005_CHOICE5";"Very often"
"TPHT_0005_CHOICE6";"Always"
"TPHT_0006_PROMPT";"When I hear the beginning of a song I know immediately whether I've heard it before or not"
"TPHT_0006_CHOICE1";"Never"
"TPHT_0006_CHOICE2";"Rarely"
"TPHT_0006_CHOICE3";"Once in a while"
"TPHT_0006_CHOICE4";"Sometimes"
"TPHT_0006_CHOICE5";"Very often"
"TPHT_0006_CHOICE6";"Always"
"TPHT_0007_PROMPT";"I can tell when people sing out of tune"
"TPHT_0007_CHOICE1";"Never"
"TPHT_0007_CHOICE2";"Rarely"
"TPHT_0007_CHOICE3";"Once in a while"
"TPHT_0007_CHOICE4";"Sometimes"
"TPHT_0007_CHOICE5";"Very often"
"TPHT_0007_CHOICE6";"Always"
"TPHT_0008_PROMPT";"I am able to judge whether someone is a good singer or not"
"TPHT_0008_CHOICE1";"Never"
"TPHT_0008_CHOICE2";"Rarely"
"TPHT_0008_CHOICE3";"Once in a while"
"TPHT_0008_CHOICE4";"Sometimes"
"TPHT_0008_CHOICE5";"Very often"
"TPHT_0008_CHOICE6";"Always"
"TPHT_0009_PROMPT";"I find it difficult to spot mistakes in a performance of a song even if I know the tune"
"TPHT_0009_CHOICE1";"Never"
