key;en;it
TPMS_0000_PROMPT;Profile of Mood States;Profile of Mood States
TPMS_0001_PROMPT;Below is a list of words that describe feelings people have. Please circle the number that best describes how you feel right now.;"Qui sotto trova una lista di parole che descrivono alcuni stati d'animo. La legga attentamente. Poi indichi la risposta che meglio descrive come lei si sente in questo preciso momento."
TPMS_0002_CHOICE1;Not at all;Per niente
TPMS_0002_CHOICE2;A little;"Un po'"
TPMS_0002_CHOICE3;Moderately;Moderatamente
TPMS_0002_CHOICE4;Quite a lot;Abbastanza
TPMS_0002_CHOICE5;Extremely;Estremamente
TPMS_0002_PROMPT;Tense;Teso/a
TPMS_0003_CHOICE1;Not at all;Per niente
TPMS_0003_CHOICE2;A little;"Un po'"
TPMS_0003_CHOICE3;Moderately;Moderatamente
TPMS_0003_CHOICE4;Quite a lot;Abbastanza
TPMS_0003_CHOICE5;Extremely;Estremamente
TPMS_0003_PROMPT;Angry;Arrabbiato/a
TPMS_0004_CHOICE1;Not at all;Per niente
TPMS_0004_CHOICE2;A little;"Un po'"
TPMS_0004_CHOICE3;Moderately;Moderatamente
TPMS_0004_CHOICE4;Quite a lot;Abbastanza
TPMS_0004_CHOICE5;Extremely;Estremamente
TPMS_0004_PROMPT;Worn out;Sfinito/a
TPMS_0005_CHOICE1;Not at all;Per niente
TPMS_0005_CHOICE2;A little;"Un po'"
TPMS_0005_CHOICE3;Moderately;Moderatamente
TPMS_0005_CHOICE4;Quite a lot;Abbastanza
TPMS_0005_CHOICE5;Extremely;Estremamente
TPMS_0005_PROMPT;Unhappy;Infelice
TPMS_0006_CHOICE1;Not at all;Per niente
TPMS_0006_CHOICE2;A little;"Un po'"
TPMS_0006_CHOICE3;Moderately;Moderatamente
TPMS_0006_CHOICE4;Quite a lot;Abbastanza
TPMS_0006_CHOICE5;Extremely;Estremamente
TPMS_0006_PROMPT;Proud;Fiero/a
TPMS_0007_CHOICE1;Not at all;Per niente
TPMS_0007_CHOICE2;A little;"Un po'"
TPMS_0007_CHOICE3;Moderately;Moderatamente
TPMS_0007_CHOICE4;Quite a lot;Abbastanza
TPMS_0007_CHOICE5;Extremely;Estremamente
TPMS_0007_PROMPT;Lively;Vitale
TPMS_0008_CHOICE1;Not at all;Per niente
TPMS_0008_CHOICE2;A little;"Un po'"
TPMS_0008_CHOICE3;Moderately;Moderatamente
TPMS_0008_CHOICE4;Quite a lot;Abbastanza
TPMS_0008_CHOICE5;Extremely;Estremamente
TPMS_0008_PROMPT;Confused;Confuso/a
TPMS_0009_CHOICE1;Not at all;Per niente
TPMS_0009_CHOICE2;A little;"Un po'"
TPMS_0009_CHOICE3;Moderately;Moderatamente
TPMS_0009_CHOICE4;Quite a lot;Abbastanza
TPMS_0009_CHOICE5;Extremely;Estremamente
TPMS_0009_PROMPT;Sad;Triste
TPMS_0010_CHOICE1;Not at all;Per niente
TPMS_0010_CHOICE2;A little;"Un po'"
TPMS_0010_CHOICE3;Moderately;Moderatamente
TPMS_0010_CHOICE4;Quite a lot;Abbastanza
TPMS_0010_CHOICE5;Extremely;Estremamente
TPMS_0010_PROMPT;Active;Attivo/a
TPMS_0011_CHOICE1;Not at all;Per niente
TPMS_0011_CHOICE2;A little;"Un po'"
TPMS_0011_CHOICE3;Moderately;"Un po'"
TPMS_0011_CHOICE4;Quite a lot;Abbastanza
TPMS_0011_CHOICE5;Extremely;Estremamente
TPMS_0011_PROMPT;On-edge;Agitato/a
TPMS_0012_CHOICE1;Not at all;Per niente
TPMS_0012_CHOICE2;A little;"Un po'"
TPMS_0012_CHOICE3;Moderately;Moderatamente
