"key";"en";"de";"de_f";"es"
"TQHC_0000_PROMPT";"Quick Hearing Check";"Kurzer Hörcheck";"Kurzer Hörcheck";"Quick Hearing Check"
"TQHC_0001_PROMPT";"With respect to your hearing, please indicate your (dis)agreement to the following statements.";"Bitte gib an, inwieweit du den folgenden Aussagen zu deinem Hörvermögen zustimmst.";"Bitte gib an, inwieweit du den folgenden Aussagen zu deinem Hörvermögen zustimmst.";"With respect to your hearing, please indicate your (dis)agreement to the following statements."
"TQHC_0002_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0002_CHOICE2";"1";"1";"1";"1"
"TQHC_0002_CHOICE3";"2";"2";"2";"2"
"TQHC_0002_CHOICE4";"3";"3";"3";"3"
"TQHC_0002_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0002_PROMPT";"I have a problem hearing over the telephone.";"Ich habe Probleme beim Verstehen von Telefonaten.";"Ich habe Probleme beim Verstehen von Telefonaten.";"I have a problem hearing over the telephone."
"TQHC_0003_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0003_CHOICE2";"1";"1";"1";"1"
"TQHC_0003_CHOICE3";"2";"2";"2";"2"
"TQHC_0003_CHOICE4";"3";"3";"3";"3"
"TQHC_0003_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0003_PROMPT";"I have trouble following the conversation when two or more people are talking at the same time.";"Ich habe Schwierigkeiten, einer Unterhaltung zu folgen, wenn zwei oder mehr Personen gleichzeitig reden.";"Ich habe Schwierigkeiten, einer Unterhaltung zu folgen, wenn zwei oder mehr Personen gleichzeitig reden.";"I have trouble following the conversation when two or more people are talking at the same time."
"TQHC_0004_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0004_CHOICE2";"1";"1";"1";"1"
"TQHC_0004_CHOICE3";"2";"2";"2";"2"
"TQHC_0004_CHOICE4";"3";"3";"3";"3"
"TQHC_0004_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0004_PROMPT";"I have trouble understanding things on TV.";"Ich habe Schwierigkeiten, Dinge im Fernsehen zu verstehen.";"Ich habe Schwierigkeiten, Dinge im Fernsehen zu verstehen.";"I have trouble understanding things on TV."
"TQHC_0005_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0005_CHOICE2";"1";"1";"1";"1"
"TQHC_0005_CHOICE3";"2";"2";"2";"2"
"TQHC_0005_CHOICE4";"3";"3";"3";"3"
"TQHC_0005_CHOICE5";"4 strongly agree";"4 starke Zustimmung";"4 starke Zustimmung";"4 strongly agree"
"TQHC_0005_PROMPT";"I have to strain to understand conversations.";"Ich muss mich anstrengen, um Gesprächen folgen zu können.";"Ich muss mich anstrengen, um Gesprächen folgen zu können.";"I have to strain to understand conversations."
"TQHC_0006_CHOICE1";"0 strongly disagree";"0 starke Ablehnung";"0 starke Ablehnung";"0 strongly disagree"
"TQHC_0006_CHOICE2";"1";"1";"1";"1"
"TQHC_0006_CHOICE3";"2";"2";"2";"2"
"TQHC_0006_CHOICE4";"3";"3";"3";"3"
