"key";"de";"en";"de_f";"it";"es"
"TSCA_0000_PROMPT";"Fragebogen zum schulischen Selbstkonzept";"Academic Self-Concept Questionnaire";"Fragebogen zum schulischen Selbstkonzept";"Academic Self-Concept Questionnaire";"Academic Self-Concept Questionnaire"
"TSCA_0001_PROMPT";"Bitte gib an, inwieweit die folgenden Aussagen auf dich zutreffen. Es gibt keine richtigen oder falschen Antworten, aber es ist wichtig, dass du ehrlich bist. Sei ehrlich mit dir selber, wenn du über die jeweilige Aussage nachdenkst. Um deine Antwort zu markieren, klicke auf das Feld, das am besten mit deinen Gefühlen in Bezug zur Aussage übereinstimmt.";"Please rate the following statements according to how well the statement applies to you. There are no right or wrong answers, but it is important that you rate each statement according to how you honestly feel. Be sure to be honest with yourself as you consider the statement you are rating. To mark your answer, simply click on the item that correspond with your feelings toward the statement.";"Bitte gib an, inwieweit die folgenden Aussagen auf dich zutreffen. Es gibt keine richtigen oder falschen Antworten, aber es ist wichtig, dass du ehrlich bist. Sei ehrlich mit dir selber, wenn du über die jeweilige Aussage nachdenkst. Um deine Antwort zu markieren, klicke auf das Feld, das am besten mit deinen Gefühlen in Bezug zur Aussage übereinstimmt.";"Please rate the following statements according to how well the statement applies to you. There are no right or wrong answers, but it is important that you rate each statement according to how you honestly feel. Be sure to be honest with yourself as you consider the statement you are rating. To mark your answer, simply click on the item that correspond with your feelings toward the statement.";"Please rate the following statements according to how well the statement applies to you. There are no right or wrong answers, but it is important that you rate each statement according to how you honestly feel. Be sure to be honest with yourself as you consider the statement you are rating. To mark your answer, simply click on the item that correspond with your feelings toward the statement."
"TSCA_0002_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSCA_0002_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSCA_0002_CHOICE3";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSCA_0002_CHOICE4";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSCA_0002_PROMPT";"Meine Klassenkameraden mögen meistens meine Ideen.";"Classmates usually like my ideas";"Meine Klassenkameraden mögen meistens meine Ideen.";"Classmates usually like my ideas";"Classmates usually like my ideas"
"TSCA_0003_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSCA_0003_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSCA_0003_CHOICE3";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
