"key";"de";"en";"de_f";"it";"es"
"TSCS_0000_PROMPT";"Fragebogen zum sozialen Selbstkonzept";"Social Self-Concept Questionnaire";"Fragebogen zum sozialen Selbstkonzept";"Social Self-Concept Questionnaire";"Social Self-Concept Questionnaire"
"TSCS_0001_PROMPT";"Bitte gib an, inwieweit die folgenden Aussagen auf dich zutreffen. Es gibt keine richtigen oder falschen Antworten, aber es ist wichtig, dass du ehrlich bist. Sei ehrlich mit dir selber, wenn du über die jeweilige Aussage nachdenkst. Um deine Antwort zu markieren, klicke auf das Feld, das am besten mit deinen Gefühlen in Bezug zur Aussage übereinstimmt.";"Please rate the following statements according to how well the statement applies to you. There are no right or wrong answers, but it is important that you rate each statement according to how you honestly feel. Be sure to be honest with yourself as you consider the statement you are rating. To mark your answer, simply click on the item that corresponds with your feelings towards the statement.";"Bitte gib an, inwieweit die folgenden Aussagen auf dich zutreffen. Es gibt keine richtigen oder falschen Antworten, aber es ist wichtig, dass du ehrlich bist. Sei ehrlich mit dir selber, wenn du über die jeweilige Aussage nachdenkst. Um deine Antwort zu markieren, klicke auf das Feld, das am besten mit deinen Gefühlen in Bezug zur Aussage übereinstimmt.";"Please rate the following statements according to how well the statement applies to you. There are no right or wrong answers, but it is important that you rate each statement according to how you honestly feel. Be sure to be honest with yourself as you consider the statement you are rating. To mark your answer, simply click on the item that corresponds with your feelings towards the statement.";"Please rate the following statements according to how well the statement applies to you. There are no right or wrong answers, but it is important that you rate each statement according to how you honestly feel. Be sure to be honest with yourself as you consider the statement you are rating. To mark your answer, simply click on the item that corresponds with your feelings towards the statement."
"TSCS_0002_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSCS_0002_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSCS_0002_CHOICE3";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSCS_0002_CHOICE4";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSCS_0002_PROMPT";"Mit mir hat man meistens eine Menge Spaß.";"I'm usually a lot of fun to be with";"Mit mir hat man meistens eine Menge Spaß.";"I'm usually a lot of fun to be with";"I'm usually a lot of fun to be with"
"TSCS_0003_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSCS_0003_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSCS_0003_CHOICE3";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSCS_0003_CHOICE4";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSCS_0003_PROMPT";"Andere scheinen nicht oft daran interessiert zu sein, mit mir zu reden.";"People do not seem interested in talking with me";"Andere scheinen nicht oft daran interessiert zu sein, mit mir zu reden.";"People do not seem interested in talking with me";"People do not seem interested in talking with me"
