key;de;en;de_f;it;es;lv
TSES_0000_PROMPT;Inventar zur Selbsteinschätzung des sozialen Status;Socio-Economic Status Inventory;Inventar zur Selbsteinschätzung des sozialen Status;Indice dello Status Socio-economico;Socio-Economic Status Inventory;Sociāli ekonomiskā statusaaptauja
TSES_0001_CHOICE1;Keinen Schulabschluss;Did not complete any school qualification;Keinen Schulabschluss;Non ha conseguito alcun titolo di studio;Did not complete any school qualification;Nav iegūta izglītība
TSES_0001_CHOICE2;Haupt- oder Realschulabschluss;Completed GCSE/Junior High School;Haupt- oder Realschulabschluss;Ha conseguito un diploma di istruzione secondaria / scuola secondaria inferiore;Completed GCSE/Junior High School;Pamatizglītība
TSES_0001_CHOICE3;Berufsausbildung;Completed vocational course;Berufsausbildung;Ha conseguito il titolo di un corso professionale;Completed vocational course;Arodizglītība
TSES_0001_CHOICE4;Fachhochschulreife oder Abitur;Completed A Levels/High School;Fachhochschulreife oder Abitur;Ha conseguito il diploma di scuola superiore;Completed A Levels/High School;Vidējā izglītība vai profesionālā vidējā izglītība
TSES_0001_CHOICE5;Fachhochschulabschluss, Diplom, Bachelor an Universität (3 Jahre an der Uni);Undergraduate university degree or professional qualification (i.e. 3 years at university);Fachhochschulabschluss, Diplom, Bachelor an Universität (3 Jahre an der Uni);Laurea triennale o qualifica professionale (cioè 3 anni di università);Undergraduate university degree or professional qualification (i.e. 3 years at university);Bakalaura grāds
TSES_0001_CHOICE6;Höherer Universitätsabschluss (z. B. Magister, Staatsexamen, Master, Doktor, d. h. mindestens 5 Jahre an der Uni));Postgraduate university degree (i.e. 4 or 5 years at university);Höherer Universitätsabschluss (z. B. Magister, Staatsexamen, Master, Doktor, d. h. mindestens 5 Jahre an der Uni));Titolo universitario post-laurea (cioè 4 o 5 anni di università);Postgraduate university degree (i.e. 4 or 5 years at university);Maģistra vai doktora grāds
TSES_0001_CHOICE7;Weiß ich nicht;I don't know;Weiß ich nicht;Non lo so;I don't know;Nezinu
TSES_0001_PROMPT;Welchen höchsten Bildungsabschluss hat deine Mutter?;What is the highest educational level that your mother has achieved?;Welchen höchsten Bildungsabschluss hat Ihre  Mutter?;Qual è il titolo più alto che ha conseguito la madre?;What is the highest educational level that your mother has achieved?;Kāds ir augstākais izglītības līmenis, ko tava māte ir ieguvusi?
TSES_0002_CHOICE1;Keinen Schulabschluss;Did not complete any school qualification;Keinen Schulabschluss;Non ha conseguito alcun titolo di studio;Did not complete any school qualification;Nav iegūta izglītība
TSES_0002_CHOICE2;Haupt- oder Realschulabschluss;Completed GCSE/Junior High School;Haupt- oder Realschulabschluss;Ha conseguito un diploma di istruzione secondaria / scuola secondaria inferiore;Completed GCSE/Junior High School;Pamatizglītība
TSES_0002_CHOICE3;Berufsausbildung;Completed vocational course;Berufsausbildung;Ha conseguito il titolo di un corso professionale;Completed vocational course;Arodizglītība
TSES_0002_CHOICE4;Fachhochschulreife oder Abitur;Completed A Levels/High School;Fachhochschulreife oder Abitur;Ha conseguito il diploma di scuola superiore;Completed A Levels/High School;Vidējā izglītība vai profesionālā vidējā izglītība
TSES_0002_CHOICE5;Fachhochschulabschluss, Diplom, Bachelor an Universität (3 Jahre an der Uni);Undergraduate university degree or professional qualification (i.e. 3 years at university);Fachhochschulabschluss, Diplom, Bachelor an Universität (3 Jahre an der Uni);Laurea triennale o qualifica professionale (cioè 3 anni di università);Undergraduate university degree or professional qualification (i.e. 3 years at university);Bakalaura grāds
TSES_0002_CHOICE6;Höherer Universitätsabschluss (z. B. Magister, Staatsexamen, Master, Doktor, d. h. mindestens 5 Jahre an der Uni));Postgraduate university degree (i.e. 4 or 5 years at university);Höherer Universitätsabschluss (z. B. Magister, Staatsexamen, Master, Doktor, d. h. mindestens 5 Jahre an der Uni));Titolo universitario post-laurea (cioè 4 o 5 anni di università);Postgraduate university degree (i.e. 4 or 5 years at university);Maģistra vai doktora grāds
TSES_0002_CHOICE7;Weiß ich nicht;I don't know;Weiß ich nicht;Non lo so;I don't know;Nezinu
TSES_0002_PROMPT;Welchen höchsten Bildungsabschluss hat dein Vater?;What is the highest educational level that your father has achieved?;Welchen höchsten Bildungsabschluss hat Ihr Vater?;Qual è il titolo più alto che ha conseguito il padre?;What is the highest educational level that your father has achieved?;Kāds ir augstākais izglītības līmenis, ko tavs tēvs ir ieguvis?
TSES_0003_PROMPT;Bitte beantworte die nächsten Fragen für den/die HauptverdienerIn in deinem Haushalt. Der/die HauptverdienerIn ist die Person in deinem Haushalt, die zum Großteil dafür verantwortlich ist, die Miete oder den Kredit zu zahlen. Wenn dafür mehrere Personen verantwortlich sind, wähle die Person, die mehr verdient. Sollten zwei Personen gleich viel verdienen, wähle die ältere Person. Arbeitet die höchstverdienende Person im Moment nicht, beantworte die Frage gemäß der letzten Arbeitsstelle.;Please answer the following questions regarding the main earner in your household. The main earner is the person in your household that is mainly responsible for paying the rent or mortgage. If there is joint responsibility for paying the rent or mortgage, please choose the person with the highest income as the main earner. (If incomes are similar, then choose the older person). If the main earner does not currently work, please answer the questions thinking about their last job.;Bitte beantworten Sie die nächsten Fragen für den/die HauptverdienerIn in Ihrem Haushalt. Der/die HauptverdienerIn ist die Person in Ihrem Haushalt, die zum Großteil dafür verantwortlich ist, die Miete oder Kredite zu zahlen. Wenn dafür mehrere Personen verantwortlich sind, wählen Sie bitte die Person, die mehr verdient. Sollten zwei Personen gleich viel verdienen, wählen Sie bitte die ältere Person. Arbeitet die höchstverdienende Person im Moment nicht, beantworten Sie bitte die Frage gemäß der letzten Arbeitsstelle.;Rispondi alle seguenti domande riguardanti il percettore principale della tua famiglia. Il percettore principale è la persona della tua famiglia che è principalmente responsabile del pagamento dell'affitto o del mutuo. Se c'è una responsabilità congiunta per il pagamento dell'affitto o del mutuo, si prega di scegliere la persona con il reddito più alto come principale percettore. (Se i redditi sono simili, scegli la persona più anziana). Se il principale percettore non lavora attualmente, rispondi alle domande pensando al suo ultimo lavoro.;Please answer the following questions regarding the main earner in your household. The main earner is the person in your household that is mainly responsible for paying the rent or mortgage. If there is joint responsibility for paying the rent or mortgage, please choose the person with the highest income as the main earner. (If incomes are similar, then choose the older person). If the main earner does not currently work, please answer the questions thinking about their last job.;Lūdzu, atbildi uz jautājumiem par galveno pelnītāju tavā ģimenē. Galvenais pelnītājs ir cilvēks tavā ģimenē, kurš maksā par īri vai hipotēku. Ja ir dalīta atbildība par īri vai hipotēku, tad izvēlies cilvēku ar lielākiem ienākumiem. Ja ienākumi ir līdzīgi, tad izvēlies vecāko cilvēku. Ja galvenajam pelnītājam pašlaik nav darba, tad atbildot ņem vērā viņa pēdējo darbavietu.
TSES_0004_CHOICE1;Arbeitnehmer (ArbeiterIn, AngestellteR, Beamte/-in etc.);Employee;Arbeitnehmer (ArbeiterIn, AngestellteR, Beamte/-in etc.);Dipendente;Employee;Algots darbinieks
TSES_0004_CHOICE2;Freiberuflich tätig mit Angestellten;Self-employed with employees;Freiberuflich tätig mit Angestellten;Lavoratore autonomo con dipendenti;Self-employed with employees;Pašnodarbinātā persona ar algotiem darbiniekm
TSES_0004_CHOICE3;Freiberuflich/freieR MitarbeiterIn ohne Angestellte;Self-employed/freelance without employees;Freiberuflich/freieR MitarbeiterIn ohne Angestellte;Lavoratore autonomo/freelance senza dipendenti;Self-employed/freelance without employees;Pašnodarbinātā persona bez algotiem darbiniekiem
