"key";"de";"en";"de_f";"it";"es"
"TSMP_0000_PROMPT";"Kurztest für musikalische Präferenzen (STOMP)";"Short Test of Musical Preferences (STOMP)";"Kurztest für musikalische Präferenzen (STOMP)";"Short Test of Musical Preferences (STOMP)";"Short Test of Musical Preferences (STOMP)"
"TSMP_0001_PROMPT";"Bitte geben Sie Ihre Präferenzen für jedes, der folgenden Musikgenres anhand der gegebenen Skalen an.";"Please indicate your basic preference for each of the following genres using the scale provided.";"Bitte geben Sie Ihre Präferenzen für jedes, der folgenden Musikgenres anhand der gegebenen Skalen an.";"Please indicate your basic preference for each of the following genres using the scale provided.";"Please indicate your basic preference for each of the following genres using the scale provided."
"TSMP_0002_CHOICE1";"Gefällt mir überhaupt nicht";"Dislike strongly";"Gefällt mir überhaupt nicht";"Dislike strongly";"Dislike strongly"
"TSMP_0002_CHOICE2";"Gefällt mir größtenteils nicht";"Dislike moderately";"Gefällt mir größtenteils nicht";"Dislike moderately";"Dislike moderately"
"TSMP_0002_CHOICE3";"Gefällt mir eher nicht";"Dislike a little";"Gefällt mir eher nicht";"Dislike a little";"Dislike a little"
"TSMP_0002_CHOICE4";"Weder noch";"Neither Like nor Dislike";"Weder noch";"Neither Like nor Dislike";"Neither Like nor Dislike"
"TSMP_0002_CHOICE5";"Gefällt mir eher";"Like a little";"Gefällt mir eher";"Like a little";"Like a little"
"TSMP_0002_CHOICE6";"Gefällt mir größtenteils";"Like moderately";"Gefällt mir größtenteils";"Like moderately";"Like moderately"
"TSMP_0002_CHOICE7";"Gefällt mir voll und ganz";"Like strongly";"Gefällt mir voll und ganz";"Like strongly";"Like strongly"
"TSMP_0002_PROMPT";"Alternative";"Alternative";"Alternative";"Alternative";"Alternative"
"TSMP_0003_CHOICE1";"Gefällt mir überhaupt nicht";"Dislike strongly";"Gefällt mir überhaupt nicht";"Dislike strongly";"Dislike strongly"
"TSMP_0003_CHOICE2";"Gefällt mir größtenteils nicht";"Dislike moderately";"Gefällt mir größtenteils nicht";"Dislike moderately";"Dislike moderately"
"TSMP_0003_CHOICE3";"Gefällt mir eher nicht";"Dislike a little";"Gefällt mir eher nicht";"Dislike a little";"Dislike a little"
"TSMP_0003_CHOICE4";"Weder noch";"Neither Like nor Dislike";"Weder noch";"Neither Like nor Dislike";"Neither Like nor Dislike"
"TSMP_0003_CHOICE5";"Gefällt mir eher";"Like a little";"Gefällt mir eher";"Like a little";"Like a little"
"TSMP_0003_CHOICE6";"Gefällt mir größtenteils";"Like moderately";"Gefällt mir größtenteils";"Like moderately";"Like moderately"
"TSMP_0003_CHOICE7";"Gefällt mir voll und ganz";"Like strongly";"Gefällt mir voll und ganz";"Like strongly";"Like strongly"
"TSMP_0003_PROMPT";"Bluegrass";"Bluegrass";"Bluegrass";"Bluegrass";"Bluegrass"
"TSMP_0004_CHOICE1";"Gefällt mir überhaupt nicht";"Dislike strongly";"Gefällt mir überhaupt nicht";"Dislike strongly";"Dislike strongly"
"TSMP_0004_CHOICE2";"Gefällt mir größtenteils nicht";"Dislike moderately";"Gefällt mir größtenteils nicht";"Dislike moderately";"Dislike moderately"
"TSMP_0004_CHOICE3";"Gefällt mir eher nicht";"Dislike a little";"Gefällt mir eher nicht";"Dislike a little";"Dislike a little"
"TSMP_0004_CHOICE4";"Weder noch";"Neither Like nor Dislike";"Weder noch";"Neither Like nor Dislike";"Neither Like nor Dislike"
"TSMP_0004_CHOICE5";"Gefällt mir eher";"Like a little";"Gefällt mir eher";"Like a little";"Like a little"
"TSMP_0004_CHOICE6";"Gefällt mir größtenteils";"Like moderately";"Gefällt mir größtenteils";"Like moderately";"Like moderately"
"TSMP_0004_CHOICE7";"Gefällt mir voll und ganz";"Like strongly";"Gefällt mir voll und ganz";"Like strongly";"Like strongly"
"TSMP_0004_PROMPT";"Blues";"Blues";"Blues";"Blues";"Blues"
"TSMP_0005_CHOICE1";"Gefällt mir überhaupt nicht";"Dislike strongly";"Gefällt mir überhaupt nicht";"Dislike strongly";"Dislike strongly"
"TSMP_0005_CHOICE2";"Gefällt mir größtenteils nicht";"Dislike moderately";"Gefällt mir größtenteils nicht";"Dislike moderately";"Dislike moderately"
"TSMP_0005_CHOICE3";"Gefällt mir eher nicht";"Dislike a little";"Gefällt mir eher nicht";"Dislike a little";"Dislike a little"
"TSMP_0005_CHOICE4";"Weder noch";"Neither Like nor Dislike";"Weder noch";"Neither Like nor Dislike";"Neither Like nor Dislike"
"TSMP_0005_CHOICE5";"Gefällt mir eher";"Like a little";"Gefällt mir eher";"Like a little";"Like a little"
"TSMP_0005_CHOICE6";"Gefällt mir größtenteils";"Like moderately";"Gefällt mir größtenteils";"Like moderately";"Like moderately"
"TSMP_0005_CHOICE7";"Gefällt mir voll und ganz";"Like strongly";"Gefällt mir voll und ganz";"Like strongly";"Like strongly"
"TSMP_0005_PROMPT";"Klassische Musik";"Classical";"Klassische Musik";"Classical";"Classical"
"TSMP_0006_CHOICE1";"Gefällt mir überhaupt nicht";"Dislike strongly";"Gefällt mir überhaupt nicht";"Dislike strongly";"Dislike strongly"
"TSMP_0006_CHOICE2";"Gefällt mir größtenteils nicht";"Dislike moderately";"Gefällt mir größtenteils nicht";"Dislike moderately";"Dislike moderately"
