"key";"de";"en";"de_f";"it";"es"
"TSOS_0000_PROMPT";"Fragebogen zur eigenen Meinung";"Self-Opinion Survey";"Fragebogen zur eigenen Meinung";"Self-Opinion Survey";"Self-Opinion Survey"
"TSOS_0001_PROMPT";"Bitte denke über die Hörtests und Fragen nach, die du gerade beantwortet hast. Klicke auf die Aussagen, die deiner Meinung nach am besten zutreffen.";"Please think about the test or tests that you just completed. Mark the answer that best represents how you feel about the statements below.";"Bitte denke über die Hörtests und Fragen nach, die du gerade beantwortet hast. Klicke auf die Aussagen, die deiner Meinung nach am besten zutreffen.";"Please think about the test or tests that you just completed. Mark the answer that best represents how you feel about the statements below.";"Please think about the test or tests that you just completed. Mark the answer that best represents how you feel about the statements below."
"TSOS_0002_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSOS_0002_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSOS_0002_CHOICE3";"Weder noch";"Neutral";"Weder noch";"Neutral";"Neutral"
"TSOS_0002_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSOS_0002_CHOICE5";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSOS_0002_PROMPT";"Es war mir wichtig, diese Tests gut zu machen.";"Doing well on these tests was important to me. ";"Es war mir wichtig, diese Tests gut zu machen.";"Doing well on these tests was important to me. ";"Doing well on these tests was important to me. "
"TSOS_0003_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSOS_0003_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSOS_0003_CHOICE3";"Weder noch";"Neutral";"Weder noch";"Neutral";"Neutral"
"TSOS_0003_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSOS_0003_CHOICE5";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSOS_0003_PROMPT";"Ich habe mir bei diesen Tests Mühe gegeben.";"I engaged in good effort throughout these tests. ";"Ich habe mir bei diesen Tests Mühe gegeben.";"I engaged in good effort throughout these tests. ";"I engaged in good effort throughout these tests. "
"TSOS_0004_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSOS_0004_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSOS_0004_CHOICE3";"Weder noch";"Neutral";"Weder noch";"Neutral";"Neutral"
"TSOS_0004_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSOS_0004_CHOICE5";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSOS_0004_PROMPT";"Ich bin nicht neugierig, wie ich diese Tests im Vergleich zu den anderen gemacht habe.";"I am not curious about how I did on these tests relative to others. ";"Ich bin nicht neugierig, wie ich diese Tests im Vergleich zu den anderen gemacht habe.";"I am not curious about how I did on these tests relative to others. ";"I am not curious about how I did on these tests relative to others. "
"TSOS_0005_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSOS_0005_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSOS_0005_CHOICE3";"Weder noch";"Neutral";"Weder noch";"Neutral";"Neutral"
"TSOS_0005_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSOS_0005_CHOICE5";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSOS_0005_PROMPT";"Ich bin nicht daran interessiert, wie ich in diesen Tests abgeschnitten habe.";"I am not concerned about the scores I receive on these tests. ";"Ich bin nicht daran interessiert, wie ich in diesen Tests abgeschnitten habe.";"I am not concerned about the scores I receive on these tests. ";"I am not concerned about the scores I receive on these tests. "
"TSOS_0006_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSOS_0006_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSOS_0006_CHOICE3";"Weder noch";"Neutral";"Weder noch";"Neutral";"Neutral"
"TSOS_0006_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSOS_0006_CHOICE5";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSOS_0006_PROMPT";"Diese Tests waren mir wichtig.";"These were important tests to me. ";"Diese Tests waren mir wichtig.";"These were important tests to me. ";"These were important tests to me. "
"TSOS_0007_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSOS_0007_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSOS_0007_CHOICE3";"Weder noch";"Neutral";"Weder noch";"Neutral";"Neutral"
"TSOS_0007_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSOS_0007_CHOICE5";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSOS_0007_PROMPT";"Ich habe mein Bestes gegeben bei diesen Tests.";"I gave my best effort on these tests. ";"Ich habe mein Bestes gegeben bei diesen Tests.";"I gave my best effort on these tests. ";"I gave my best effort on these tests. "
"TSOS_0008_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSOS_0008_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSOS_0008_CHOICE3";"Weder noch";"Neutral";"Weder noch";"Neutral";"Neutral"
"TSOS_0008_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSOS_0008_CHOICE5";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSOS_0008_PROMPT";"Während der Durchführung dieser Tests hätte ich noch besser arbeiten können.";"While taking these examinations, I could have worked harder on them. ";"Während der Durchführung dieser Tests hätte ich noch besser arbeiten können.";"While taking these examinations, I could have worked harder on them. ";"While taking these examinations, I could have worked harder on them. "
"TSOS_0009_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSOS_0009_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSOS_0009_CHOICE3";"Weder noch";"Neutral";"Weder noch";"Neutral";"Neutral"
"TSOS_0009_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSOS_0009_CHOICE5";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSOS_0009_PROMPT";"Ich würde gerne wissen, wie ich in diesen Tests abgeschnitten habe.";"I would like to know how well I did on these tests. ";"Ich würde gerne wissen, wie ich in diesen Tests abgeschnitten habe.";"I would like to know how well I did on these tests. ";"I would like to know how well I did on these tests. "
"TSOS_0010_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSOS_0010_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSOS_0010_CHOICE3";"Weder noch";"Neutral";"Weder noch";"Neutral";"Neutral"
"TSOS_0010_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSOS_0010_CHOICE5";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSOS_0010_PROMPT";"Ich habe mich nicht voll und ganz auf diese Tests konzentriert, während ich sie gemacht habe.";"I did not give these tests my full attention while completing them. ";"Ich habe mich nicht voll und ganz auf diese Tests konzentriert, während ich sie gemacht habe.";"I did not give these tests my full attention while completing them. ";"I did not give these tests my full attention while completing them. "
"TSOS_0011_CHOICE1";"Stimme überhaupt nicht zu";"Strongly disagree";"Stimme überhaupt nicht zu";"Strongly disagree";"Strongly disagree"
"TSOS_0011_CHOICE2";"Stimme nicht zu";"Disagree";"Stimme nicht zu";"Disagree";"Disagree"
"TSOS_0011_CHOICE3";"Weder noch";"Neutral";"Weder noch";"Neutral";"Neutral"
"TSOS_0011_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TSOS_0011_CHOICE5";"Stimme sehr zu";"Strongly agree";"Stimme sehr zu";"Strongly agree";"Strongly agree"
"TSOS_0011_PROMPT";"Während dieser Tests konnte ich mich dazu motivieren, die Aufgaben fertig zu machen.";"While taking these tests, I was able to persist to completion of the tasks. ";"Während dieser Tests konnte ich mich dazu motivieren, die Aufgaben fertig zu machen.";"While taking these tests, I was able to persist to completion of the tasks. ";"While taking these tests, I was able to persist to completion of the tasks. "
