"key";"de";"en";"de_f";"it"
"TTPI_0000_PROMPT";"Kurzes Persönlichkeitsinventar (für Kinder)";"Short Personality Inventory (for children)";"Kurzes Persönlichkeitsinventar (für Kinder)";"Short Personality Inventory (for children)"
"TTPI_0001_PROMPT";"Im Folgenden findest du eine Reihe von Persönlichkeitseigenschaften, die mehr oder weniger stark auf dich zutreffen. Bitte kreuze für jede Aussage an, inwieweit sie auf dich zutrifft oder nicht. Du sollst jeweils eine Gruppe von Eigenschaften beurteilen, auch wenn möglicherweise eine Eigenschaft stärker zutrifft als die anderen.";"Here are a number of qualities that may or may not apply to you. Please indicate the extent to which you agree or disagree with every statement. You should rate the extent to which these words apply to you, even if one characteristic applies more strongly than the others.";"Im Folgenden findest du eine Reihe von Persönlichkeitseigenschaften, die mehr oder weniger stark auf dich zutreffen. Bitte kreuze für jede Aussage an, inwieweit sie auf dich zutrifft oder nicht. Du sollst jeweils eine Gruppe von Eigenschaften beurteilen, auch wenn möglicherweise eine Eigenschaft stärker zutrifft als die anderen.";"Qui ci sono alcune qualità che potrebbero o non potrebbero riguardarti. Per favore, indica quanto sei d’accordo con ogni affermazione. Dovresti valutare quanto queste parole ti riguardano, anche se una caratteristica ti riguarda più delle altre."
"TTPI_0002_CHOICE1";"Trifft überhaupt nicht zu";"Disagree strongly";"Trifft überhaupt nicht zu";"Completamente in disaccordo"
"TTPI_0002_CHOICE2";"Trifft größtenteils nicht zu";"Disagree moderately";"Trifft größtenteils nicht zu";"Molto in disaccordo"
"TTPI_0002_CHOICE3";"Trifft eher nicht zu";"Disagree a little";"Trifft eher nicht zu";"Un po’ in disaccordo"
"TTPI_0002_CHOICE4";"Weder zutreffend noch unzutreffend";"Neither agree nor disagree";"Weder zutreffend noch unzutreffend";"Né in accordo né in disaccordo"
"TTPI_0002_CHOICE5";"Trifft eher zu";"Agree a little";"Trifft eher zu";"Un po' d’accordo"
"TTPI_0002_CHOICE6";"Trifft größtenteils zu";"Agree moderately";"Trifft größtenteils zu";"Molto d’accordo"
"TTPI_0002_CHOICE7";"Trifft voll und ganz zu";"Agree strongly";"Trifft voll und ganz zu";"Completamente d’accordo"
"TTPI_0002_PROMPT";"Ich sehe mich selbst als: begeistert, lebhaft, extrovertiert";"I see myself as: extraverted, enthusiastic, sociable, lively.";"Ich sehe mich selbst als: begeistert, lebhaft, extrovertiert";"Vedo me stesso/a come: estroverso/a, entusiasta, esuberante, vitale"
"TTPI_0003_CHOICE1";"Trifft überhaupt nicht zu";"Disagree strongly";"Trifft überhaupt nicht zu";"Completamente in disaccordo"
"TTPI_0003_CHOICE2";"Trifft größtenteils nicht zu";"Disagree moderately";"Trifft größtenteils nicht zu";"Molto in disaccordo"
"TTPI_0003_CHOICE3";"Trifft eher nicht zu";"Disagree a little";"Trifft eher nicht zu";"Un po’ in disaccordo"
"TTPI_0003_CHOICE4";"Weder zutreffend noch unzutreffend";"Neither agree nor disagree";"Weder zutreffend noch unzutreffend";"Né in accordo né in disaccordo"
"TTPI_0003_CHOICE5";"Trifft eher zu";"Agree a little";"Trifft eher zu";"Un po' d’accordo"
"TTPI_0003_CHOICE6";"Trifft größtenteils zu";"Agree moderately";"Trifft größtenteils zu";"Molto d’accordo"
"TTPI_0003_CHOICE7";"Trifft voll und ganz zu";"Agree strongly";"Trifft voll und ganz zu";"Completamente d’accordo"
"TTPI_0003_PROMPT";"Ich sehe mich selbst als: kritisch, streitsüchtig";"I see myself as: critical, quarrelsome, grumpy, selfish.";"Ich sehe mich selbst als: kritisch, streitsüchtig";"Vedo me stesso/a come: critico/a, litigioso/a, polemico/a, egoista"
"TTPI_0004_CHOICE1";"Trifft überhaupt nicht zu";"Disagree strongly";"Trifft überhaupt nicht zu";"Completamente in disaccordo"
"TTPI_0004_CHOICE2";"Trifft größtenteils nicht zu";"Disagree moderately";"Trifft größtenteils nicht zu";"Molto in disaccordo"
"TTPI_0004_CHOICE3";"Trifft eher nicht zu";"Disagree a little";"Trifft eher nicht zu";"Un po’ in disaccordo"
"TTPI_0004_CHOICE4";"Weder zutreffend noch unzutreffend";"Neither agree nor disagree";"Weder zutreffend noch unzutreffend";"Né in accordo né in disaccordo"
"TTPI_0004_CHOICE5";"Trifft eher zu";"Agree a little";"Trifft eher zu";"Un po' d’accordo"
"TTPI_0004_CHOICE6";"Trifft größtenteils zu";"Agree moderately";"Trifft größtenteils zu";"Molto d’accordo"
"TTPI_0004_CHOICE7";"Trifft voll und ganz zu";"Agree strongly";"Trifft voll und ganz zu";"Completamente d’accordo"
"TTPI_0004_PROMPT";"Ich sehe mich selbst als: zuverlässig, selbstdiszipliniert";"I see myself as: dependable, self-disciplined, responsible, persistent.";"Ich sehe mich selbst als: zuverlässig, selbstdiszipliniert";"Vedo me stesso/a come: affidabile, autodisciplinato/a, responsabile, tenace"
"TTPI_0005_CHOICE1";"Trifft überhaupt nicht zu";"Disagree strongly";"Trifft überhaupt nicht zu";"Completamente in disaccordo"
"TTPI_0005_CHOICE2";"Trifft größtenteils nicht zu";"Disagree moderately";"Trifft größtenteils nicht zu";"Molto in disaccordo"
"TTPI_0005_CHOICE3";"Trifft eher nicht zu";"Disagree a little";"Trifft eher nicht zu";"Un po’ in disaccordo"
"TTPI_0005_CHOICE4";"Weder zutreffend noch unzutreffend";"Neither agree nor disagree";"Weder zutreffend noch unzutreffend";"Né in accordo né in disaccordo"
"TTPI_0005_CHOICE5";"Trifft eher zu";"Agree a little";"Trifft eher zu";"Un po' d’accordo"
"TTPI_0005_CHOICE6";"Trifft größtenteils zu";"Agree moderately";"Trifft größtenteils zu";"Molto d’accordo"
"TTPI_0005_CHOICE7";"Trifft voll und ganz zu";"Agree strongly";"Trifft voll und ganz zu";"Completamente d’accordo"
"TTPI_0005_PROMPT";"Ich sehe mich selbst als: ängstlich, leicht aus der Fassung zu bringen";"I see myself as: anxious, easily upset, touchy, fearful.";"Ich sehe mich selbst als: ängstlich, leicht aus der Fassung zu bringen";"Mi vedo come: ansioso/a, che si turba facilmente, suscettibile, timoroso/a"
"TTPI_0006_CHOICE1";"Trifft überhaupt nicht zu";"Disagree strongly";"Trifft überhaupt nicht zu";"Completamente in disaccordo"
"TTPI_0006_CHOICE2";"Trifft größtenteils nicht zu";"Disagree moderately";"Trifft größtenteils nicht zu";"Molto in disaccordo"
"TTPI_0006_CHOICE3";"Trifft eher nicht zu";"Disagree a little";"Trifft eher nicht zu";"Un po’ in disaccordo"
"TTPI_0006_CHOICE4";"Weder zutreffend noch unzutreffend";"Neither agree nor disagree";"Weder zutreffend noch unzutreffend";"Né in accordo né in disaccordo"
"TTPI_0006_CHOICE5";"Trifft eher zu";"Agree a little";"Trifft eher zu";"Un po' d’accordo"
"TTPI_0006_CHOICE6";"Trifft größtenteils zu";"Agree moderately";"Trifft größtenteils zu";"Molto d’accordo"
"TTPI_0006_CHOICE7";"Trifft voll und ganz zu";"Agree strongly";"Trifft voll und ganz zu";"Completamente d’accordo"
"TTPI_0006_PROMPT";"Ich sehe mich selbst als: offen für neue Erfahrungen, vielschichtig";"I see myself as: open to new experiences, complex, curious, thoughtful.";"Ich sehe mich selbst als: offen für neue Erfahrungen, vielschichtig";"Vedo me stesso/a come: aperto/a a nuove esperienze, complesso/a, curioso/a, riflessivo/a"
"TTPI_0007_CHOICE1";"Trifft überhaupt nicht zu";"Disagree strongly";"Trifft überhaupt nicht zu";"Completamente in disaccordo"
"TTPI_0007_CHOICE2";"Trifft größtenteils nicht zu";"Disagree moderately";"Trifft größtenteils nicht zu";"Molto in disaccordo"
"TTPI_0007_CHOICE3";"Trifft eher nicht zu";"Disagree a little";"Trifft eher nicht zu";"Un po’ in disaccordo"
"TTPI_0007_CHOICE4";"Weder zutreffend noch unzutreffend";"Neither agree nor disagree";"Weder zutreffend noch unzutreffend";"Né in accordo né in disaccordo"
"TTPI_0007_CHOICE5";"Trifft eher zu";"Agree a little";"Trifft eher zu";"Un po' d’accordo"
"TTPI_0007_CHOICE6";"Trifft größtenteils zu";"Agree moderately";"Trifft größtenteils zu";"Molto d’accordo"
"TTPI_0007_CHOICE7";"Trifft voll und ganz zu";"Agree strongly";"Trifft voll und ganz zu";"Completamente d’accordo"
