"key";"en";"de"
"AFGHANISTAN";"Afghanistan";"Afghanistan"
"ALGERIA";"Algeria";"Algerien"
"BELARUS";"Belarus";"Weißrussland"
"BULGARIA";"Bulgaria";"Bulgarien"
"CANADA";"Canada";"Kanada"
"CHINA";"China";"China"
"CROATIA";"Croatia";"Kroatien"
"CUBA";"Cuba";"Kuba"
"DOMINICAN_REPUBLIC";"Dominican Republic";"Dominikanische Republik"
"EL_SALVADOR";"El Salvador";"El Salvador"
"FRANCE";"France";"Frankreich"
"GERMANY";"Germany";"Deutschland"
"GREECE";"Greece";"Griechenland"
"GUATEMALA";"Guatemala";"Guatemala"
"INDIA";"India";"Indien"
"IRAN";"Iran";"Iran"
"IRAQ";"Iraq";"Irak"
"IRELAND";"Ireland";"Irland"
"ITALY";"Italy";"Italien"
"KOSOVO";"Kosovo";"Kosovo"
"LITHUANIA";"Lithuania";"Litauen"
"MEXICO";"Mexico";"Mexiko"
"NETHERLANDS";"Netherlands";"Niederlande"
"NIGERIA";"Nigeria";"Nigeria"
"OTHER_COUNTRY";"Other country";"Anderes Land"
"PAKISTAN";"Pakistan";"Pakistan"
"PHILIPPINES";"Philippines";"Philippinen"
"POLAND";"Poland";"Polen"
"PORTUGAL";"Portugal";"Portugal"
"ROMANIA";"Romania";"Rumänien"
"RUSSIAN_FEDERATION";"Russia";"Russische Föderation"
"SENEGAL";"Senegal";"Senegal"
"SERBIA";"Serbia";"Serbien"
"SOUTH_AFRICA";"South Africa";"Südafrika"
"SOUTH_KOREA";"South Korea";"Südkorea"
"SPAIN";"Spain";"Spanien"
"SYRIA";"Syria";"Syrien"
"TURKEY";"Turkey";"Türkei"
"UK";"UK";"Großbritannien"
"USA";"USA";"USA"
"VIETNAM";"Vietnam";"Vietnam"
