"key";"en";"de";"de_f";"it";"es"
"AFGHAN";"Afghan";"Afghanisch";"Afghanisch";"Afgano";"Afgano"
"ALBANIAN";"Albanian";"Albanisch";"Albanisch";"Albanese";"Albanés"
"ALGERIAN";"Algerian";"Algerisch";"Algerisch";"Algerino";"Argelino"
"AMERICAN";"American";"Amerikanisch";"Amerikanisch";"Americano";"Inglés Estadounidense"
"ARABIC";"Arabic";"Arabisch";"Arabisch";"Arabo";"Árabe"
"BELORUSSIAN";"Belorussian";"Weißrussisch";"Weißrussisch";"Bielorusso";"Bielorruso"
"BRITISH";"British";"Britisch";"Britisch";"Britannico";"Británico"
"BULGARIAN";"Bulgarian";"Bulgarisch";"Bulgarisch";"Bulgaro";"Búlgaro"
"CANADIAN";"Canadian";"Kanadisch";"Kanadisch";"Canadese";"Canadiense"
"CATALAN";"Catalan";"Katalanisch";"Katalanisch";"Catalano";"Catalán"
"CHINESE";"Chinese";"Chinesisch";"Chinesisch";"Cinese";"Chino"
"CROATIAN";"Croatian";"Kroatisch";"Kroatisch";"Croato";"Croata"
"DUTCH";"Dutch";"Niederländisch";"Niederländisch";"Olandese";"Holandés"
"ENGLISH";"English";"Englisch";"Englisch";"Inglese";"Inglés"
"FRENCH";"French";"Französisch";"Französisch";"Francese";"Francés"
"GERMAN";"German";"Deutsch";"Deutsch";"Tedesco";"Alemán"
"GREEK";"Greek";"Griechisch";"Griechisch";"Greco";"Griego"
"HAITIAN";"Haitian";"Haitianisch";"Haitianisch";"Haitiano";"Haitiano"
"HINDI";"Hindi";"Hindi";"Hindi";"Hindi";"Hindi"
"HUNGARIAN";"Hungarian";"Ungarisch";"Ungarisch";"Ungaro";"Húngaro"
"IRANIAN";"Iranian";"Iranisch";"Iranisch";"Iraniano";"Iraní"
"IRAQI";"Iraqi";"Irakisch";"Irakisch";"Iracheno";"Iraquí"
"ITALIAN";"Italian";"Italienisch";"Italienisch";"Italiano";"Italiano"
"JAPANESE";"Japanese";"Japanisch";"Japanisch";"Giapponese";"Japonés"
"KOREAN";"Korean";"Koreanisch";"Koreanisch";"Coreano";"Coreano"
"KOSOVAN";"Kosovan";"Kosovarisch";"Kosovarisch";"Kosovaro";"Kosovar"
"KURDISH";"Kurdish";"Kurdisch";"Kurdisch";"Curdo";"Kurdo"
"LITHUANIAN";"Lithuanian";"Litauisch";"Litauisch";"Lituano";"Lituano"
"OTHER_LANGUAGE";"Other language";"Andere Sprache";"Andere Sprache";"Altra lingua";"Otro idioma"
"OTHER_NATIONALITY";"Other nationality";"Andere Nationalität";"Andere Nationalität";"Altra nazionalità";"Otra nacionalidad"
"PASHTO";"Pashto";"Paschtunisch";"Paschtunisch";"Pashtu";"Pastún"
"PERSIAN";"Persian";"Persisch";"Persisch";"Persiano";"Persa"
"POLISH";"Polish";"Polnisch";"Polnisch";"Polacco";"Polaco"
"PORTUGUESE";"Portuguese";"Portugiesisch";"Portugiesisch";"Portoghese";"Portugués"
"PUNJABI";"Punjabi";"Panjabi";"Panjabi";"Punjabi";"Punjabi"
"ROMANIAN";"Romanian";"Rumänisch";"Rumänisch";"Rumeno";"Rumano"
"RUSSIAN";"Russian";"Russisch";"Russisch";"Russo";"Ruso"
"SENEGALESE";"Senegalese";"Senegalesisch";"Senegalesisch";"Senegalese";"Senegalés"
"SERBIAN";"Serbian";"Serbisch";"Serbisch";"Serbo";"Serbio"
"SPANISH";"Spanish";"Spanisch";"Spanisch";"Spagnolo";"Español"
"SYRIAN";"Syrian";"Syrisch";"Syrisch";"Siriaco";"Sirio"
"TAGALOG";"Tagalog";"Tagalog";"Tagalog";"Tagalog";"Tagalo"
"TURKISH";"Turkish";"Türkisch";"Türkisch";"Turco";"Turco"
"VALENCIAN";"Valencia";"Valencianisch";"Valencianisch";"Valenciano";"Valenciano"
"VIETNAMESE";"Vietnamese";"Vietnamesisch";"Vietnamesisch";"Vietnamita";"Vietnamita"
