"main_id";"language";"template";"score_func";"subscales";"layout"
"TCCM_0001";"de";"9-option checkbox";"function(x) x";"General";"vertical"
"TCCM_0001";"en";"9-option checkbox";"function(x) x";"General";"vertical"
"TCCM_0002";"de";"5-option multiple choice";"function(x) x";"Extra";"vertical"
"TCCM_0002";"en";"5-option multiple choice";"function(x) x";"Extra";"vertical"
"TCCM_0003";"de";"5-option multiple choice";"function(x) x";"Extra";"vertical"
"TCCM_0003";"en";"5-option multiple choice";"function(x) x";"Extra";"vertical"
"TCCM_0004";"de";"7-option multiple choice";"function(x) x";"General";"vertical"
"TCCM_0004";"en";"7-option multiple choice";"function(x) x";"General";"vertical"
"TCCM_0005";"de";"7-option multiple choice";"function(x) x";"General";"vertical"
"TCCM_0005";"en";"7-option multiple choice";"function(x) x";"General";"vertical"
"TCCM_0000";"en";"";"";"";""
"TCCM_0000";"de";"";"";"";""
