"main_id";"language";"template";"score_func";"subscales";"layout"
"TCMT_0002";"de";"5-option multiple choice";"function(x) x";"(Re)productive competence";"vertical"
"TCMT_0002";"en";"5-option multiple choice";"function(x) x";"(Re)productive competence";"vertical"
"TCMT_0003";"de";"5-option multiple choice";"function(x) x";"(Re)productive competence";"vertical"
"TCMT_0003";"en";"5-option multiple choice";"function(x) x";"(Re)productive competence";"vertical"
"TCMT_0004";"de";"5-option multiple choice";"function(x) x";"(Re)productive competence";"vertical"
"TCMT_0004";"en";"5-option multiple choice";"function(x) x";"(Re)productive competence";"vertical"
"TCMT_0005";"de";"5-option multiple choice";"function(x) x";"Reflection competence";"vertical"
"TCMT_0005";"en";"5-option multiple choice";"function(x) x";"Reflection competence";"vertical"
"TCMT_0006";"de";"5-option multiple choice";"function(x) x";"Reflection competence";"vertical"
"TCMT_0006";"en";"5-option multiple choice";"function(x) x";"Reflection competence";"vertical"
"TCMT_0007";"de";"5-option multiple choice";"function(x) x";"Reflection competence";"vertical"
"TCMT_0007";"en";"5-option multiple choice";"function(x) x";"Reflection competence";"vertical"
"TCMT_0008";"de";"5-option multiple choice";"function(x) x";"Psychomotoric competence";"vertical"
"TCMT_0008";"en";"5-option multiple choice";"function(x) x";"Psychomotoric competence";"vertical"
"TCMT_0009";"de";"5-option multiple choice";"function(x) x";"Psychomotoric competence";"vertical"
"TCMT_0009";"en";"5-option multiple choice";"function(x) x";"Psychomotoric competence";"vertical"
"TCMT_0010";"de";"5-option multiple choice";"function(x) x";"Psychomotoric competence";"vertical"
"TCMT_0010";"en";"5-option multiple choice";"function(x) x";"Psychomotoric competence";"vertical"
"TCMT_0011";"de";"5-option multiple choice";"function(x) x";"Social competence";"vertical"
"TCMT_0011";"en";"5-option multiple choice";"function(x) x";"Social competence";"vertical"
"TCMT_0012";"de";"5-option multiple choice";"function(x) x";"Social competence";"vertical"
"TCMT_0012";"en";"5-option multiple choice";"function(x) x";"Social competence";"vertical"
"TCMT_0013";"de";"5-option multiple choice";"function(x) x";"Social competence";"vertical"
"TCMT_0013";"en";"5-option multiple choice";"function(x) x";"Social competence";"vertical"
"TCMT_0000";"en";"";"";"";""
"TCMT_0000";"de";"";"";"";""
"TCMT_0001";"en";"";"";"";""
"TCMT_0001";"de";"";"";"";""
