"main_id";"language";"template";"score_func";"subscales";"layout"
"TCRT_0002";"de";"1-line textinput";"function(x) x+0";"Bat and Ball";"vertical"
"TCRT_0002";"en";"1-line textinput";"function(x) x+0";"Bat and Ball";"vertical"
"TCRT_0003";"de";"1-line textinput";"function(x) x+0";"Widgets";"vertical"
"TCRT_0003";"en";"1-line textinput";"function(x) x+0";"Widgets";"vertical"
"TCRT_0004";"de";"1-line textinput";"function(x) x+0";"Lily Pads";"vertical"
"TCRT_0004";"en";"1-line textinput";"function(x) x+0";"Lily Pads";"vertical"
"TCRT_0005";"de";"3-option multiple choice";"function(x) x+0";"Come Across";"vertical"
"TCRT_0005";"en";"3-option multiple choice";"function(x) x+0";"Come Across";"vertical"
"TCRT_0006";"de";"3-option checkbox";"function(x) x+0";"Which Problems";"vertical"
"TCRT_0006";"en";"3-option checkbox";"function(x) x+0";"Which Problems";"vertical"
"TCRT_0007";"de";"3-option multiple choice";"function(x) x+0";"Correct Answer";"vertical"
"TCRT_0007";"en";"3-option multiple choice";"function(x) x+0";"Correct Answer";"vertical"
"TCRT_0001";"en";"";"";"";""
"TCRT_0001";"de";"";"";"";""
"TCRT_0000";"en";"";"";"";""
"TCRT_0000";"de";"";"";"";""
