"main_id";"language";"template";"score_func";"subscales";"layout"
"TDAC_0002";"de";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TDAC_0002";"en";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TDAC_0003";"de";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TDAC_0003";"en";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TDAC_0004";"de";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TDAC_0004";"en";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TDAC_0005";"de";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TDAC_0005";"en";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TDAC_0001";"en";"";"";"";""
"TDAC_0001";"de";"";"";"";""
"TDAC_0000";"en";"";"";"";""
"TDAC_0000";"de";"";"";"";""
