"main_id";"language";"template";"score_func";"subscales";"layout"
"TDEG_0001";"de";"2-option multiple choice";"function(x) x";"Best Shot";"horizontal"
"TDEG_0001";"en";"2-option multiple choice";"function(x) x";"Best Shot";"horizontal"
"TDEG_0002";"de";"2-option multiple choice";"function(x) x";"Hearing Impairment";"horizontal"
"TDEG_0002";"en";"2-option multiple choice";"function(x) x";"Hearing Impairment";"horizontal"
"TDEG_0003";"de";"1-option text";"function(x) x";"Type of Hearing Impairment";""
"TDEG_0003";"en";"1-option text";"function(x) x";"Type of Hearing Impairment";""
"TDEG_0004";"de";"4-option multiple choice";"function(x) x";"Gender";"vertical"
"TDEG_0004";"en";"4-option multiple choice";"function(x) x";"Gender";"vertical"
"TDEG_0005";"de";"1-option text";"function(x) x";"Age";""
"TDEG_0005";"en";"1-option text";"function(x) x";"Age";""
"TDEG_0006";"de";"1-option countries_short";"function(x) x";"Nationality";""
"TDEG_0006";"en";"1-option countries_short";"function(x) x";"Nationality";""
"TDEG_0007";"de";"1-option countries_long";"function(x) x";"Country Formative Years";""
"TDEG_0007";"en";"1-option countries_long";"function(x) x";"Country Formative Years";""
"TDEG_0008";"de";"1-option language_short";"function(x) x";"First Language";""
"TDEG_0008";"en";"1-option language_short";"function(x) x";"First Language";""
"TDEG_0009";"de";"1-option language_long";"function(x) x";"Second Language";""
"TDEG_0009";"en";"1-option language_long";"function(x) x";"Second Language";""
"TDEG_0010";"de";"1-option birthdate";"function(x) x";"Age";""
"TDEG_0010";"en";"1-option birthdate";"function(x) x";"Age";""
"TDEG_0011";"de";"3-option multiple choice";"function(x) x";"Handedness";"vertical"
"TDEG_0011";"en";"3-option multiple choice";"function(x) x";"Handedness";"vertical"
"TDEG_0012";"de";"3-option multiple choice";"function(x) x";"Handedness";"vertical"
"TDEG_0012";"en";"3-option multiple choice";"function(x) x";"Handedness";"vertical"
"TDEG_0013";"de";"1-option countries_long";"function(x) x";"Country of Residence";"vertical"
"TDEG_0013";"en";"1-option countries_long";"function(x) x";"Country of Residence";"vertical"
"TDEG_0014";"de";"4-option multiple choice";"function(x) x";"Qualification";"vertical"
"TDEG_0014";"en";"1-option multiple choice";"function(x) x";"Qualification";"vertical"
"TDEG_0015";"de";"2-option multiple choice";"function(x) x";"Employment";"horizontal"
"TDEG_0015";"en";"7-option multiple choice";"function(x) x";"Employment";"horizontal"
"TDEG_0016";"de";"7-option multiple choice";"function(x) x";"Life Circumstances";"vertical"
"TDEG_0016";"en";"7-option multiple choice";"function(x) x";"Life Circumstances";"vertical"
"TDEG_0017";"de";"4-option multiple choice";"function(x) x";"Financial";"vertical"
"TDEG_0017";"en";"4-option multiple choice";"function(x) x";"Financial";"vertical"
"TDEG_0018";"de";"6-option multiple choice";"function(x) x";"Music Proficiency";"vertical"
"TDEG_0018";"en";"6-option multiple choice";"function(x) x";"Music Proficiency";"vertical"
