"main_id";"language";"template";"score_func";"subscales";"layout"
"TGDS_0001";"de";"7-option multiple choice";"function(x) x+0";"Body Awareness;General";"vertical"
"TGDS_0001";"en";"7-option multiple choice";"function(x) x+0";"Body Awareness;General";"vertical"
"TGDS_0002";"de";"7-option multiple choice";"function(x) (8-(x+0))+0";"Body Awareness;General";"vertical"
"TGDS_0002";"en";"7-option multiple choice";"function(x) (8-(x+0))+0";"Body Awareness;General";"vertical"
"TGDS_0003";"de";"7-option multiple choice";"function(x) x+0";"Body Awareness;General";"vertical"
"TGDS_0003";"en";"7-option multiple choice";"function(x) x+0";"Body Awareness;General";"vertical"
"TGDS_0004";"de";"7-option multiple choice";"function(x) (8-(x+0))+0";"Body Awareness;General";"vertical"
"TGDS_0004";"en";"7-option multiple choice";"function(x) (8-(x+0))+0";"Body Awareness;General";"vertical"
"TGDS_0005";"de";"7-option multiple choice";"function(x) x+0";"Body Awareness;General";"vertical"
"TGDS_0005";"en";"7-option multiple choice";"function(x) x+0";"Body Awareness;General";"vertical"
"TGDS_0006";"de";"7-option multiple choice";"function(x) x+0";"Body Awareness;General";"vertical"
"TGDS_0006";"en";"7-option multiple choice";"function(x) x+0";"Body Awareness;General";"vertical"
"TGDS_0007";"de";"7-option multiple choice";"function(x) x+0";"Social Dancing;General";"vertical"
"TGDS_0007";"en";"7-option multiple choice";"function(x) x+0";"Social Dancing;General";"vertical"
"TGDS_0008";"de";"7-option multiple choice";"function(x) (8-(x+0))+0";"Social Dancing;General";"vertical"
"TGDS_0008";"en";"7-option multiple choice";"function(x) (8-(x+0))+0";"Social Dancing;General";"vertical"
"TGDS_0009";"de";"7-option multiple choice";"function(x) x+0";"Social Dancing;General";"vertical"
"TGDS_0009";"en";"7-option multiple choice";"function(x) x+0";"Social Dancing;General";"vertical"
"TGDS_0010";"de";"7-option multiple choice";"function(x) (8-(x+0))+0";"Social Dancing;General";"vertical"
"TGDS_0010";"en";"7-option multiple choice";"function(x) (8-(x+0))+0";"Social Dancing;General";"vertical"
"TGDS_0011";"de";"7-option multiple choice";"function(x) x+0";"Social Dancing;General";"vertical"
"TGDS_0011";"en";"7-option multiple choice";"function(x) x+0";"Social Dancing;General";"vertical"
"TGDS_0012";"de";"7-option multiple choice";"function(x) (8-(x+0))+0";"Social Dancing;General";"horizontal"
"TGDS_0012";"en";"7-option multiple choice";"function(x) (8-(x+0))+0";"Social Dancing;General";"horizontal"
"TGDS_0013";"de";"7-option multiple choice";"function(x) x+0";"Urge to Dance;General";"vertical"
"TGDS_0013";"en";"7-option multiple choice";"function(x) x+0";"Urge to Dance;General";"vertical"
"TGDS_0014";"de";"7-option multiple choice";"function(x) (8-(x+0))+0";"Urge to Dance;General";"vertical"
"TGDS_0014";"en";"7-option multiple choice";"function(x) (8-(x+0))+0";"Urge to Dance;General";"vertical"
"TGDS_0015";"de";"7-option multiple choice";"function(x) x+0";"Urge to Dance;General";"vertical"
"TGDS_0015";"en";"7-option multiple choice";"function(x) x+0";"Urge to Dance;General";"vertical"
"TGDS_0016";"de";"7-option multiple choice";"function(x) x+0";"Urge to Dance;General";"vertical"
"TGDS_0016";"en";"7-option multiple choice";"function(x) x+0";"Urge to Dance;General";"vertical"
"TGDS_0017";"de";"7-option multiple choice";"function(x) x+0";"Urge to Dance;General";"horizontal"
"TGDS_0017";"en";"7-option multiple choice";"function(x) x+0";"Urge to Dance;General";"horizontal"
"TGDS_0018";"de";"7-option multiple choice";"function(x) x+0";"Dance Training;General";"horizontal"
"TGDS_0018";"en";"7-option multiple choice";"function(x) x+0";"Dance Training;General";"horizontal"
"TGDS_0019";"de";"5-option radiobutton";"function(x) {if (x == 3) {x+1} else if (x == 4 | x == 5) {x+2} else x+0}";"Dance Training;General";"vertical"
"TGDS_0019";"en";"5-option radiobutton";"function(x) {if (x == 3) {x+1} else if (x == 4 | x == 5) {x+2} else x+0}";"Dance Training;General";"vertical"
"TGDS_0020";"de";"7-option multiple choice";"function(x) x+0";"Dance Training;General";"vertical"
"TGDS_0020";"en";"7-option multiple choice";"function(x) x+0";"Dance Training;General";"vertical"
"TGDS_0021";"de";"7-option multiple choice";"function(x) x+0";"Observational Dance Experience";"horizontal"
"TGDS_0021";"en";"7-option multiple choice";"function(x) x+0";"Observational Dance Experience";"horizontal"
"TGDS_0022";"de";"7-option multiple choice";"function(x) (8-(x+0))+0";"Observational Dance Experience";"horizontal"
"TGDS_0022";"en";"7-option multiple choice";"function(x) (8-(x+0))+0";"Observational Dance Experience";"horizontal"
"TGDS_0023";"de";"5-option radiobutton";"function(x) {if (x == 3) {x+1} else if (x == 4 | x == 5) {x+2} else x+0}";"Observational Dance Experience";"vertical"
"TGDS_0023";"en";"5-option radiobutton";"function(x) {if (x == 3) {x+1} else if (x == 4 | x == 5) {x+2} else x+0}";"Observational Dance Experience";"vertical"
"TGDS_0024";"de";"7-option multiple choice";"function(x) (8-(x+0))+0";"Observational Dance Experience";"vertical"
"TGDS_0024";"en";"7-option multiple choice";"function(x) (8-(x+0))+0";"Observational Dance Experience";"vertical"
"TGDS_0025";"de";"7-option multiple choice";"function(x) x+0";"Observational Dance Experience";"vertical"
"TGDS_0025";"en";"7-option multiple choice";"function(x) x+0";"Observational Dance Experience";"vertical"
"TGDS_0026";"de";"7-option multiple choice";"function(x) x+0";"Observational Dance Experience";"vertical"
"TGDS_0026";"en";"7-option multiple choice";"function(x) x+0";"Observational Dance Experience";"vertical"
"TGDS_0000";"en";"";"";"";""
"TGDS_0000";"de";"";"";"";""
