"main_id";"language";"template";"score_func";"subscales";"layout"
"TGMS_0001";"de";"7-option multiple choice";"function(x) x+0";"Active Engagement;General";"vertical"
"TGMS_0001";"en";"7-option multiple choice";"function(x) x+0";"Active Engagement;General";"vertical"
"TGMS_0002";"de";"7-option radiobutton";"function(x) x+0";"Musical Training;General";"horizontal"
"TGMS_0002";"en";"7-option radiobutton";"function(x) x+0";"Musical Training;General";"horizontal"
"TGMS_0003";"de";"7-option multiple choice";"function(x) x+0";"Emotions";"vertical"
"TGMS_0003";"en";"7-option multiple choice";"function(x) x+0";"Emotions";"vertical"
"TGMS_0004";"de";"7-option multiple choice";"function(x) x+0";"Active Engagement;General";"vertical"
"TGMS_0004";"en";"7-option multiple choice";"function(x) x+0";"Active Engagement;General";"vertical"
"TGMS_0005";"de";"7-option multiple choice";"function(x) x+0";"Singing Abilities;General";"vertical"
"TGMS_0005";"en";"7-option multiple choice";"function(x) x+0";"Singing Abilities;General";"vertical"
"TGMS_0006";"de";"7-option multiple choice";"function(x) x+0";"Perceptual Abilities";"vertical"
"TGMS_0006";"en";"7-option multiple choice";"function(x) x+0";"Perceptual Abilities";"vertical"
"TGMS_0007";"de";"7-option multiple choice";"function(x) x+0";"Perceptual Abilities";"vertical"
"TGMS_0007";"en";"7-option multiple choice";"function(x) x+0";"Perceptual Abilities";"vertical"
"TGMS_0008";"de";"7-option multiple choice";"function(x) x+0";"Singing Abilities;General";"vertical"
"TGMS_0008";"en";"7-option multiple choice";"function(x) x+0";"Singing Abilities;General";"vertical"
"TGMS_0009";"de";"7-option multiple choice";"function(x) x+0";"Active Engagement";"vertical"
"TGMS_0009";"en";"7-option multiple choice";"function(x) x+0";"Active Engagement";"vertical"
"TGMS_0010";"de";"7-option multiple choice";"function(x) (8-(x+0))+0";"Emotions";"vertical"
"TGMS_0010";"en";"7-option multiple choice";"function(x) (8-(x+0))+0";"Emotions";"vertical"
"TGMS_0011";"de";"7-option multiple choice";"function(x) x+0";"Singing Abilities;General";"vertical"
"TGMS_0011";"en";"7-option multiple choice";"function(x) x+0";"Singing Abilities;General";"vertical"
"TGMS_0012";"de";"7-option multiple choice";"function(x) x+0";"Musical Training;General";"horizontal"
"TGMS_0012";"en";"7-option multiple choice";"function(x) x+0";"Musical Training;General";"horizontal"
"TGMS_0013";"de";"7-option multiple choice";"function(x) (8-(x+0))+0";"Perceptual Abilities";"vertical"
"TGMS_0013";"en";"7-option multiple choice";"function(x) (8-(x+0))+0";"Perceptual Abilities";"vertical"
"TGMS_0014";"de";"7-option multiple choice";"function(x) x+0";"Perceptual Abilities;General";"vertical"
"TGMS_0014";"en";"7-option multiple choice";"function(x) x+0";"Perceptual Abilities;General";"vertical"
"TGMS_0015";"de";"7-option multiple choice";"function(x) (8-(x+0))+0";"Perceptual Abilities";"vertical"
"TGMS_0015";"en";"7-option multiple choice";"function(x) (8-(x+0))+0";"Perceptual Abilities";"vertical"
"TGMS_0016";"de";"7-option multiple choice";"function(x) (8-(x+0))+0";"Musical Training;General";"vertical"
"TGMS_0016";"en";"7-option multiple choice";"function(x) (8-(x+0))+0";"Musical Training;General";"vertical"
"TGMS_0017";"de";"7-option radiobutton";"function(x) x+0";"Active Engagement";"horizontal"
"TGMS_0017";"en";"7-option radiobutton";"function(x) x+0";"Active Engagement";"horizontal"
"TGMS_0018";"de";"7-option radiobutton";"function(x) x+0";"Musical Training";"horizontal"
"TGMS_0018";"en";"7-option radiobutton";"function(x) x+0";"Musical Training";"horizontal"
"TGMS_0019";"de";"7-option multiple choice";"function(x) x+0";"Active Engagement;General";"vertical"
"TGMS_0019";"en";"7-option multiple choice";"function(x) x+0";"Active Engagement;General";"vertical"
"TGMS_0020";"de";"7-option multiple choice";"function(x) x+0";"Emotions";"vertical"
"TGMS_0020";"en";"7-option multiple choice";"function(x) x+0";"Emotions";"vertical"
"TGMS_0021";"de";"7-option radiobutton";"function(x) x+0";"Musical Training";"horizontal"
"TGMS_0021";"en";"7-option radiobutton";"function(x) x+0";"Musical Training";"horizontal"
"TGMS_0022";"de";"7-option radiobutton";"function(x) x+0";"Musical Training;General";"horizontal"
"TGMS_0022";"en";"7-option radiobutton";"function(x) x+0";"Musical Training;General";"horizontal"
"TGMS_0023";"de";"7-option multiple choice";"function(x) x+0";"Singing Abilities;General";"vertical"
"TGMS_0023";"en";"7-option multiple choice";"function(x) x+0";"Singing Abilities;General";"vertical"
"TGMS_0024";"de";"7-option multiple choice";"function(x) x+0";"Perceptual Abilities";"vertical"
"TGMS_0024";"en";"7-option multiple choice";"function(x) x+0";"Perceptual Abilities";"vertical"
"TGMS_0025";"de";"7-option multiple choice";"function(x) x+0";"Emotions;General";"vertical"
"TGMS_0025";"en";"7-option multiple choice";"function(x) x+0";"Emotions;General";"vertical"
"TGMS_0026";"de";"7-option multiple choice";"function(x) x+0";"Emotions";"vertical"
"TGMS_0026";"en";"7-option multiple choice";"function(x) x+0";"Emotions";"vertical"
"TGMS_0027";"de";"7-option multiple choice";"function(x) (8-(x+0))+0";"Active Engagement";"vertical"
"TGMS_0027";"en";"7-option multiple choice";"function(x) (8-(x+0))+0";"Active Engagement";"vertical"
"TGMS_0028";"de";"7-option multiple choice";"function(x) x+0";"Perceptual Abilities";"vertical"
"TGMS_0028";"en";"7-option multiple choice";"function(x) x+0";"Perceptual Abilities";"vertical"
"TGMS_0029";"de";"7-option multiple choice";"function(x) (8-(x+0))+0";"Perceptual Abilities;General";"vertical"
"TGMS_0029";"en";"7-option multiple choice";"function(x) (8-(x+0))+0";"Perceptual Abilities;General";"vertical"
"TGMS_0030";"de";"7-option multiple choice";"function(x) x+0";"Active Engagement;General";"vertical"
"TGMS_0030";"en";"7-option multiple choice";"function(x) x+0";"Active Engagement;General";"vertical"
"TGMS_0031";"de";"7-option radiobutton";"function(x) x+0";"Active Engagement";"vertical"
"TGMS_0031";"en";"7-option radiobutton";"function(x) x+0";"Active Engagement";"vertical"
"TGMS_0032";"de";"21-option radiobutton";"function(x) x+0";"Instrument";"horizontal"
"TGMS_0032";"en";"21-option radiobutton";"function(x) x+0";"Instrument";"horizontal"
"TGMS_0033";"de";"7-option multiple choice";"function(x) (8-(x+0))+0";"Singing Abilities;General";"vertical"
"TGMS_0033";"en";"7-option multiple choice";"function(x) (8-(x+0))+0";"Singing Abilities;General";"vertical"
"TGMS_0034";"de";"7-option multiple choice";"function(x) x+0";"Perceptual Abilities";"vertical"
"TGMS_0034";"en";"7-option multiple choice";"function(x) x+0";"Perceptual Abilities";"vertical"
"TGMS_0035";"de";"7-option multiple choice";"function(x) (8-(x+0))+0";"Musical Training;General";"vertical"
"TGMS_0035";"en";"7-option multiple choice";"function(x) (8-(x+0))+0";"Musical Training;General";"vertical"
"TGMS_0036";"de";"7-option multiple choice";"function(x) x+0";"Active Engagement";"vertical"
"TGMS_0036";"en";"7-option multiple choice";"function(x) x+0";"Active Engagement";"vertical"
"TGMS_0037";"de";"7-option multiple choice";"function(x) x+0";"Singing Abilities;General";"vertical"
"TGMS_0037";"en";"7-option multiple choice";"function(x) x+0";"Singing Abilities;General";"vertical"
"TGMS_0038";"de";"7-option multiple choice";"function(x) x+0";"Singing Abilities";"vertical"
"TGMS_0038";"en";"7-option multiple choice";"function(x) x+0";"Singing Abilities";"vertical"
"TGMS_0039";"de";"7-option multiple choice";"function(x) x+0";"Emotions";"vertical"
"TGMS_0039";"en";"7-option multiple choice";"function(x) x+0";"Emotions";"vertical"
"TGMS_0040";"de";"19-option radiobutton";"function(x) x+0";"Start Age";"horizontal"
"TGMS_0040";"en";"19-option radiobutton";"function(x) x+0";"Start Age";"horizontal"
"TGMS_0041";"de";"2-option multiple choice";"function(x) x+0";"Absolute Pitch";"horizontal"
"TGMS_0041";"en";"2-option multiple choice";"function(x) x+0";"Absolute Pitch";"horizontal"
"TGMS_0000";"en";"";"";"";""
"TGMS_0000";"de";"";"";"";""
