"main_id";"language";"template";"score_func";"subscales";"layout"
"TGRT_0002";"de";"5-option multiple choice";"function(x) x";"General";"Vertical"
"TGRT_0002";"en";"5-option multiple choice";"function(x) x";"General";"Vertical"
"TGRT_0003";"de";"5-option multiple choice";"function(x) 6-x";"General";"Vertical"
"TGRT_0003";"en";"5-option multiple choice";"function(x) 6-x";"General";"Vertical"
"TGRT_0004";"de";"5-option multiple choice";"function(x) x";"General";"Vertical"
"TGRT_0004";"en";"5-option multiple choice";"function(x) x";"General";"Vertical"
"TGRT_0005";"de";"5-option multiple choice";"function(x) 6-x";"General";"Vertical"
"TGRT_0005";"en";"5-option multiple choice";"function(x) 6-x";"General";"Vertical"
"TGRT_0006";"de";"5-option multiple choice";"function(x) x";"General";"Vertical"
"TGRT_0006";"en";"5-option multiple choice";"function(x) x";"General";"Vertical"
"TGRT_0007";"de";"5-option multiple choice";"function(x) x";"General";"Vertical"
"TGRT_0007";"en";"5-option multiple choice";"function(x) x";"General";"Vertical"
"TGRT_0008";"de";"5-option multiple choice";"function(x) 6-x";"General";"Vertical"
"TGRT_0008";"en";"5-option multiple choice";"function(x) 6-x";"General";"Vertical"
"TGRT_0009";"de";"5-option multiple choice";"function(x) 6-x";"General";"Vertical"
"TGRT_0009";"en";"5-option multiple choice";"function(x) 6-x";"General";"Vertical"
"TGRT_0000";"en";"";"";"";""
"TGRT_0000";"de";"";"";"";""
"TGRT_0001";"en";"";"";"";""
"TGRT_0001";"de";"";"";"";""
