"main_id";"language";"template";"score_func";"subscales";"layout"
"THOP_0002";"de";"6-option multiple choice";"function(x) x";"General";"Vertical"
"THOP_0002";"en";"6-option multiple choice";"function(x) x";"General";"Vertical"
"THOP_0003";"de";"6-option multiple choice";"function(x) x";"General";"Vertical"
"THOP_0003";"en";"6-option multiple choice";"function(x) x";"General";"Vertical"
"THOP_0004";"de";"6-option multiple choice";"function(x) x";"General";"Vertical"
"THOP_0004";"en";"6-option multiple choice";"function(x) x";"General";"Vertical"
"THOP_0005";"de";"6-option multiple choice";"function(x) x";"General";"Vertical"
"THOP_0005";"en";"6-option multiple choice";"function(x) x";"General";"Vertical"
"THOP_0006";"de";"6-option multiple choice";"function(x) x";"General";"Vertical"
"THOP_0006";"en";"6-option multiple choice";"function(x) x";"General";"Vertical"
"THOP_0007";"de";"6-option multiple choice";"function(x) x";"General";"Vertical"
"THOP_0007";"en";"6-option multiple choice";"function(x) x";"General";"Vertical"
"THOP_0000";"en";"";"";"";""
"THOP_0000";"de";"";"";"";""
"THOP_0001";"en";"";"";"";""
"THOP_0001";"de";"";"";"";""
