main_id;language;template;score_func;subscales;layout
THSP_0002;en;7-option multiple choice;function(x) x;Filler;horizontal
THSP_0002;it;7-option multiple choice;function(x) x;Filler;horizontal
THSP_0003;en;7-option multiple choice;function(x) x;"Aesthetic Sensitivity; General";horizontal
THSP_0003;it;7-option multiple choice;function(x) x;"Aesthetic Sensitivity; General";horizontal
THSP_0004;en;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0004;it;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0005;en;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0005;it;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0006;en;7-option multiple choice;function(x) x;"Aesthetic Sensitivity; General";horizontal
THSP_0006;it;7-option multiple choice;function(x) x;"Aesthetic Sensitivity; General";horizontal
THSP_0007;en;7-option multiple choice;function(x) x;"Low Sensory Threshold; General";horizontal
THSP_0007;it;7-option multiple choice;function(x) x;"Low Sensory Threshold; General";horizontal
THSP_0008;en;7-option multiple choice;function(x) x;"Low Sensory Threshold; General";horizontal
THSP_0008;it;7-option multiple choice;function(x) x;"Low Sensory Threshold; General";horizontal
THSP_0009;en;7-option multiple choice;function(x) x;"Aesthetic Sensitivity; General";horizontal
THSP_0009;it;7-option multiple choice;function(x) x;"Aesthetic Sensitivity; General";horizontal
THSP_0010;en;7-option multiple choice;function(x) x;"Low Sensory Threshold; General";horizontal
THSP_0010;it;7-option multiple choice;function(x) x;"Low Sensory Threshold; General";horizontal
THSP_0011;en;7-option multiple choice;function(x) x;"Aesthetic Sensitivity; General";horizontal
THSP_0011;it;7-option multiple choice;function(x) x;"Aesthetic Sensitivity; General";horizontal
THSP_0012;en;7-option multiple choice;function(x) x;General;horizontal
THSP_0012;it;7-option multiple choice;function(x) x;General;horizontal
THSP_0013;en;7-option multiple choice;function(x) x;"Aesthetic Sensitivity; General";horizontal
THSP_0013;it;7-option multiple choice;function(x) x;"Aesthetic Sensitivity; General";horizontal
THSP_0014;en;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0014;it;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0015;en;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0015;it;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0016;en;7-option multiple choice;function(x) x;"Aesthetic Sensitivity; General";horizontal
THSP_0016;it;7-option multiple choice;function(x) x;"Aesthetic Sensitivity; General";horizontal
THSP_0017;en;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0017;it;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0018;en;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0018;it;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0019;en;7-option multiple choice;function(x) x;"Low Sensory Threshold; General";horizontal
THSP_0019;it;7-option multiple choice;function(x) x;"Low Sensory Threshold; General";horizontal
THSP_0020;en;7-option multiple choice;function(x) x;"Low Sensory Threshold; General";horizontal
THSP_0020;it;7-option multiple choice;function(x) x;"Low Sensory Threshold; General";horizontal
THSP_0021;en;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0021;it;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0022;en;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0022;it;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0023;en;7-option multiple choice;function(x) x;"Aesthetic Sensitivity; General";horizontal
THSP_0023;it;7-option multiple choice;function(x) x;"Aesthetic Sensitivity; General";horizontal
THSP_0024;en;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0024;it;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0025;en;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0025;it;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0026;en;7-option multiple choice;function(x) x;"Low Sensory Threshold; General";horizontal
THSP_0026;it;7-option multiple choice;function(x) x;"Low Sensory Threshold; General";horizontal
THSP_0027;en;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0027;it;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0028;en;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
THSP_0028;it;7-option multiple choice;function(x) x;"Ease of Excitation; General";horizontal
