main_id;language;template;score_func;subscales;layout
THUM_0002;en;5-option multiple choice;function(x) x;"Unhealthy; General";vertical
THUM_0002;it;5-option multiple choice;function(x) x;"Unhealthy; General";vertical
THUM_0003;en;5-option multiple choice;function(x) x;"Unhealthy; General";vertical
THUM_0003;it;5-option multiple choice;function(x) x;"Unhealthy; General";vertical
THUM_0004;en;5-option multiple choice;function(x) x;"Healthy; General";vertical
THUM_0004;it;5-option multiple choice;function(x) x;"Healthy; General";vertical
THUM_0005;en;5-option multiple choice;function(x) x;"Unhealthy; General";vertical
THUM_0005;it;5-option multiple choice;function(x) x;"Unhealthy; General";vertical
THUM_0006;en;5-option multiple choice;function(x) x;"Healthy; General";vertical
THUM_0006;it;5-option multiple choice;function(x) x;"Healthy; General";vertical
THUM_0007;en;5-option multiple choice;function(x) x;"Healthy; General";vertical
THUM_0007;it;5-option multiple choice;function(x) x;"Healthy; General";vertical
THUM_0008;en;5-option multiple choice;function(x) x;"Unhealthy; General";vertical
THUM_0008;it;5-option multiple choice;function(x) x;"Unhealthy; General";vertical
THUM_0009;en;5-option multiple choice;function(x) x;"Unhealthy; General";vertical
THUM_0009;it;5-option multiple choice;function(x) x;"Unhealthy; General";vertical
THUM_0010;en;5-option multiple choice;function(x) x;"Healthy; General";vertical
THUM_0010;it;5-option multiple choice;function(x) x;"Healthy; General";vertical
THUM_0011;en;5-option multiple choice;function(x) x;"Unhealthy; General";vertical
THUM_0011;it;5-option multiple choice;function(x) x;"Unhealthy; General";vertical
THUM_0012;en;5-option multiple choice;function(x) x;"Unhealthy; General";vertical
THUM_0012;it;5-option multiple choice;function(x) x;"Unhealthy; General";vertical
THUM_0013;en;5-option multiple choice;function(x) x;"Unhealthy; General";vertical
THUM_0013;it;5-option multiple choice;function(x) x;"Unhealthy; General";vertical
THUM_0014;en;5-option multiple choice;function(x) x;"Healthy; General";vertical
THUM_0014;it;5-option multiple choice;function(x) x;"Healthy; General";vertical
