main_id;language;template;score_func;subscales;layout
TIBQ_0001;de;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0001;en;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0001;ar;8-option multiple choice;NA;Surgency;vertical
TIBQ_0002;de;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0002;en;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0002;ar;8-option multiple choice;NA;Surgency;vertical
TIBQ_0003;de;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0003;en;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0003;ar;8-option multiple choice;NA;Negative Affect;vertical
TIBQ_0004;de;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0004;en;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0004;ar;8-option multiple choice;NA;Negative Affect;vertical
TIBQ_0005;de;8-option multiple choice;function(x) x+0;Effortful Control;vertical
TIBQ_0005;en;8-option multiple choice;function(x) x+0;Effortful Control;vertical
TIBQ_0005;ar;8-option multiple choice;NA;Effortful Control;vertical
TIBQ_0006;de;8-option multiple choice;function(x) x+0;Effortful Control;vertical
TIBQ_0006;en;8-option multiple choice;function(x) x+0;Effortful Control;vertical
TIBQ_0006;ar;8-option multiple choice;NA;Effortful Control;vertical
TIBQ_0007;de;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0007;en;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0007;ar;8-option multiple choice;NA;Surgency;vertical
TIBQ_0008;de;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0008;en;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0008;ar;8-option multiple choice;NA;Surgency;vertical
TIBQ_0009;de;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0009;en;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0009;ar;8-option multiple choice;NA;Negative Affect;vertical
TIBQ_0010;de;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0010;en;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0010;ar;8-option multiple choice;NA;Negative Affect;vertical
TIBQ_0011;de;8-option multiple choice;function(x) 9-(x+0)+0;Effortful Control;vertical
TIBQ_0011;en;8-option multiple choice;function(x) 9-(x+0)+0;Effortful Control;vertical
TIBQ_0011;ar;8-option multiple choice;NA;Effortful Control;vertical
TIBQ_0012;de;8-option multiple choice;function(x) x+0;Effortful Control;vertical
TIBQ_0012;en;8-option multiple choice;function(x) x+0;Effortful Control;vertical
TIBQ_0012;ar;8-option multiple choice;NA;Effortful Control;vertical
TIBQ_0013;de;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0013;en;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0013;ar;8-option multiple choice;NA;Surgency;vertical
TIBQ_0014;de;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0014;en;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0014;ar;8-option multiple choice;NA;Surgency;vertical
TIBQ_0015;de;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0015;en;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0015;ar;8-option multiple choice;NA;Surgency;vertical
TIBQ_0016;de;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0016;en;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0016;ar;8-option multiple choice;NA;Negative Affect;vertical
TIBQ_0017;de;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0017;en;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0017;ar;8-option multiple choice;NA;Negative Affect;vertical
TIBQ_0018;de;8-option multiple choice;function(x) x+0;Effortful Control;vertical
TIBQ_0018;en;8-option multiple choice;function(x) x+0;Effortful Control;vertical
TIBQ_0018;ar;8-option multiple choice;NA;Effortful Control;vertical
TIBQ_0019;de;8-option multiple choice;function(x) x+0;Effortful Control;vertical
TIBQ_0019;en;8-option multiple choice;function(x) x+0;Effortful Control;vertical
TIBQ_0019;ar;8-option multiple choice;NA;Effortful Control;vertical
TIBQ_0020;de;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0020;en;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0020;ar;8-option multiple choice;NA;Surgency;vertical
TIBQ_0021;de;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0021;en;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0021;ar;8-option multiple choice;NA;Surgency;vertical
TIBQ_0022;de;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0022;en;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0022;ar;8-option multiple choice;NA;Negative Affect;vertical
TIBQ_0023;de;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0023;en;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0023;ar;8-option multiple choice;NA;Negative Affect;vertical
TIBQ_0024;de;8-option multiple choice;function(x) x+0;Effortful Control;vertical
TIBQ_0024;en;8-option multiple choice;function(x) x+0;Effortful Control;vertical
TIBQ_0024;ar;8-option multiple choice;NA;Effortful Control;vertical
TIBQ_0025;de;8-option multiple choice;function(x) x+0;Effortful Control;vertical
TIBQ_0025;en;8-option multiple choice;function(x) x+0;Effortful Control;vertical
TIBQ_0025;ar;8-option multiple choice;NA;Effortful Control;vertical
TIBQ_0026;de;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0026;en;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0026;ar;8-option multiple choice;NA;Surgency;vertical
TIBQ_0027;de;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0027;en;8-option multiple choice;function(x) x+0;Surgency;vertical
TIBQ_0027;ar;8-option multiple choice;NA;Surgency;vertical
TIBQ_0028;de;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0028;en;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0028;ar;8-option multiple choice;NA;Negative Affect;vertical
TIBQ_0029;de;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0029;en;8-option multiple choice;function(x) x+0;Negative Affect;vertical
TIBQ_0029;ar;8-option multiple choice;NA;Negative Affect;vertical
TIBQ_0030;de;8-option multiple choice;function(x) x+0;Effortful Control;vertical
TIBQ_0030;en;8-option multiple choice;function(x) x+0;Effortful Control;vertical
