main_id;language;template;score_func;subscales;layout
TMDS_0002;en;5-option multiple choice;function(x) x;Item1;vertical
TMDS_0002;de;5-option multiple choice;function(x) x;Item1;vertical
TMDS_0003;en;5-option multiple choice;function(x) x;Item2;vertical
TMDS_0003;de;5-option multiple choice;function(x) x;Item2;vertical
TMDS_0004;en;5-option multiple choice;function(x) x;Item3;vertical
TMDS_0004;de;5-option multiple choice;function(x) x;Item3;vertical
TMDS_0005;en;5-option multiple choice;function(x) x;Item4;vertical
TMDS_0005;de;5-option multiple choice;function(x) x;Item4;vertical
TMDS_0006;en;5-option multiple choice;function(x) x;Item5;vertical
TMDS_0006;de;5-option multiple choice;function(x) x;Item5;vertical
TMDS_0007;en;5-option multiple choice;function(x) x;Item6;vertical
TMDS_0007;de;5-option multiple choice;function(x) x;Item6;vertical
TMDS_0008;en;5-option multiple choice;function(x) x;Item7;vertical
TMDS_0008;de;5-option multiple choice;function(x) x;Item7;vertical
TMDS_0009;en;5-option multiple choice;function(x) x;Item8;vertical
TMDS_0009;de;5-option multiple choice;function(x) x;Item8;vertical
TMDS_0010;en;5-option multiple choice;function(x) x;Item9;vertical
TMDS_0010;de;5-option multiple choice;function(x) x;Item9;vertical
TMDS_0011;en;5-option multiple choice;function(x) x;Item10;vertical
TMDS_0011;de;5-option multiple choice;function(x) x;Item10;vertical
TMDS_0012;en;5-option multiple choice;function(x) x;Item11;vertical
TMDS_0012;de;5-option multiple choice;function(x) x;Item11;vertical
TMDS_0013;en;5-option multiple choice;function(x) x;Item12;vertical
TMDS_0013;de;5-option multiple choice;function(x) x;Item12;vertical
TMDS_0014;en;5-option multiple choice;function(x) x;Item13;vertical
TMDS_0014;de;5-option multiple choice;function(x) x;Item13;vertical
TMDS_0015;en;5-option multiple choice;function(x) x;Item14;vertical
TMDS_0015;de;5-option multiple choice;function(x) x;Item14;vertical
TMDS_0016;en;5-option multiple choice;function(x) x;Item15;vertical
TMDS_0016;de;5-option multiple choice;function(x) x;Item15;vertical
TMDS_0017;en;5-option multiple choice;function(x) x;Item16;vertical
TMDS_0017;de;5-option multiple choice;function(x) x;Item16;vertical
TMDS_0018;en;5-option multiple choice;function(x) x;Item17;vertical
TMDS_0018;de;5-option multiple choice;function(x) x;Item17;vertical
TMDS_0019;en;5-option multiple choice;function(x) x;Item18;vertical
TMDS_0019;de;5-option multiple choice;function(x) x;Item18;vertical
TMDS_0020;en;5-option multiple choice;function(x) x;Item19;vertical
TMDS_0020;de;5-option multiple choice;function(x) x;Item19;vertical
TMDS_0021;en;5-option multiple choice;function(x) x;Item20;vertical
TMDS_0021;de;5-option multiple choice;function(x) x;Item20;vertical
TMDS_0022;en;5-option multiple choice;function(x) x;Item21;vertical
TMDS_0022;de;5-option multiple choice;function(x) x;Item21;vertical
TMDS_0023;en;5-option multiple choice;function(x) x;Item22;vertical
TMDS_0023;de;5-option multiple choice;function(x) x;Item22;vertical
TMDS_0024;en;5-option multiple choice;function(x) x;Item23;vertical
TMDS_0024;de;5-option multiple choice;function(x) x;Item23;vertical
TMDS_0025;en;5-option multiple choice;function(x) x;Item24;vertical
TMDS_0025;de;5-option multiple choice;function(x) x;Item24;vertical
TMDS_0026;en;5-option multiple choice;function(x) x;Item25;vertical
TMDS_0026;de;5-option multiple choice;function(x) x;Item25;vertical
TMDS_0027;en;5-option multiple choice;function(x) x;Item26;vertical
TMDS_0027;de;5-option multiple choice;function(x) x;Item26;vertical
TMDS_0028;en;5-option multiple choice;function(x) x;Item27;vertical
TMDS_0028;de;5-option multiple choice;function(x) x;Item27;vertical
TMDS_0029;en;5-option multiple choice;function(x) x;Item28;vertical
TMDS_0029;de;5-option multiple choice;function(x) x;Item28;vertical
TMDS_0030;en;5-option multiple choice;function(x) x;Item29;vertical
TMDS_0030;de;5-option multiple choice;function(x) x;Item29;vertical
TMDS_0031;en;5-option multiple choice;function(x) x;Item30;vertical
TMDS_0031;de;5-option multiple choice;function(x) x;Item30;vertical
TMDS_0032;en;5-option multiple choice;function(x) x;Item31;vertical
TMDS_0032;de;5-option multiple choice;function(x) x;Item31;vertical
TMDS_0033;en;5-option multiple choice;function(x) x;Item32;vertical
TMDS_0033;de;5-option multiple choice;function(x) x;Item32;vertical
TMDS_0034;en;5-option multiple choice;function(x) x;Item33;vertical
TMDS_0034;de;5-option multiple choice;function(x) x;Item33;vertical
TMDS_0035;en;5-option multiple choice;function(x) x;Item34;vertical
TMDS_0035;de;5-option multiple choice;function(x) x;Item34;vertical
TMDS_0036;en;5-option multiple choice;function(x) x;Item35;vertical
TMDS_0036;de;5-option multiple choice;function(x) x;Item35;vertical
TMDS_0037;en;5-option multiple choice;function(x) x;Item36;vertical
TMDS_0037;de;5-option multiple choice;function(x) x;Item36;vertical
TMDS_0038;en;5-option multiple choice;function(x) x;Item37;vertical
