"main_id";"language";"template";"score_func";"subscales";"layout"
"TMES_0002";"de";"4-option multiple choice";"function(x) x+0";"Music Empathizing";"vertical"
"TMES_0002";"en";"4-option multiple choice";"function(x) x+0";"Music Empathizing";"vertical"
"TMES_0003";"de";"4-option multiple choice";"function(x) (5-(x+0))+0";"Music Empathizing";"vertical"
"TMES_0003";"en";"4-option multiple choice";"function(x) (5-(x+0))+0";"Music Empathizing";"vertical"
"TMES_0004";"de";"4-option multiple choice";"function(x) x+0";"Music Empathizing";"vertical"
"TMES_0004";"en";"4-option multiple choice";"function(x) x+0";"Music Empathizing";"vertical"
"TMES_0005";"de";"4-option multiple choice";"function(x) (5-(x+0))+0";"Music Empathizing";"vertical"
"TMES_0005";"en";"4-option multiple choice";"function(x) (5-(x+0))+0";"Music Empathizing";"vertical"
"TMES_0006";"de";"4-option multiple choice";"function(x) x+0";"Music Empathizing";"vertical"
"TMES_0006";"en";"4-option multiple choice";"function(x) x+0";"Music Empathizing";"vertical"
"TMES_0007";"de";"4-option multiple choice";"function(x) (5-(x+0))+0";"Music Empathizing";"vertical"
"TMES_0007";"en";"4-option multiple choice";"function(x) (5-(x+0))+0";"Music Empathizing";"vertical"
"TMES_0008";"de";"4-option multiple choice";"function(x) x+0";"Music Empathizing";"vertical"
"TMES_0008";"en";"4-option multiple choice";"function(x) x+0";"Music Empathizing";"vertical"
"TMES_0009";"de";"4-option multiple choice";"function(x) (5-(x+0))+0";"Music Empathizing";"vertical"
"TMES_0009";"en";"4-option multiple choice";"function(x) (5-(x+0))+0";"Music Empathizing";"vertical"
"TMES_0010";"de";"4-option multiple choice";"function(x) x+0";"Music Empathizing";"vertical"
"TMES_0010";"en";"4-option multiple choice";"function(x) x+0";"Music Empathizing";"vertical"
"TMES_0011";"de";"4-option multiple choice";"function(x) (5-(x+0))+0";"Music Systemizing";"vertical"
"TMES_0011";"en";"4-option multiple choice";"function(x) (5-(x+0))+0";"Music Systemizing";"vertical"
"TMES_0012";"de";"4-option multiple choice";"function(x) (5-(x+0))+0";"Music Systemizing";"vertical"
"TMES_0012";"en";"4-option multiple choice";"function(x) (5-(x+0))+0";"Music Systemizing";"vertical"
"TMES_0013";"de";"4-option multiple choice";"function(x) x+0";"Music Systemizing";"vertical"
"TMES_0013";"en";"4-option multiple choice";"function(x) x+0";"Music Systemizing";"vertical"
"TMES_0014";"de";"4-option multiple choice";"function(x) x+0";"Music Systemizing";"vertical"
"TMES_0014";"en";"4-option multiple choice";"function(x) x+0";"Music Systemizing";"vertical"
"TMES_0015";"de";"4-option multiple choice";"function(x) x+0";"Music Systemizing";"vertical"
"TMES_0015";"en";"4-option multiple choice";"function(x) x+0";"Music Systemizing";"vertical"
"TMES_0016";"de";"4-option multiple choice";"function(x) x+0";"Music Systemizing";"vertical"
"TMES_0016";"en";"4-option multiple choice";"function(x) x+0";"Music Systemizing";"vertical"
"TMES_0017";"de";"4-option multiple choice";"function(x) x+0";"Music Systemizing";"vertical"
"TMES_0017";"en";"4-option multiple choice";"function(x) x+0";"Music Systemizing";"vertical"
"TMES_0018";"de";"4-option multiple choice";"function(x) x+0";"Music Systemizing";"vertical"
"TMES_0018";"en";"4-option multiple choice";"function(x) x+0";"Music Systemizing";"vertical"
"TMES_0019";"de";"4-option multiple choice";"function(x) (5-(x+0))+0";"Music Systemizing";"vertical"
"TMES_0019";"en";"4-option multiple choice";"function(x) (5-(x+0))+0";"Music Systemizing";"vertical"
