main_id;language;template;score_func;subscales;layout
TMET_0002;en;7-option multiple choice;function (x) x;physical;vertical
TMET_0002;de;7-option multiple choice;function (x) x;physical;vertical
TMET_0003;en;7-option multiple choice;function (x) x;affective;vertical
TMET_0003;de;7-option multiple choice;function (x) x;affective;vertical
TMET_0004;en;7-option multiple choice;function (x) x;social;vertical
TMET_0004;de;7-option multiple choice;function (x) x;social;vertical
TMET_0005;en;7-option multiple choice;function (x) x;social;vertical
TMET_0005;de;7-option multiple choice;function (x) x;social;vertical
TMET_0006;en;7-option multiple choice;function (x) x;cognitive;vertical
TMET_0006;de;7-option multiple choice;function (x) x;cognitive;vertical
TMET_0007;en;7-option multiple choice;function (x) x;physical;vertical
TMET_0007;de;7-option multiple choice;function (x) x;physical;vertical
TMET_0008;en;7-option multiple choice;function (x) x;narrative;vertical
TMET_0008;de;7-option multiple choice;function (x) x;narrative;vertical
TMET_0009;en;7-option multiple choice;function (x) x;affective;vertical
TMET_0009;de;7-option multiple choice;function (x) x;affective;vertical
TMET_0010;en;7-option multiple choice;function (x) x;cognitive;vertical
TMET_0010;de;7-option multiple choice;function (x) x;cognitive;vertical
TMET_0011;en;7-option multiple choice;function (x) x;narrative;vertical
TMET_0011;de;7-option multiple choice;function (x) x;narrative;vertical
TMET_0012;en;7-option multiple choice;function (x) x;narrative;vertical
TMET_0012;de;7-option multiple choice;function (x) x;narrative;vertical
TMET_0013;en;7-option multiple choice;function (x) x;cognitive;vertical
TMET_0013;de;7-option multiple choice;function (x) x;cognitive;vertical
TMET_0014;en;7-option multiple choice;function (x) x;narrative;vertical
TMET_0014;de;7-option multiple choice;function (x) x;narrative;vertical
TMET_0015;en;7-option multiple choice;function (x) x;physical;vertical
TMET_0015;de;7-option multiple choice;function (x) x;physical;vertical
TMET_0016;en;7-option multiple choice;function (x) x;affective;vertical
TMET_0016;de;7-option multiple choice;function (x) x;affective;vertical
TMET_0017;en;7-option multiple choice;function (x) x;narrative;vertical
TMET_0017;de;7-option multiple choice;function (x) x;narrative;vertical
TMET_0018;en;7-option multiple choice;function (x) x;affective;vertical
TMET_0018;de;7-option multiple choice;function (x) x;affective;vertical
TMET_0019;en;7-option multiple choice;function (x) x;social;vertical
TMET_0019;de;7-option multiple choice;function (x) x;social;vertical
TMET_0020;en;7-option multiple choice;function (x) x;cognitive;vertical
TMET_0020;de;7-option multiple choice;function (x) x;cognitive;vertical
TMET_0021;en;7-option multiple choice;function (x) x;physical;vertical
TMET_0021;de;7-option multiple choice;function (x) x;physical;vertical
TMET_0022;en;7-option multiple choice;function (x) x;cognitive;vertical
TMET_0022;de;7-option multiple choice;function (x) x;cognitive;vertical
TMET_0023;en;7-option multiple choice;function (x) x;social;vertical
TMET_0023;de;7-option multiple choice;function (x) x;social;vertical
TMET_0024;en;7-option multiple choice;function (x) x;affective;vertical
TMET_0024;de;7-option multiple choice;function (x) x;affective;vertical
