"main_id";"language";"template";"score_func";"subscales";"layout"
"TMHE_0002";"de";"2-option checkbox";"function(x) x";"General";"vertical"
"TMHE_0002";"en";"2-option checkbox";"function(x) x";"General";"vertical"
"TMHE_0003";"de";"2-option checkbox";"function(x) x";"General";"vertical"
"TMHE_0003";"en";"2-option checkbox";"function(x) x";"General";"vertical"
"TMHE_0005";"de";"4-option multiple choice";"function(x) (5-(x+0))+0";"General";"horizontal"
"TMHE_0005";"en";"4-option multiple choice";"function(x) (5-(x+0))+0";"General";"horizontal"
"TMHE_0006";"de";"4-option multiple choice";"function(x) (5-(x+0))+0";"General";"horizontal"
"TMHE_0006";"en";"4-option multiple choice";"function(x) (5-(x+0))+0";"General";"horizontal"
"TMHE_0007";"de";"4-option multiple choice";"function(x) (5-(x+0))+0";"General";"horizontal"
"TMHE_0007";"en";"4-option multiple choice";"function(x) (5-(x+0))+0";"General";"horizontal"
"TMHE_0008";"de";"4-option multiple choice";"function(x) (5-(x+0))+0";"General";"horizontal"
"TMHE_0008";"en";"4-option multiple choice";"function(x) (5-(x+0))+0";"General";"horizontal"
"TMHE_0009";"de";"4-option multiple choice";"function(x) (5-(x+0))+0";"General";"horizontal"
"TMHE_0009";"en";"4-option multiple choice";"function(x) (5-(x+0))+0";"General";"horizontal"
"TMHE_0010";"de";"8-option checkbox";"function(x) x+0";"Music Leisure Rank";"vertical"
"TMHE_0010";"en";"8-option checkbox";"function(x) x+0";"Music Leisure Rank";"vertical"
"TMHE_0001";"en";"";"";"";""
"TMHE_0001";"de";"";"";"";""
"TMHE_0004";"en";"";"";"";""
"TMHE_0004";"de";"";"";"";""
"TMHE_0000";"en";"";"";"";""
"TMHE_0000";"de";"";"";"";""
