"main_id";"language";"template";"score_func";"subscales";"layout";"audio_file"
"TMUS_0002";"de";"9-option multiple choice";"function(x) x";"Contemporary";"vertical";"15635_C1.mp3"
"TMUS_0002";"en";"9-option multiple choice";"function(x) x";"Contemporary";"vertical";"15635_C1.mp3"
"TMUS_0003";"de";"9-option multiple choice";"function(x) x";"Unpretentious";"vertical";"17884_U1.mp3"
"TMUS_0003";"en";"9-option multiple choice";"function(x) x";"Unpretentious";"vertical";"17884_U1.mp3"
"TMUS_0004";"de";"9-option multiple choice";"function(x) x";"Intense";"vertical";"38370_I4.mp3"
"TMUS_0004";"en";"9-option multiple choice";"function(x) x";"Intense";"vertical";"38370_I4.mp3"
"TMUS_0005";"de";"9-option multiple choice";"function(x) x";"Sophisticated";"vertical";"38843_S1.mp3"
"TMUS_0005";"en";"9-option multiple choice";"function(x) x";"Sophisticated";"vertical";"38843_S1.mp3"
"TMUS_0006";"de";"9-option multiple choice";"function(x) x";"Contemporary";"vertical";"41925_C2.mp3"
"TMUS_0006";"en";"9-option multiple choice";"function(x) x";"Contemporary";"vertical";"41925_C2.mp3"
"TMUS_0007";"de";"9-option multiple choice";"function(x) x";"Contemporary";"vertical";"51061_C3.mp3"
"TMUS_0007";"en";"9-option multiple choice";"function(x) x";"Contemporary";"vertical";"51061_C3.mp3"
"TMUS_0008";"de";"9-option multiple choice";"function(x) x";"Contemporary";"vertical";"53334_C4.mp3"
"TMUS_0008";"en";"9-option multiple choice";"function(x) x";"Contemporary";"vertical";"53334_C4.mp3"
"TMUS_0009";"de";"9-option multiple choice";"function(x) x";"Unpretentious";"vertical";"54767_U2.mp3"
"TMUS_0009";"en";"9-option multiple choice";"function(x) x";"Unpretentious";"vertical";"54767_U2.mp3"
"TMUS_0010";"de";"9-option multiple choice";"function(x) x";"Sophisticated";"vertical";"56045_S2.mp3"
"TMUS_0010";"en";"9-option multiple choice";"function(x) x";"Sophisticated";"vertical";"56045_S2.mp3"
"TMUS_0011";"de";"9-option multiple choice";"function(x) x";"Unpretentious";"vertical";"58264_U3.mp3"
"TMUS_0011";"en";"9-option multiple choice";"function(x) x";"Unpretentious";"vertical";"58264_U3.mp3"
"TMUS_0012";"de";"9-option multiple choice";"function(x) x";"Mellow";"vertical";"58469_M5.mp3"
"TMUS_0012";"en";"9-option multiple choice";"function(x) x";"Mellow";"vertical";"58469_M5.mp3"
"TMUS_0013";"de";"9-option multiple choice";"function(x) x";"Sophisticated";"vertical";"62187_S3.mp3"
"TMUS_0013";"en";"9-option multiple choice";"function(x) x";"Sophisticated";"vertical";"62187_S3.mp3"
"TMUS_0014";"de";"9-option multiple choice";"function(x) x";"Sophisticated";"vertical";"73851_S4.mp3"
"TMUS_0014";"en";"9-option multiple choice";"function(x) x";"Sophisticated";"vertical";"73851_S4.mp3"
"TMUS_0015";"de";"9-option multiple choice";"function(x) x";"Sophisticated";"vertical";"74532_S5.mp3"
"TMUS_0015";"en";"9-option multiple choice";"function(x) x";"Sophisticated";"vertical";"74532_S5.mp3"
"TMUS_0016";"de";"9-option multiple choice";"function(x) x";"Sophisticated";"vertical";"76683_S6.mp3"
"TMUS_0016";"en";"9-option multiple choice";"function(x) x";"Sophisticated";"vertical";"76683_S6.mp3"
"TMUS_0017";"de";"9-option multiple choice";"function(x) x";"Contemporary";"vertical";"77316_C5.mp3"
"TMUS_0017";"en";"9-option multiple choice";"function(x) x";"Contemporary";"vertical";"77316_C5.mp3"
"TMUS_0018";"de";"9-option multiple choice";"function(x) x";"Intense";"vertical";"90042_I5.mp3"
"TMUS_0018";"en";"9-option multiple choice";"function(x) x";"Intense";"vertical";"90042_I5.mp3"
"TMUS_0019";"de";"9-option multiple choice";"function(x) x";"Unpretentious";"vertical";"94357_U4.mp3"
"TMUS_0019";"en";"9-option multiple choice";"function(x) x";"Unpretentious";"vertical";"94357_U4.mp3"
"TMUS_0020";"de";"9-option multiple choice";"function(x) x";"Mellow";"vertical";"110353_M1.mp3"
"TMUS_0020";"en";"9-option multiple choice";"function(x) x";"Mellow";"vertical";"110353_M1.mp3"
"TMUS_0021";"de";"9-option multiple choice";"function(x) x";"Intense";"vertical";"112632_I1.mp3"
"TMUS_0021";"en";"9-option multiple choice";"function(x) x";"Intense";"vertical";"112632_I1.mp3"
"TMUS_0022";"de";"9-option multiple choice";"function(x) x";"Mellow";"vertical";"116480_M2.mp3"
"TMUS_0022";"en";"9-option multiple choice";"function(x) x";"Mellow";"vertical";"116480_M2.mp3"
"TMUS_0023";"de";"9-option multiple choice";"function(x) x";"Mellow";"vertical";"128093_M3.mp3"
"TMUS_0023";"en";"9-option multiple choice";"function(x) x";"Mellow";"vertical";"128093_M3.mp3"
"TMUS_0024";"de";"9-option multiple choice";"function(x) x";"Intense";"vertical";"147989_I2.mp3"
"TMUS_0024";"en";"9-option multiple choice";"function(x) x";"Intense";"vertical";"147989_I2.mp3"
"TMUS_0025";"de";"9-option multiple choice";"function(x) x";"Intense";"vertical";"147991_I3.mp3"
"TMUS_0025";"en";"9-option multiple choice";"function(x) x";"Intense";"vertical";"147991_I3.mp3"
"TMUS_0026";"de";"9-option multiple choice";"function(x) x";"Mellow";"vertical";"159346_M4.mp3"
"TMUS_0026";"en";"9-option multiple choice";"function(x) x";"Mellow";"vertical";"159346_M4.mp3"
"TMUS_0001";"en";"";"";"";""
"TMUS_0001";"de";"";"";"";""
"TMUS_0000";"en";"";"";"";""
"TMUS_0000";"de";"";"";"";""
