"main_id";"language";"template";"score_func";"subscales";"layout"
"TPAC_0002";"de";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAC_0002";"en";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAC_0003";"de";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAC_0003";"en";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAC_0004";"de";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAC_0004";"en";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAC_0005";"de";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAC_0005";"en";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAC_0006";"de";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAC_0006";"en";"5-option multiple choice";"function(x) x+0";"General";"vertical"
"TPAC_0001";"en";"";"";"";""
"TPAC_0001";"de";"";"";"";""
"TPAC_0000";"en";"";"";"";""
"TPAC_0000";"de";"";"";"";""
