"main_id";"language";"template";"score_func";"subscales";"layout"
"TPHT_0001";"en";"6-option multiple choice";"function(x) x+0";"Beat Synchronization Abilities";"Vertical"
"TPHT_0002";"en";"6-option multiple choice";"function(x) x+0";"Beat Synchronization Abilities";"Vertical"
"TPHT_0003";"en";"6-option multiple choice";"function(x) x+0";"Beat Synchronization Abilities";"Vertical"
"TPHT_0004";"en";"6-option multiple choice";"function(x) x+0";"Musical Memory (Recognition)";"Vertical"
"TPHT_0005";"en";"6-option multiple choice";"function(x) x+0";"Musical Memory (Recognition)";"Vertical"
"TPHT_0006";"en";"6-option multiple choice";"function(x) x+0";"Musical Memory (Recognition)";"Vertical"
"TPHT_0007";"en";"6-option multiple choice";"function(x) x+0";"Mistuning Perception";"Vertical"
"TPHT_0008";"en";"6-option multiple choice";"function(x) x+0";"Mistuning Perception";"Vertical"
"TPHT_0009";"en";"6-option multiple choice";"function(x) 7-(x+0)";"Mistuning Perception";"Vertical"
"TPHT_0010";"en";"6-option multiple choice";"function(x) x+0";"Emotional Reactivity to Music";"Vertical"
"TPHT_0011";"en";"6-option multiple choice";"function(x) x+0";"Emotional Reactivity to Music";"Vertical"
"TPHT_0012";"en";"6-option multiple choice";"function(x) x+0";"Emotional Reactivity to Music";"Vertical"
"TPHT_0013";"en";"6-option multiple choice";"function(x) x+0";"Emotional Reactivity to Music";"Vertical"
"TPHT_0014";"en";"6-option multiple choice";"function(x) x+0";"Musical Absorption";"Vertical"
"TPHT_0015";"en";"6-option multiple choice";"function(x) x+0";"Musical Absorption";"Vertical"
"TPHT_0016";"en";"6-option multiple choice";"function(x) x+0";"Musical Absorption";"Vertical"
"TPHT_0017";"en";"6-option multiple choice";"function(x) x+0";"Musical Absorption";"Vertical"
"TPHT_0018";"en";"6-option multiple choice";"function(x) x+0";"Musical Absorption";"Vertical"
"TPHT_0019";"en";"6-option multiple choice";"function(x) x+0";"Musical Enjoyment";"Vertical"
"TPHT_0020";"en";"6-option multiple choice";"function(x) x+0";"Musical Enjoyment";"Vertical"
"TPHT_0021";"en";"6-option multiple choice";"function(x) x+0";"Musical Enjoyment";"Vertical"
"TPHT_0022";"en";"6-option multiple choice";"function(x) x+0";"Musical Enjoyment";"Vertical"
"TPHT_0023";"en";"6-option multiple choice";"function(x) x+0";"Beat Perception";"Vertical"
"TPHT_0024";"en";"6-option multiple choice";"function(x) x+0";"Beat Perception";"Vertical"
"TPHT_0025";"en";"6-option multiple choice";"function(x) x+0";"Beat Perception";"Vertical"
"TPHT_0026";"en";"6-option multiple choice";"function(x) x+0";"Musical Memory (Recall)";"Vertical"
"TPHT_0027";"en";"6-option multiple choice";"function(x) x+0";"Musical Memory (Recall)";"Vertical"
"TPHT_0028";"en";"6-option multiple choice";"function(x) 7-(x+0)";"Musical Memory (Recall)";"Vertical"
"TPHT_0029";"en";"6-option multiple choice";"function(x) 7-(x+0)";"Singing intonation";"Vertical"
"TPHT_0030";"en";"6-option multiple choice";"function(x) x+0";"Singing intonation";"Vertical"
"TPHT_0031";"en";"6-option multiple choice";"function(x) x+0";"Singing intonation";"Vertical"
"TPHT_0032";"en";"6-option multiple choice";"function(x) 7-(x+0)";"General rhythmic ability";"Vertical"
"TPHT_0033";"en";"6-option multiple choice";"function(x) x+0";"General rhythmic ability";"Vertical"
"TPHT_0034";"en";"6-option multiple choice";"function(x) x+0";"General rhythmic ability";"Vertical"
"TPHT_0035";"en";"6-option multiple choice";"function(x) x+0";"Absolute Pitch";"Vertical"
"TPHT_0036";"en";"6-option multiple choice";"function(x) x+0";"Absolute Pitch";"Vertical"
"TPHT_0037";"en";"6-option multiple choice";"function(x) x+0";"Absolute Pitch";"Vertical"
"TPHT_0038";"en";"6-option multiple choice";"function(x) x+0";"Melodic discrimination";"Vertical"
"TPHT_0039";"en";"6-option multiple choice";"function(x) x+0";"Melodic discrimination";"Vertical"
"TPHT_0040";"en";"6-option multiple choice";"function(x) x+0";"Melodic discrimination";"Vertical"
"TPHT_0041";"en";"6-option multiple choice";"function(x) x+0";"Melodic creativity";"Vertical"
"TPHT_0042";"en";"6-option multiple choice";"function(x) x+0";"Melodic creativity";"Vertical"
"TPHT_0043";"en";"6-option multiple choice";"function(x) x+0";"Melodic creativity";"Vertical"
"TPHT_0044";"en";"6-option multiple choice";"function(x) x+0";"Propensity to earworms";"Vertical"
"TPHT_0045";"en";"6-option multiple choice";"function(x) x+0";"Propensity to earworms";"Vertical"
"TPHT_0046";"en";"6-option multiple choice";"function(x) x+0";"Propensity to earworms";"Vertical"
"TPHT_0047";"en";"6-option multiple choice";"function(x) x+0";"Propensity to earworms";"Vertical"
"TPHT_0048";"en";"6-option multiple choice";"function(x) x+0";"Urge to dance";"Vertical"
"TPHT_0049";"en";"6-option multiple choice";"function(x) 7-(x+0)";"Urge to dance";"Vertical"
"TPHT_0050";"en";"6-option multiple choice";"function(x) x+0";"Urge to dance";"Vertical"
"TPHT_0051";"en";"6-option multiple choice";"function(x) x+0";"Urge to dance";"Vertical"
