main_id;language;template;score_func;subscales;layout
TPMS_0002;en;5-option multiple choice;function(x) x;"Tension- Anxiety; General";vertical
TPMS_0002;it;5-option multiple choice;function(x) x;"Tension- Anxiety; General";vertical
TPMS_0003;en;5-option multiple choice;function(x) x;"Anger-Hostility; General";vertical
TPMS_0003;it;5-option multiple choice;function(x) x;"Anger-Hostility; General";vertical
TPMS_0004;en;5-option multiple choice;function(x) x;"Fatigue-Inertia; General";vertical
TPMS_0004;it;5-option multiple choice;function(x) x;"Fatigue-Inertia; General";vertical
TPMS_0005;en;5-option multiple choice;function(x) x;"Depression-Dejection; General";vertical
TPMS_0005;it;5-option multiple choice;function(x) x;"Depression-Dejection; General";vertical
TPMS_0006;en;5-option multiple choice;function(x) x;"Esteem; General";vertical
TPMS_0006;it;5-option multiple choice;function(x) x;"Esteem; General";vertical
TPMS_0007;en;5-option multiple choice;function(x) x;"Vigour-Activity; General";vertical
TPMS_0007;it;5-option multiple choice;function(x) x;"Vigour-Activity; General";vertical
TPMS_0008;en;5-option multiple choice;function(x) x;"Confusion-Bewilderment; General";vertical
TPMS_0008;it;5-option multiple choice;function(x) x;"Confusion-Bewilderment; General";vertical
TPMS_0009;en;5-option multiple choice;function(x) x;"Depression-Dejection; General";vertical
TPMS_0009;it;5-option multiple choice;function(x) x;"Depression-Dejection; General";vertical
TPMS_0010;en;5-option multiple choice;function(x) x;"Vigour-Activity; General";vertical
TPMS_0010;it;5-option multiple choice;function(x) x;"Vigour-Activity; General";vertical
TPMS_0011;en;5-option multiple choice;function(x) x;"Tension- Anxiety; General";vertical
TPMS_0011;it;5-option multiple choice;function(x) x;"Tension- Anxiety; General";vertical
TPMS_0012;en;5-option multiple choice;function(x) x;"Anger-Hostility; General";vertical
TPMS_0012;it;5-option multiple choice;function(x) x;"Anger-Hostility; General";vertical
TPMS_0013;en;5-option multiple choice;function(x) x;"Esteem; General";vertical
TPMS_0013;it;5-option multiple choice;function(x) x;"Esteem; General";vertical
TPMS_0014;en;5-option multiple choice;function(x) x;"Vigour-Activity; General";vertical
TPMS_0014;it;5-option multiple choice;function(x) x;"Vigour-Activity; General";vertical
TPMS_0015;en;5-option multiple choice;function(x) x;"Depression-Dejection; General";vertical
TPMS_0015;it;5-option multiple choice;function(x) x;"Depression-Dejection; General";vertical
TPMS_0016;en;5-option multiple choice;function(x) x;"Tension- Anxiety; General";vertical
TPMS_0016;it;5-option multiple choice;function(x) x;"Tension- Anxiety; General";vertical
TPMS_0017;en;5-option multiple choice;function(x) x;"Tension- Anxiety; General";vertical
TPMS_0017;it;5-option multiple choice;function(x) x;"Tension- Anxiety; General";vertical
TPMS_0018;en;5-option multiple choice;function(x) x;"Confusion-Bewilderment; General";vertical
TPMS_0018;it;5-option multiple choice;function(x) x;"Confusion-Bewilderment; General";vertical
TPMS_0019;en;5-option multiple choice;function(x) x;"Fatigue-Inertia; General";vertical
TPMS_0019;it;5-option multiple choice;function(x) x;"Fatigue-Inertia; General";vertical
TPMS_0020;en;5-option multiple choice;function(x) x;"Esteem; General";vertical
TPMS_0020;it;5-option multiple choice;function(x) x;"Esteem; General";vertical
TPMS_0021;en;5-option multiple choice;function(x) x;"Anger-Hostility; General";vertical
TPMS_0021;it;5-option multiple choice;function(x) x;"Anger-Hostility; General";vertical
TPMS_0022;en;5-option multiple choice;function(x) x;"Depression-Dejection; General";vertical
TPMS_0022;it;5-option multiple choice;function(x) x;"Depression-Dejection; General";vertical
TPMS_0023;en;5-option multiple choice;function(x) x;"Anger-Hostility; General";vertical
TPMS_0023;it;5-option multiple choice;function(x) x;"Anger-Hostility; General";vertical
TPMS_0024;en;5-option multiple choice;function(x) x;"Tension- Anxiety; General";vertical
TPMS_0024;it;5-option multiple choice;function(x) x;"Tension- Anxiety; General";vertical
TPMS_0025;en;5-option multiple choice;function(x) x;"Depression-Dejection; General";vertical
TPMS_0025;it;5-option multiple choice;function(x) x;"Depression-Dejection; General";vertical
