"main_id";"language";"template";"score_func";"subscales";"layout"
"TSCA_0002";"de";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0002";"en";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0003";"de";"4-option multiple choice";"function(x) x";"Extra";NA
"TSCA_0003";"en";"4-option multiple choice";"function(x) x";"Extra";NA
"TSCA_0004";"de";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0004";"en";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0005";"de";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0005";"en";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0006";"de";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0006";"en";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0007";"de";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0007";"en";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0008";"de";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0008";"en";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0009";"de";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0009";"en";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0010";"de";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0010";"en";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0011";"de";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0011";"en";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0012";"de";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0012";"en";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0013";"de";"4-option multiple choice";"function(x) x";"Extra";NA
"TSCA_0013";"en";"4-option multiple choice";"function(x) x";"Extra";NA
"TSCA_0014";"de";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0014";"en";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0015";"de";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0015";"en";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0016";"de";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0016";"en";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0017";"de";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0017";"en";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0018";"de";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0018";"en";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0019";"de";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0019";"en";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0020";"de";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0020";"en";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0021";"de";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0021";"en";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0022";"de";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0022";"en";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0023";"de";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0023";"en";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0024";"de";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0024";"en";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0025";"de";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0025";"en";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0026";"de";"4-option multiple choice";"function(x) x";"Extra";NA
"TSCA_0026";"en";"4-option multiple choice";"function(x) x";"Extra";NA
"TSCA_0027";"de";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0027";"en";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0028";"de";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0028";"en";"4-option multiple choice";"function(x) 5-x";"General";NA
"TSCA_0029";"de";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0029";"en";"4-option multiple choice";"function(x) x";"General";NA
"TSCA_0030";"de";"4-option multiple choice";"function(x) x";"Extra";NA
"TSCA_0030";"en";"4-option multiple choice";"function(x) x";"Extra";NA
"TSCA_0001";"en";"";"";"";NA
"TSCA_0001";"de";"";"";"";NA
"TSCA_0000";"en";"";"";"";NA
"TSCA_0000";"de";"";"";"";NA
