"main_id";"language";"template";"score_func";"subscales";"layout"
"TSCS_0002";"de";"4-option multiple choice";"function(x) x";"General";"vertical"
"TSCS_0002";"en";"4-option multiple choice";"function(x) x";"General";"vertical"
"TSCS_0003";"de";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0003";"en";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0004";"de";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0004";"en";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0005";"de";"4-option multiple choice";"function(x) x";"General";"vertical"
"TSCS_0005";"en";"4-option multiple choice";"function(x) x";"General";"vertical"
"TSCS_0006";"de";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0006";"en";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0007";"de";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0007";"en";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0008";"de";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0008";"en";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0009";"de";"4-option multiple choice";"function(x) x";"General";"vertical"
"TSCS_0009";"en";"4-option multiple choice";"function(x) x";"General";"vertical"
"TSCS_0010";"de";"4-option multiple choice";"function(x) x";"General";"vertical"
"TSCS_0010";"en";"4-option multiple choice";"function(x) x";"General";"vertical"
"TSCS_0011";"de";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0011";"en";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0012";"de";"4-option multiple choice";"function(x) x";"General";"vertical"
"TSCS_0012";"en";"4-option multiple choice";"function(x) x";"General";"vertical"
"TSCS_0013";"de";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0013";"en";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0014";"de";"4-option multiple choice";"function(x) x";"General";"vertical"
"TSCS_0014";"en";"4-option multiple choice";"function(x) x";"General";"vertical"
"TSCS_0015";"de";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0015";"en";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0016";"de";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0016";"en";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0017";"de";"4-option multiple choice";"function(x) x";"General";"vertical"
"TSCS_0017";"en";"4-option multiple choice";"function(x) x";"General";"vertical"
"TSCS_0018";"de";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0018";"en";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0019";"de";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0019";"en";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0020";"de";"4-option multiple choice";"function(x) x";"General";"vertical"
"TSCS_0020";"en";"4-option multiple choice";"function(x) x";"General";"vertical"
"TSCS_0021";"de";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0021";"en";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0022";"de";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0022";"en";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0023";"de";"4-option multiple choice";"function(x) x";"General";"vertical"
"TSCS_0023";"en";"4-option multiple choice";"function(x) x";"General";"vertical"
"TSCS_0024";"de";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0024";"en";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0025";"de";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0025";"en";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0026";"de";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0026";"en";"4-option multiple choice";"function(x) 5-x";"General";"vertical"
"TSCS_0001";"en";"";"";"";""
"TSCS_0001";"de";"";"";"";""
"TSCS_0000";"en";"";"";"";""
"TSCS_0000";"de";"";"";"";""
