"main_id";"language";"template";"score_func";"subscales";"layout"
"TSDQ_0002";"de";"3-option multiple choice";"function(x) x-1";"Prosocial";"vertical"
"TSDQ_0002";"en";"3-option multiple choice";"function(x) x-1";"Prosocial";"vertical"
"TSDQ_0003";"de";"3-option multiple choice";"function(x) x-1";"Difficulties;Hyperactivity;Externalising";"vertical"
"TSDQ_0003";"en";"3-option multiple choice";"function(x) x-1";"Difficulties;Hyperactivity;Externalising";"vertical"
"TSDQ_0004";"de";"3-option multiple choice";"function(x) x-1";"Difficulties;Emotional problems;Internalising";"vertical"
"TSDQ_0004";"en";"3-option multiple choice";"function(x) x-1";"Difficulties;Emotional problems;Internalising";"vertical"
"TSDQ_0005";"de";"3-option multiple choice";"function(x) x-1";"Prosocial";"vertical"
"TSDQ_0005";"en";"3-option multiple choice";"function(x) x-1";"Prosocial";"vertical"
"TSDQ_0006";"de";"3-option multiple choice";"function(x) x-1";"Conduct problems;Difficulties;Externalising";"vertical"
"TSDQ_0006";"en";"3-option multiple choice";"function(x) x-1";"Conduct problems;Difficulties;Externalising";"vertical"
"TSDQ_0007";"de";"3-option multiple choice";"function(x) x-1";"Difficulties;Peer problems;Internalising";"vertical"
"TSDQ_0007";"en";"3-option multiple choice";"function(x) x-1";"Difficulties;Peer problems;Internalising";"vertical"
"TSDQ_0008";"de";"3-option multiple choice";"function(x) (3-(x-1))-1";"Conduct problems;Difficulties;Externalising";"vertical"
"TSDQ_0008";"en";"3-option multiple choice";"function(x) (3-(x-1))-1";"Conduct problems;Difficulties;Externalising";"vertical"
"TSDQ_0009";"de";"3-option multiple choice";"function(x) x-1";"Difficulties;Emotional problems;Internalising";"vertical"
"TSDQ_0009";"en";"3-option multiple choice";"function(x) x-1";"Difficulties;Emotional problems;Internalising";"vertical"
"TSDQ_0010";"de";"3-option multiple choice";"function(x) x-1";"Prosocial";"vertical"
"TSDQ_0010";"en";"3-option multiple choice";"function(x) x-1";"Prosocial";"vertical"
"TSDQ_0011";"de";"3-option multiple choice";"function(x) x-1";"Difficulties;Hyperactivity;Externalising";"vertical"
"TSDQ_0011";"en";"3-option multiple choice";"function(x) x-1";"Difficulties;Hyperactivity;Externalising";"vertical"
"TSDQ_0012";"de";"3-option multiple choice";"function(x) (3-(x-1))-1";"Difficulties;Peer problems;Internalising";"vertical"
"TSDQ_0012";"en";"3-option multiple choice";"function(x) (3-(x-1))-1";"Difficulties;Peer problems;Internalising";"vertical"
"TSDQ_0013";"de";"3-option multiple choice";"function(x) x-1";"Conduct problems;Difficulties;Externalising";"vertical"
"TSDQ_0013";"en";"3-option multiple choice";"function(x) x-1";"Conduct problems;Difficulties;Externalising";"vertical"
"TSDQ_0014";"de";"3-option multiple choice";"function(x) x-1";"Difficulties;Emotional problems;Internalising";"vertical"
"TSDQ_0014";"en";"3-option multiple choice";"function(x) x-1";"Difficulties;Emotional problems;Internalising";"vertical"
