"main_id";"language";"template";"score_func";"subscales";"layout"
"TSEM_0002";"de";"5-option multiple choice";"function(x) 6-x";"Attentiveness;Behavioral Engagement";"horizontal"
"TSEM_0002";"en";"5-option multiple choice";"function(x) 6-x";"Attentiveness;Behavioral Engagement";"horizontal"
"TSEM_0003";"de";"5-option multiple choice";"function(x) x";"Attentiveness;Behavioral Engagement";"horizontal"
"TSEM_0003";"en";"5-option multiple choice";"function(x) x";"Attentiveness;Behavioral Engagement";"horizontal"
"TSEM_0004";"de";"5-option multiple choice";"function(x) 6-x";"Attentiveness;Behavioral Engagement";"horizontal"
"TSEM_0004";"en";"5-option multiple choice";"function(x) 6-x";"Attentiveness;Behavioral Engagement";"horizontal"
"TSEM_0005";"de";"5-option multiple choice";"function(x) 6-x";"School Compliance;Behavioral Engagement";"horizontal"
"TSEM_0005";"en";"5-option multiple choice";"function(x) 6-x";"School Compliance;Behavioral Engagement";"horizontal"
"TSEM_0006";"de";"5-option multiple choice";"function(x) 6-x";"School Compliance;Behavioral Engagement";"horizontal"
"TSEM_0006";"en";"5-option multiple choice";"function(x) 6-x";"School Compliance;Behavioral Engagement";"horizontal"
"TSEM_0007";"de";"5-option multiple choice";"function(x) 6-x";"School Compliance;Behavioral Engagement";"horizontal"
"TSEM_0007";"en";"5-option multiple choice";"function(x) 6-x";"School Compliance;Behavioral Engagement";"horizontal"
"TSEM_0008";"de";"5-option multiple choice";"function(x) 6-x";"School Compliance;Behavioral Engagement";"horizontal"
"TSEM_0008";"en";"5-option multiple choice";"function(x) 6-x";"School Compliance;Behavioral Engagement";"horizontal"
"TSEM_0009";"de";"5-option multiple choice";"function(x) x";"School belonging;Emotional Engagement";"horizontal"
"TSEM_0009";"en";"5-option multiple choice";"function(x) x";"School belonging;Emotional Engagement";"horizontal"
"TSEM_0010";"de";"5-option multiple choice";"function(x) x";"School belonging;Emotional Engagement";"horizontal"
"TSEM_0010";"en";"5-option multiple choice";"function(x) x";"School belonging;Emotional Engagement";"horizontal"
"TSEM_0011";"de";"5-option multiple choice";"function(x) x";"School belonging;Emotional Engagement";"horizontal"
"TSEM_0011";"en";"5-option multiple choice";"function(x) x";"School belonging;Emotional Engagement";"horizontal"
"TSEM_0012";"de";"5-option multiple choice";"function(x) x";"Valuing of School Education;Emotional Engagement";"horizontal"
"TSEM_0012";"en";"5-option multiple choice";"function(x) x";"Valuing of School Education;Emotional Engagement";"horizontal"
"TSEM_0013";"de";"5-option multiple choice";"function(x) 6-x";"Valuing of School Education;Emotional Engagement";"horizontal"
"TSEM_0013";"en";"5-option multiple choice";"function(x) 6-x";"Valuing of School Education;Emotional Engagement";"horizontal"
"TSEM_0014";"de";"5-option multiple choice";"function(x) 6-x";"Valuing of School Education;Emotional Engagement";"horizontal"
"TSEM_0014";"en";"5-option multiple choice";"function(x) 6-x";"Valuing of School Education;Emotional Engagement";"horizontal"
"TSEM_0015";"de";"5-option multiple choice";"function(x) x";"Valuing of School Education;Emotional Engagement";"horizontal"
"TSEM_0015";"en";"5-option multiple choice";"function(x) x";"Valuing of School Education;Emotional Engagement";"horizontal"
"TSEM_0016";"de";"5-option multiple choice";"function(x) x";"Valuing of School Education;Emotional Engagement";"horizontal"
"TSEM_0016";"en";"5-option multiple choice";"function(x) x";"Valuing of School Education;Emotional Engagement";"horizontal"
"TSEM_0017";"de";"5-option multiple choice";"function(x) x";"Self-regulated Learning;Cognitive Engagement";"horizontal"
"TSEM_0017";"en";"5-option multiple choice";"function(x) x";"Self-regulated Learning;Cognitive Engagement";"horizontal"
"TSEM_0018";"de";"5-option multiple choice";"function(x) x";"Self-regulated Learning;Cognitive Engagement";"horizontal"
"TSEM_0018";"en";"5-option multiple choice";"function(x) x";"Self-regulated Learning;Cognitive Engagement";"horizontal"
"TSEM_0019";"de";"5-option multiple choice";"function(x) x";"Self-regulated Learning;Cognitive Engagement";"horizontal"
"TSEM_0019";"en";"5-option multiple choice";"function(x) x";"Self-regulated Learning;Cognitive Engagement";"horizontal"
"TSEM_0020";"de";"5-option multiple choice";"function(x) x";"Self-regulated Learning;Cognitive Engagement";"horizontal"
"TSEM_0020";"en";"5-option multiple choice";"function(x) x";"Self-regulated Learning;Cognitive Engagement";"horizontal"
"TSEM_0021";"de";"5-option multiple choice";"function(x) x";"Cognitive Strategy Use;Cognitive Engagement";"horizontal"
"TSEM_0021";"en";"5-option multiple choice";"function(x) x";"Cognitive Strategy Use;Cognitive Engagement";"horizontal"
"TSEM_0022";"de";"5-option multiple choice";"function(x) x";"Cognitive Strategy Use;Cognitive Engagement";"horizontal"
"TSEM_0022";"en";"5-option multiple choice";"function(x) x";"Cognitive Strategy Use;Cognitive Engagement";"horizontal"
"TSEM_0023";"de";"5-option multiple choice";"function(x) x";"Cognitive Strategy Use;Cognitive Engagement";"horizontal"
"TSEM_0023";"en";"5-option multiple choice";"function(x) x";"Cognitive Strategy Use;Cognitive Engagement";"horizontal"
"TSEM_0024";"de";"5-option multiple choice";"function(x) x";"Cognitive Strategy Use;Cognitive Engagement";"horizontal"
"TSEM_0024";"en";"5-option multiple choice";"function(x) x";"Cognitive Strategy Use;Cognitive Engagement";"horizontal"
"TSEM_0001";"en";"";"";"";""
"TSEM_0001";"de";"";"";"";""
"TSEM_0000";"en";"";"";"";""
"TSEM_0000";"de";"";"";"";""
