"main_id";"language";"template";"score_func";"subscales";"layout"
"TSES_0001";"de";"7-option radiobutton";"function(x) 8-x";"Educational Degree";"vertical"
"TSES_0001";"en";"7-option radiobutton";"function(x) 8-x";"Educational Degree";"vertical"
"TSES_0002";"de";"7-option radiobutton";"function(x) 8-x";"Educational Degree";"vertical"
"TSES_0002";"en";"7-option radiobutton";"function(x) 8-x";"Educational Degree";"vertical"
"TSES_0004";"de";"3-option radiobutton";"function(x) x";"ESeC";"vertical"
"TSES_0004";"en";"3-option radiobutton";"function(x) x";"ESeC";"vertical"
"TSES_0005";"de";"2-option radiobutton";"function(x) x";"ESeC";"vertical"
"TSES_0005";"en";"2-option radiobutton";"function(x) x";"ESeC";"vertical"
"TSES_0006";"de";"2-option radiobutton";"function(x) x";"ESeC";"vertical"
"TSES_0006";"en";"2-option radiobutton";"function(x) x";"ESeC";"vertical"
"TSES_0007";"de";"8-option radiobutton";"function(x) x";"ESeC";"vertical"
"TSES_0007";"en";"8-option radiobutton";"function(x) x";"ESeC";"vertical"
"TSES_0003";"en";"";"";"";""
"TSES_0003";"de";"";"";"";""
"TSES_0000";"en";"";"";"";""
"TSES_0000";"de";"";"";"";""
