"main_id";"language";"template";"score_func";"subscales";"layout"
"TSMP_0002";"de";"7-option multiple choice";"function(x) x";"Intense & Rebellious;Intense";"vertical"
"TSMP_0002";"en";"7-option multiple choice";"function(x) x";"Intense & Rebellious;Intense";"vertical"
"TSMP_0003";"de";"7-option multiple choice";"function(x) x";"Reflective & Complex;Sophisticated";"vertical"
"TSMP_0003";"en";"7-option multiple choice";"function(x) x";"Reflective & Complex;Sophisticated";"vertical"
"TSMP_0004";"de";"7-option multiple choice";"function(x) x";"Reflective & Complex;Sophisticated";"vertical"
"TSMP_0004";"en";"7-option multiple choice";"function(x) x";"Reflective & Complex;Sophisticated";"vertical"
"TSMP_0005";"de";"7-option multiple choice";"function(x) x";"Reflective & Complex;Sophisticated";"vertical"
"TSMP_0005";"en";"7-option multiple choice";"function(x) x";"Reflective & Complex;Sophisticated";"vertical"
"TSMP_0006";"de";"7-option multiple choice";"function(x) x";"Upbeat & Conventional;Unpretentious";"vertical"
"TSMP_0006";"en";"7-option multiple choice";"function(x) x";"Upbeat & Conventional;Unpretentious";"vertical"
"TSMP_0007";"de";"7-option multiple choice";"function(x) x";"Energetic & Rhythmic;Mellow";"vertical"
"TSMP_0007";"en";"7-option multiple choice";"function(x) x";"Energetic & Rhythmic;Mellow";"vertical"
"TSMP_0008";"de";"7-option multiple choice";"function(x) x";"Reflective & Complex;Sophisticated";"vertical"
"TSMP_0008";"en";"7-option multiple choice";"function(x) x";"Reflective & Complex;Sophisticated";"vertical"
"TSMP_0009";"de";"7-option multiple choice";"function(x) x";"Energetic & Rhythmic;Contemporary";"vertical"
"TSMP_0009";"en";"7-option multiple choice";"function(x) x";"Energetic & Rhythmic;Contemporary";"vertical"
"TSMP_0010";"de";"7-option multiple choice";"function(x) x";"Upbeat & Conventional;Sophisticated";"vertical"
"TSMP_0010";"en";"7-option multiple choice";"function(x) x";"Upbeat & Conventional;Sophisticated";"vertical"
"TSMP_0011";"de";"7-option multiple choice";"function(x) x";"Intense & Rebellious;Intense";"vertical"
"TSMP_0011";"en";"7-option multiple choice";"function(x) x";"Intense & Rebellious;Intense";"vertical"
"TSMP_0012";"de";"7-option multiple choice";"function(x) x";"Reflective & Complex;Mellow";"vertical"
"TSMP_0012";"en";"7-option multiple choice";"function(x) x";"Reflective & Complex;Mellow";"vertical"
"TSMP_0013";"de";"7-option multiple choice";"function(x) x";"Reflective & Complex;Sophisticated";"vertical"
"TSMP_0013";"en";"7-option multiple choice";"function(x) x";"Reflective & Complex;Sophisticated";"vertical"
"TSMP_0014";"de";"7-option multiple choice";"function(x) x";"Reflective & Complex;Mellow";"vertical"
"TSMP_0014";"en";"7-option multiple choice";"function(x) x";"Reflective & Complex;Mellow";"vertical"
"TSMP_0015";"de";"7-option multiple choice";"function(x) x";"Upbeat & Conventional";"vertical"
"TSMP_0015";"en";"7-option multiple choice";"function(x) x";"Upbeat & Conventional";"vertical"
"TSMP_0016";"de";"7-option multiple choice";"function(x) x";"Reflective & Complex;Sophisticated";"vertical"
"TSMP_0016";"en";"7-option multiple choice";"function(x) x";"Reflective & Complex;Sophisticated";"vertical"
"TSMP_0017";"de";"7-option multiple choice";"function(x) x";"Upbeat & Conventional;Unpretentious";"vertical"
"TSMP_0017";"en";"7-option multiple choice";"function(x) x";"Upbeat & Conventional;Unpretentious";"vertical"
"TSMP_0018";"de";"7-option multiple choice";"function(x) x";"Intense & Rebellious;Intense";"vertical"
"TSMP_0018";"en";"7-option multiple choice";"function(x) x";"Intense & Rebellious;Intense";"vertical"
"TSMP_0019";"de";"7-option multiple choice";"function(x) x";"Energetic & Rhythmic;Contemporary";"vertical"
"TSMP_0019";"en";"7-option multiple choice";"function(x) x";"Energetic & Rhythmic;Contemporary";"vertical"
"TSMP_0020";"de";"7-option multiple choice";"function(x) x";"Energetic & Rhythmic;Contemporary";"vertical"
"TSMP_0020";"en";"7-option multiple choice";"function(x) x";"Energetic & Rhythmic;Contemporary";"vertical"
"TSMP_0021";"de";"7-option multiple choice";"function(x) x";"Upbeat & Conventional;Unpretentious";"vertical"
"TSMP_0021";"en";"7-option multiple choice";"function(x) x";"Upbeat & Conventional;Unpretentious";"vertical"
"TSMP_0022";"de";"7-option multiple choice";"function(x) x";"Intense & Rebellious;Intense";"vertical"
"TSMP_0022";"en";"7-option multiple choice";"function(x) x";"Intense & Rebellious;Intense";"vertical"
"TSMP_0023";"de";"7-option multiple choice";"function(x) x";"Energetic & Rhythmic;Contemporary";"vertical"
"TSMP_0023";"en";"7-option multiple choice";"function(x) x";"Energetic & Rhythmic;Contemporary";"vertical"
"TSMP_0024";"de";"7-option multiple choice";"function(x) x";"Upbeat & Conventional";"vertical"
"TSMP_0024";"en";"7-option multiple choice";"function(x) x";"Upbeat & Conventional";"vertical"
"TSMP_0001";"en";"";"";"";""
"TSMP_0001";"de";"";"";"";""
"TSMP_0000";"en";"";"";"";""
"TSMP_0000";"de";"";"";"";""
