"main_id";"language";"template";"score_func";"subscales";"layout"
"TSOS_0002";"de";"5-option multiple choice";"function(x) x+0";"Importance";"vertical"
"TSOS_0002";"en";"5-option multiple choice";"function(x) x+0";"Importance";"vertical"
"TSOS_0003";"de";"5-option multiple choice";"function(x) x+0";"Effort";"vertical"
"TSOS_0003";"en";"5-option multiple choice";"function(x) x+0";"Effort";"vertical"
"TSOS_0004";"de";"5-option multiple choice";"function(x) (6-(x+0))+0";"Importance";"vertical"
"TSOS_0004";"en";"5-option multiple choice";"function(x) (6-(x+0))+0";"Importance";"vertical"
"TSOS_0005";"de";"5-option multiple choice";"function(x) (6-(x+0))+0";"Importance";"vertical"
"TSOS_0005";"en";"5-option multiple choice";"function(x) (6-(x+0))+0";"Importance";"vertical"
"TSOS_0006";"de";"5-option multiple choice";"function(x) x+0";"Importance";"vertical"
"TSOS_0006";"en";"5-option multiple choice";"function(x) x+0";"Importance";"vertical"
"TSOS_0007";"de";"5-option multiple choice";"function(x) x+0";"Effort";"vertical"
"TSOS_0007";"en";"5-option multiple choice";"function(x) x+0";"Effort";"vertical"
"TSOS_0008";"de";"5-option multiple choice";"function(x) (6-(x+0))+0";"Effort";"vertical"
"TSOS_0008";"en";"5-option multiple choice";"function(x) (6-(x+0))+0";"Effort";"vertical"
"TSOS_0009";"de";"5-option multiple choice";"function(x) x+0";"Importance";"vertical"
"TSOS_0009";"en";"5-option multiple choice";"function(x) x+0";"Importance";"vertical"
"TSOS_0010";"de";"5-option multiple choice";"function(x) (6-(x+0))+0";"Effort";"vertical"
"TSOS_0010";"en";"5-option multiple choice";"function(x) (6-(x+0))+0";"Effort";"vertical"
"TSOS_0011";"de";"5-option multiple choice";"function(x) x+0";"Effort";"vertical"
"TSOS_0011";"en";"5-option multiple choice";"function(x) x+0";"Effort";"vertical"
"TSOS_0001";"en";"";"";"";""
"TSOS_0001";"de";"";"";"";""
"TSOS_0000";"en";"";"";"";""
"TSOS_0000";"de";"";"";"";""
