"main_id";"language";"template";"score_func";"subscales";"layout"
"TTOI_0002";"de";"6-option multiple choice";"function(x) (7-(x+0))+0";"Theory of Inteligence";"vertical"
"TTOI_0002";"en";"6-option multiple choice";"function(x) (7-(x+0))+0";"Theory of Inteligence";"vertical"
"TTOI_0003";"de";"6-option multiple choice";"function(x) (7-(x+0))+0";"Theory of Inteligence";"vertical"
"TTOI_0003";"en";"6-option multiple choice";"function(x) (7-(x+0))+0";"Theory of Inteligence";"vertical"
"TTOI_0004";"de";"6-option multiple choice";"function(x) (7-(x+0))+0";"Goals Choice";"vertical"
"TTOI_0004";"en";"6-option multiple choice";"function(x) (7-(x+0))+0";"Goals Choice";"vertical"
"TTOI_0005";"de";"6-option multiple choice";"function(x) (7-(x+0))+0";"Theory of Inteligence";"vertical"
"TTOI_0005";"en";"6-option multiple choice";"function(x) (7-(x+0))+0";"Theory of Inteligence";"vertical"
"TTOI_0006";"de";"6-option multiple choice";"function(x) x+0";"Goals Choice";"vertical"
"TTOI_0006";"en";"6-option multiple choice";"function(x) x+0";"Goals Choice";"vertical"
"TTOI_0007";"de";"6-option multiple choice";"function(x) (7-(x+0))+0";"Goals Choice";"vertical"
"TTOI_0007";"en";"6-option multiple choice";"function(x) (7-(x+0))+0";"Goals Choice";"vertical"
"TTOI_0008";"de";"2-option multiple choice";"function(x) x+2";"Goals Choice";"vertical"
"TTOI_0008";"en";"2-option multiple choice";"function(x) x+2";"Goals Choice";"vertical"
"TTOI_0001";"en";"";"";"";""
"TTOI_0001";"de";"";"";"";""
"TTOI_0000";"en";"";"";"";""
"TTOI_0000";"de";"";"";"";""
