"main_id";"language";"template";"score_func";"subscales";"layout"
"TTOM_0002";"de";"5-option multiple choice";"function(x) x+0";"Entity;Stable";"vertical"
"TTOM_0002";"en";"5-option multiple choice";"function(x) x+0";"Entity;Stable";"vertical"
"TTOM_0003";"de";"5-option multiple choice";"function(x) x+0";"Incremental;Learning";"vertical"
"TTOM_0003";"en";"5-option multiple choice";"function(x) x+0";"Incremental;Learning";"vertical"
"TTOM_0004";"de";"5-option multiple choice";"function(x) x+0";"Entity;Stable";"vertical"
"TTOM_0004";"en";"5-option multiple choice";"function(x) x+0";"Entity;Stable";"vertical"
"TTOM_0005";"de";"5-option multiple choice";"function(x) x+0";"Entity;Gift";"vertical"
"TTOM_0005";"en";"5-option multiple choice";"function(x) x+0";"Entity;Gift";"vertical"
"TTOM_0006";"de";"5-option multiple choice";"function(x) x+0";"Incremental;Learning";"vertical"
"TTOM_0006";"en";"5-option multiple choice";"function(x) x+0";"Incremental;Learning";"vertical"
"TTOM_0007";"de";"5-option multiple choice";"function(x) x+0";"Improvement;Incremental";"vertical"
"TTOM_0007";"en";"5-option multiple choice";"function(x) x+0";"Improvement;Incremental";"vertical"
"TTOM_0008";"de";"5-option multiple choice";"function(x) x+0";"Entity;Gift";"vertical"
"TTOM_0008";"en";"5-option multiple choice";"function(x) x+0";"Entity;Gift";"vertical"
"TTOM_0009";"de";"5-option multiple choice";"function(x) x+0";"Incremental;Learning";"vertical"
"TTOM_0009";"en";"5-option multiple choice";"function(x) x+0";"Incremental;Learning";"vertical"
"TTOM_0010";"de";"5-option multiple choice";"function(x) x+0";"Improvement;Incremental";"vertical"
"TTOM_0010";"en";"5-option multiple choice";"function(x) x+0";"Improvement;Incremental";"vertical"
"TTOM_0011";"de";"5-option multiple choice";"function(x) x+0";"Entity;Stable";"vertical"
"TTOM_0011";"en";"5-option multiple choice";"function(x) x+0";"Entity;Stable";"vertical"
"TTOM_0012";"de";"5-option multiple choice";"function(x) x+0";"Entity;Gift";"vertical"
"TTOM_0012";"en";"5-option multiple choice";"function(x) x+0";"Entity;Gift";"vertical"
"TTOM_0013";"de";"5-option multiple choice";"function(x) x+0";"Improvement;Incremental";"vertical"
"TTOM_0013";"en";"5-option multiple choice";"function(x) x+0";"Improvement;Incremental";"vertical"
"TTOM_0001";"en";"";"";"";""
"TTOM_0001";"de";"";"";"";""
"TTOM_0000";"en";"";"";"";""
"TTOM_0000";"de";"";"";"";""
