"main_id";"language";"template";"score_func";"subscales";"layout"
"TTPI_0002";"de";"7-option multiple choice";"function(x) x";"Extraversion";"vertical"
"TTPI_0002";"en";"7-option multiple choice";"function(x) x";"Extraversion";"vertical"
"TTPI_0003";"de";"7-option multiple choice";"function(x) 8-x";"Agreeableness";"vertical"
"TTPI_0003";"en";"7-option multiple choice";"function(x) 8-x";"Agreeableness";"vertical"
"TTPI_0004";"de";"7-option multiple choice";"function(x) x";"Conscientiousness";"vertical"
"TTPI_0004";"en";"7-option multiple choice";"function(x) x";"Conscientiousness";"vertical"
"TTPI_0005";"de";"7-option multiple choice";"function(x) 8-x";"Emotional Stability";"vertical"
"TTPI_0005";"en";"7-option multiple choice";"function(x) 8-x";"Emotional Stability";"vertical"
"TTPI_0006";"de";"7-option multiple choice";"function(x) x";"Openness to Experiences";"vertical"
"TTPI_0006";"en";"7-option multiple choice";"function(x) x";"Openness to Experiences";"vertical"
"TTPI_0007";"de";"7-option multiple choice";"function(x) 8-x";"Extraversion";"vertical"
"TTPI_0007";"en";"7-option multiple choice";"function(x) 8-x";"Extraversion";"vertical"
"TTPI_0008";"de";"7-option multiple choice";"function(x) x";"Agreeableness";"vertical"
"TTPI_0008";"en";"7-option multiple choice";"function(x) x";"Agreeableness";"vertical"
"TTPI_0009";"de";"7-option multiple choice";"function(x) 8-x";"Conscientiousness";"vertical"
"TTPI_0009";"en";"7-option multiple choice";"function(x) 8-x";"Conscientiousness";"vertical"
"TTPI_0010";"de";"7-option multiple choice";"function(x) x";"Emotional Stability";"vertical"
"TTPI_0010";"en";"7-option multiple choice";"function(x) x";"Emotional Stability";"vertical"
"TTPI_0011";"de";"7-option multiple choice";"function(x) 8-x";"Openness to Experiences";"vertical"
"TTPI_0011";"en";"7-option multiple choice";"function(x) 8-x";"Openness to Experiences";"vertical"
"TTPI_0001";"en";"";"";"";""
"TTPI_0001";"de";"";"";"";""
"TTPI_0000";"en";"";"";"";""
"TTPI_0000";"de";"";"";"";""
